id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
46,交流を流した試験コイルに非磁性体の金属を近づけると、コイルのインピーダンスはどう変化するか。 次のうちから正しいものを一つ選べ。,抵抗は増加しリアクタンスは減少する。,抵抗は減少しリアクタンスは増加する。,抵抗とリアクタンスは共に減少する。,抵抗とリアクタンスは共に増加する。,,a,62P 4.5.1 図4.5.1 図4.5.1 において，同じf/fc で，充填率が増える方向。（時計でいう４時の方向）。 図の縦軸はリアクタンス(ωL)分、横軸は抵抗分を示している。 補＞非磁性体を貫通コイルの中にセット(挿入)すると抵抗は増加し、リアクタンス（インダクタンス）は 減少し，インピーダンスも減少する。（Z = √𝑅2 + (𝜔𝐿)2 において𝜔𝐿 の減少が𝑅の増加よりも大きいため インピーダンスが減少する。これはコイル内の試験体の導電性により渦電流が発生し，それによりコイル の磁束を妨げる磁束が増加し，コイル内の全磁束が減少するため𝜔𝐿が小さくなることによる）。従って遠 ざけた場合は、この逆となる。,
47,次の文は、非磁性金属に接している試験コイルを、金属から遠ざけた場合に起こるコイルのインピー ダンス変化について述べたものである。正しいものを一つ選べ。,抵抗は増加し、リアクタンスも増加する。,抵抗は増加し、リアクタンスは減少する。,抵抗は減少し、リアクタンスは増加する。,抵抗は減少し、リアクタンスも減少する。,,c,62P 4.5.1 図4.5.1 図4.5.1 において，同じf/fc で，充填率が小さくなる方向。（時計でいう10 時の方向）。 図の縦軸はリアクタンス(ωL)、横軸は抵抗を示している。 補＞非磁性体を貫通コイルの中にセット(挿入)すると抵抗は増加し、リアクタンスは減少する。 （レベルⅠテキスト26P より） 従って遠ざけた場合は、この逆となる。,
48,一定の交流電圧を加えた試験コイルに非磁性導体を近づけたとき，コイルのインピーダンスはどう変 化するか。次のうちから正しいものを一つ選び，記号で答えなさい。,リアクタンスの増加とともに抵抗は増加する。,リアクタンスの増加とともに抵抗は減少する。,リアクタンスの減少とともに抵抗は増加する。,リアタタンスの減少とともに抵抗は減少する。,,c,（新問題集に解説あり） 54P 4.3.2 図4.3.2，62P 4.5.1 図4.5.1 図4.3.2(b)に示される方向（時計でいう4 時の方向）。 また，図4.5.1 において，同じf/fc で，充填率が大きくなる方向へ変化する。（時計でいう4 時の方向）。 補＞54P の4.3.2 項の解説のとおり，非磁性体を試験コイルの中にセット(挿入)すると抵抗は増加し、リ アクタンスは減少する。一方，試験体を遠ざけた場合はこの逆となる。 なお，図4.5.1 の縦軸は，58P4.3.4 項に示す複素インピーダンス𝑍= 𝑅+ 𝑗𝜔𝐿の虚数部（imag ；リアクタ ンス𝑗𝜔𝐿）を𝑍0正規化したもの，横軸は実部（rial；抵抗𝑅）を𝑍0で正規化したものとなっている。また， 59P，図4.3.6 などでは正規化インピーダンスとして，4.19 式のようにω𝐿0で正規化している。どちらも 縦軸はリアクタンスの変化，横軸は抵抗の変化として考えること。,
49,コイルに非磁性体の金属を近づけると、コイルのインダクタンスとリアクタンスはどのように変化す るか。次の中から正しいものを一つ選び記号で答えよ。,インダクタンスは減少，リアクタンスは増加する。,インダクタンス，リアクタンスとも増加する。,インダクタンスは増加，リアクタンスは減少する。,インダクタンス，リアクタンスとも減少する。,,d,"62P 4.5.1 図4.5.1 コイルのインダクタンスを L (H)とすると, リアクタンスは ωL (Ω)で示され，比例定数となる角周波 数 ω＝ 2πf と L の積で示される。コイルに非磁性体の金属を近づけると, コイルのリアクタンス ωL は減少する。したがって, 正答は(d)となる。",
50,空心の試験コイルに非磁性導体を挿入したとき，試験コイルのインピーダンスはどのように変化する か。次にうちから正しいものを一つ選べ。,試験コイルの抵抗とリアクタンスが共に増加する。,試験コイルの抵抗が増加し，リアクタンスが減少する。,試験コイルの抵抗が減少し，リアクタンスが増加する。,試験コイルの抵抗とリアクタンスが共に減少する。,,b,54P 4.3.2 図4.3.2，62P 4.5.1 図4.5.1 図4.3.2(b)に示される方向（時計でいう4 時の方向）。 また，図4.5.1 において，同じf/fc で，充填率が大きくなる方向へ変化する。（時計でいう4 時の方向）。 補＞54P の4.3.2 項の解説のとおり，非磁性体を試験コイルの中にセット(挿入)すると抵抗は増加し、リ アクタンスは減少する。一方，試験体を遠ざけた場合はこの逆となる。 なお，図4.5.1 の縦軸は，58P4.3.4 項に示す複素インピーダンス𝑍= 𝑅+ 𝑗𝜔𝐿の虚数部（ imag ；リアク タンス𝑗𝜔𝐿）を𝑍0正規化したもの，横軸は実部（ rial；抵抗𝑅）を𝑍0で正規化したものとなっている。ま た，59P，図4.3.6 などでは正規化インピーダンスとして，4.19 式のようにω𝐿0で正規化している。どち らも縦軸はリアクタンスの変化，横軸は抵抗の変化として考えること。,
51,次の文は、非磁性の丸棒状導体を貫通コイルに挿入したときの正規化インピーダンス曲線について述 べたものである。正しいものを一つ選び、記号で答えなさい。,充填率変化と導電率変化による正規化インピーダンス変化の方向は、周波数に関係なく一定で ある。,"充填率が低くなるに従って正規化インピーダンスは（1,0）の点に向かう。",導体の導電率変化による正規化インピーダンス軌跡は、試験周波数が変化したときの軌跡と同 一である。,充填率が低いほど試験体の導電率変化による正規化インピーダンス変化は大きくなる。,,c,"62P 4.5.1 図4.5.1 図はコイル内に挿入した試験体の導電率 σ が減少した場合, 又は周波数 f を変化させた場合の移動方 向を 示している。導電率の変化による正規化インピーダンス軌跡は, 周波数 f が変化したときと同じ軌 跡となる。したがって, 正答 は(c)となる。",et_2022_04_q51.png
52,図は非磁性体丸棒を貫通コイルに挿入したときの，正規化インピ ーダンス曲線を示す。点 P の状態から周波数を高くすると，正規 化インピーダンスはどの方向に変化するか。次のうちから正しい ものを一つ選び記号で答えよ。,A,B,C,D,,c,"62P 4.5.1 図4.5.1 図のA はコイル内に挿入した試験体の導電率σ が減少した場合, 又は周波数f を下げた場合の移動方 向を示しており, (a)は不正解である。B 及びD はコイルと試験体の結合度すなわち充填率による変化 を示しており, B は充填率が増加した場合であり, D は充填率が減少した場合であり, (b)及び(d)は不 正解である。C は試験体の導電率σ が増加した場合又は周波数f を上げた場合の移動方向を示してい る。したがって, 正答は(c)となる。 補＞62P 図4.5.1 のf/fc の大きくなる方向に着目する。",et_2022_04_q52.png
53,次の文は，正規化インピーダンス曲線について述べた。正しいものを一つ選び記号で答えよ。,非磁性体表面の割れにより，正規化リアクタンスは減少方向に変化する。,"充填率が小さくなるに従ってインピーダンスは（1,0）の点に向かう。",導体の導電率の変化に伴うインピーダンス変化は，インピーダンス軌跡に沿う。,充填率が小さいほどインピーダンス変化は大きくなる。,,c,62P 4.5.1 図4.5.1 (a)表面に割れが存在すると見掛けの導電率σは減少し，リアクタンスωL/ωL0 は増加方向となるので ☓。 (b)充填率0％は点（0.1）であり☓。座標点の表し方は（X，Y）である。 (c)○ (d)充填率が小さくなると，円弧の曲線も小さくなり，インピーダンス変化は小さくなるので☓。 補＞NDT フラッシュ62-8 問3 の解説も見る。,
54,図は貫通プローブと丸棒の試験体の位置関係を示す。記号で示さ れる各試験体部分のきずの検出感度について正しいものを次のう ちから一つ選び，記号で答えなさい。,きずの検出感度か最も高いのは、Ａの部分である。,きずの検出感度が最も高いのは、ＢとＤの部分である。,きずの検出感度が最も高いのは、Ｃの部分である。,きずの検出感度は、試験体の位置によっては変わらない。,,c,（新問題集に解説あり） 65P 4.5.6 コイルに近い方が感度は高くなる。,et_2022_04_q54.png
55,貫通プローブを用いた渦電流探傷試験における特性周波数から推定できる試験条件は何か。次のうち から正しいものを一つ選び，記号で答えなさい。,探傷速度,フィルタの周波数,試験周波数,記録計の応答速度,,c,53P 4.2.2 4.8 式，63P 4.5.2，113P 7.2.4(2)1)，128P 7.3.4(1)1)①，135P 7.4.4(3)， 154P 8.2.1(4) f/fc は試験周波数（f）/特性周波数（fc）であり，理論や実測で得たインピーダンス平面図や，114P 図 7.2.5，図7.2.6，154P 図1 などのデータにより最適なf/fc の値を求めておけば，試験体の寸法や導 電率などが異なる試験体でも同じf/fc 値を適用した試験周波数を選定すれば，同じ条件で試験ができ る。c）が正しい。,
56,次の文は，丸棒鋼に対し貫通プローブを用いる渦電流探偶試験において，きずによるインピーダンス 変化が最大となる f fc ⁄ の値の範囲を示している。次の中から正しいものを一つ選び，記号で答えなさい。 ただし，𝑓は試験用周波数，𝑓𝑐は特性周波数である。,1～5,10～15,15～50,50～80,,c,114P 7.2.4(2)1) 図7.2.5 図3 は丸棒鋼に加工した割れ（溝）による検出コイ ルのインピーダンス変化の絶対値をωL0 で基準化 してf/fc で示したものである。比較的深い割れに 対してf/fc＝15，浅いきずに対してはf/fc＝50 近 くできずによるインピーダンス変化は最大となる。 「きずによるインピーダンス変化が最大となる周 波数」の観点から試験周波数を選定すると， f/fc＝15～50 となる。したがって，正答はｃ）と なる。 補＞設問には図3 が示されていないので，この類の 問題は，答えも合わせて記憶しておく必要あり。,
57,次のコイルのうち，リフトオフの信号が発生しにくいとされるコイルはどれか。 正しいものを一つ選び記号で答えよ。,自己誘導形単一コイル,相互誘導形単一コイル,一様渦電流コイル,アレイコイル,,c,"72P 5.5.2(b) 単一コイルから得られる検出波形は絶対値指示といわれコイルのインピーダンス変化を全て出力する。き ず信号以外にも材質の違いによる信号や,環境温度の変化や，リフトオフの変化による影響が大きく， （ａ） と（ｂ）は不正解である。アレイコイルは，一般に複数の単一コイルを線上に配置し検査幅を広げた構造 となっており，やはりリフトオフの変化が出やすく，（ｄ）は不正解である。一様渦電流コイルは，小さ な検出コイルの上に，検出コイルより十分大きな直方体の励磁コイルが配置され，リフトオフの変化によ る影響が出にくい構造となっている。したがって，正答は（ｃ）となる。 補＞テキスト5.5.2 項のクロスポイントプローブ，θプローブもリフトオフの影響を受けにくい構造とな っている。NDT フラッシュ69-12 問3 に解説あり。",
58,1 次コイルと2 次コイルで構成される試験コイルにおいて、2 次コイルはどのような働きをするか。次 のうちから正しいものを選べ。,試験体における渦電流の浸透深さを大きくする。,試験体を直流磁気飽和の状態とする。,試験体に渦電流を誘導する。,試験体中の渦電流に表皮効果を生じさせる。,試験体における渦電流の変化を検出する。,e,67P 5.2(b) 相互誘導型プローブは１次(励磁)コイルと２次(検出，ピックアップ)コイルからなる。(e)が正しい。,
59,相互誘導形試験コイルは、次のいずれの組み合わせで構成されるか｡正しいものを選べ。,磁気飽和コイルと励磁コイル,磁気飽和コイルと検出コイル,励磁コイルと検出コイル,脱磁コイルと励磁コイル,脱磁コイルと検出コイル,c,67P 5.2 相互誘導形では1次コイルは励磁コイル，2次コイルは検出（ピックアップ）コイルと呼ぶ。(c)が正し い。,
60,貫通プローブによる渦電流探傷試験に適している試験体は，次のうちどれか。正しいものを一つ選 び，記号で答えなさい。,タービンブレード,クランクシャフト,ピアノ線（鋼）,アルミニウム薄板,,c,68P 5.3 貫通プローブで試験できるのは，(c)のような断面形状が一定で長さがあるもの。 注＞5.3 項の解説のとおり，試験体の断面形状は円形とは限らない。,
61,内挿プローブを用いる渦電流探傷試験が適用されるのはどの場合か。次のうちから正しいものを一つ 選び、記号で答えなさい。,熱交換器用伝熟管の保守検査,鋼管の熱間渦電流探傷試験,アルミ合金板の渦電流探傷試験,ビレットの渦電流探傷試験,,a,68P 5.3 b）は貫通プローブ，c）d）は上置プローブ。 補＞ビレットとは，圧延，鍛造，押出し，引抜きなどの加工用に適当な寸法につくられた金属塊。 主に角形である。,
62,渦電流探傷試験において，上置プローブの適用が一般的とされるのは，次のうちのどの場合か。 正しいものを一つ選び，記号で答えなさい。,熱交換器用伝熱管の保守検査,線材の熱間渦電流探傷,航空機におけるエンジンのファン・ブレードの探傷試験,鋼管の製造ラインにおける高速度検査,,c,（新問題集に解説あり） 68P 5.3，144P 8.1.1(3)2)，159P 8.3，169P 8.4.1，187P 9.1 表9.1.1 (c）適用できる。○ (a）は内挿プローブ。 (b）は貫通プローブ。 (d）は貫通プローブ。,
63,次の文は，上置プローブの適用について述べたものである。 正しいものを一つ選び，記号で答えなさい。,配管の保守検査を高速度で行うために適用されている。,鉄骨溶接部の探傷に広く適用されている。,平板状金属上の非導電性被膜の厚さ測定などに適用されている。,一般に製造ラインにおける鋼管内表面の高速度検査に適用されている。,,c,68P 5.3，144P 8.1.1(3)2)，159P 8.3，169P 8.4.1，187P 9.1 表9.1.1 (a）(d）上置プローブは一般に有効探傷範囲が狭く，高速探傷には向かない。 (b）適用例はあるが，溶接部磁性ノイズや溶接形状ノイズの関係で広く適用されているとは言えない。 (c）表9.1.1 の膜厚測定のとおり。○,
64,次の文は，上置プローブを用いた渦電流探傷試験において、部材の表面に生じる疲労割れを検査する 場合の試験周波数の選定について、正しいものを一つ選び記号で答えなさい。,試験周波数は試験体の材質に関係なく決める。,検査面上で走査ノイズを小さくすることを考慮して決める。,使用するプローブのコイル形状により決める。,チタン合金に関しては、１MHz から6MHz の範囲の中から決める。,,d,68P 5.3，144P 8.1.1(3)2)，159P 8.3，169P 8.4.1，187P 9.1 表9.1.1 (a）試験体の材質（透磁率、導電率）によって表皮深さは異なる。✕ (b）検査面上の走査ノイズを低減させるにはプローブ治具が必要となる。✕ (c）探傷器とのインピーダンスの整合性によりコイルの形状や寸法が決まる。✕ (d）○,
65,次の文は，管外表面からの回転プローブによる渦電流探借試験について述べたものである。 正しいものを一つ選び，紀号で答えなさい。,貫通ブロープに比べて、高速度で探傷できる。,貰通ブローブに比べて、より小さなきずが検出できる。,貫通プローブに比べて、軸方向に長いきずの検出が困難である。,貫通ブロープに比べて、管内面のきずの検出感度が高い，,,b,72P 5.5.2 及び144P 8.1.1(3)2） 回転プローブの特徴は，貫通プローブより低速，より小さなきずに対応，差動方式貫通プローブでは検 出し難い軸方向の長いきず検出が目的の一つ，管内面側の検出感度は低い。ｂ）が正しい。,
66,次の文は管の渦流探傷試験について述べたものである。正しいものを選べ。,貫通プローブを用いると，管の円周方向のきずが高感度で検出できる。,回転プローブによる試験は微小なきずの検出ができるが貫通プローブに比べて探傷速度が遅くなる。,内挿プローブによる探傷試験では，管外面における減肉を検出することができない。,上置プローブを用いた回転プローブによる大径管の探傷試験では，小さなきずの検出感度が低い。,,b,72P 5.5.2 及び144P 8.1.1(3)2）122P 7.3.1 図7.3.2 図7.3.5， (a)図7.3.2 は内挿プローブの説明であるが貫通プローブも同じ。円周方向の割れは感度が低下する。☓ (b)回転プローブの特徴の一つは，貫通プローブより低速→〇 (c)図7.3.5 に見られるように薄肉管では外面きずの検出が可能。☓ (d) 厚肉管では表皮効果の影響が大きいので，外面きずの検出性は高い。☓,
67,渦流探傷試験において，試験体における緩やかな寸法変化による雑音を抑圧するのに適切な方法はど れか。次のうちから正しいものを一つ選べ。,ローパスフィルタを用いる。,標準比較方式の試験コイルを用いる。,リジェクションを用いる。,直流磁気飽和を用いる。,自己比較方式の試験コイルを用いる。,e,71P 5.4.2 （旧テキスト51P 5.4 図5.5） 自己比較方式（差動方式）はリフトオフ，温度変化の他，緩やかな変化を抑制できる。 他にハイパスフィルタを使う方法もある（旧テキスト65P 図6.18）。 注＞自己比較方式＝差動方式,
68,次の文は、差動方式の試験プローブの特徴について述べたものである。正しいものを一つ選べ。,試験体の材質や寸法の変化を検出するのに適している。,環境における温度変化の影響を受けやすい。,走査方向に長いきずの検出に適している。,試験体の材質や形状などの緩やかな変化による影響を抑圧できる。,,d,71P 5.4.2，149P 8.1.2(2) 表8.1.4 (d）が正しい。○ (a）は緩やかな変化と考えられるので☓。 補＞差動方式（自己比較方式）はリフトオフ，温度変化の他，緩やかな変化を抑制できる。走査方向に 長いきずは，きずの下では2 つのコイルの信号が相殺（差動）されるので検出し難い。,
69,差動方式の貫通プローブを用いて管の渦電流探傷試験を行った。最も検出しやすいきずはどれか。 次のうちから正しいものを一つ選べ。,軸方向の短い割れ,管外表面の緩やかな凹み,一様な深さの軸方向に長いきず,厚肉管の介在物,,a,（新問題集に解説あり） 71P 5.4.2，及び143P 8.1.1(3)1) 143P に「貫通プローブは差動方式を用いるため，軸方向に長く伸びた傷の検出は困難であり，軸方向に 短い割れ，ヘゲ，ロールマークなどの独立きずが検出対象となる」とある。(a）が正しい。 注＞(d）の介在物は圧延の過程で管軸方向に長く伸びている可能性がある。,
70,差動方式の貫通プローブを用いて管の渦電流探傷試験を行った。最も検出しやすいきずはどれか。 次のうちから正しいものを一つ選べ。,軸方向の長い表面割れ,軸方向の短い表面割れ,円周方向の短い表面割れ,円周方向の長い表面の割れ,,b,71P 5.4.2，及び143P 8.1.1(3)1) 143P に「貫通プローブは差動方式を用いるため，軸方向に長く伸びた傷の検出は困難であり，軸方向に 短い割れ，ヘゲ，ロールマークなどの独立きずが検出対象となる」とある。b）が正しい。 注＞円周方向の割れは，渦電流の流れを変化させる程度が小さく検出しにくい。,
71,渦電流探傷試験において，試験体における緩やかな寸法変化による雑音を抑圧するのに適切な方法は どれか。次のうちから正しいものを一つ選び，記号で答えなさい。,単一方式のプローブを用いる。,標準比較方式のプローブを用いる。,マルチコイルプローブを用いる。,差動方式のプローブを用いる。,,d,（新問題集に解説あり） 71P 5.4.2 （旧テキスト51P 5.4 図5.5） 差動方式（自己比較方式）はリフトオフ，温度変化の他，緩やかな変化を抑制できる。 他にハイパスフィルタを使う方法もある（旧テキスト65P 図6.18）。,
72,試験体における導電率や形状などの緩やかな変化を抑圧して、きずを検出するために用いられる試験 プローブは、何と呼ばれているか。次のうちから正しいものを一つ選べ。,マルチ方式,差動方式,標準比較方式,単一方式,,b,71P 5.4.2 （旧テキスト51P 5.4 図5.5） 差動方式（自己比較方式）はリフトオフ，温度変化の他，緩やかな変化を抑制できる。 他にハイパスフィルタを使う方法もある（旧テキスト65P 図6.18）。,
73,渦電流探傷試験において，充填率が低くなるとどのような現象が生じるか。次のうちから正しいもの を一つ選び，記号で答えなさい。,きず信号の振幅が大きくなる。,きず信号の位相が進む。,探傷感度が低下する。,ＳＮ比が高くなる。,,c,57P 4.3.3，74P 5.6.1 レベルⅢテキスト110P 7.3.1(1)によると，「リフトオフ変化に伴うインピーダンス変化は，試験コイ ルと試験体間の電磁気的な結合度の変化によるもので，貫通コイルや内挿コイルにおける充填率の変化 と同様な現象を示す。」とあり，これを頭に入れて，レベルⅡテキスト4.3.3 項の57P 左10 行目より， 「次に，結合係数k が1 より小さくなると，・・・・コイル1 の作る磁束が有効に伝わらず・・・・こ れは所謂(いわゆる)，感度の低い状態を示しているのである。」ということです。設問は「充填率が低 くなると…」と問うており，c）が正解となる。,
76,次の文は，上置プロープの一種である一様渦電流プローブやθ（シータ）プローブなどについて述べた ものである。次の中から正しいものを一つ選び，記号で答えなさい。,一様渦電流プローブ、θ（シータ）プローブ、クロスポイントプロープは，原理的にリフトオフ雑 音が発生しない。,一様渦電流プローブは，励磁コイルの巻線に対して直角方向に渦電流が発生する。,θ（シータ）プローブは，自己誘導形および相互誘導形として適用できる。,θ（シータ）プローブは，渦電流を直線状に誘導するため，検出するきずに方向依存性がある。,,a,（新問題集に解説あり） 70P 5.3 図5.3.3，74P 5.5.2 図5.5.3 図5.5.4 図5.5.5 (a）○（励磁コイルの磁束が検出コイル面を通過しない構造のため） (b）図5.5.5 参照。☓ (c）クロスポイント，θ，一様渦電流の各プローブとも，励磁と検出コイルからなる相互誘導形。☓ (d）θプローブの励磁コイルはパンケーキ形コイルをラジアル(図5.3.3)に配置。渦電流は渦巻き状。☓ 補＞テキスト5.5.2 項のクロスポイントプローブ，θプローブ，一様渦電流プローブはリフトオフの影 響を受けにくい構造となっている。理由は，何れも，励磁コイルの磁束が検出コイルを真横から通り抜 ける(コイル面の法線方向から入る磁束がない)為で，定常状態では起電力は生じない。きずなどがある と渦電流の流れが乱れるので検出コイルの法線方向から入る磁束により，起電力が生ずる。,
77,図は渦流探傷器の基本的な回路構成を示したものである。図の（１）に当てはまる回路は次のうちのい ずれか。正しいものを選べ。,発振器,同期検波器,ブリッジ,移相器,増幅器,e,79P 図6.1.1 (e)の増幅器が正しい。 設問図において，(2)は同期検波器，(3)は発振器，(4)は移相器。また平衡回路＝ブリッジである。 設問の図は，移相器が一つなのでいわゆる1 元出力(１ペン)方式。 図6.1.1 は2 元出力方式（複素表示形，XY 表示形）で2 系統の位相差90°の移相器と同期検波器があ る。,et_2022_04_q77.png
78,図6.1 は渦電流探傷器の基本的な回路構 成を示したものである。図の①に当ては まる回路は次のうちのいずれか。正しい ものをーつ選び，記号で答えなさい。,発振器,同期検波器,移相器,増幅器,,d,79P 6.1.1 図6.1.1， 旧テキスト 56P 図6.1 図6.1.1 は2 元（X，Y）出力の探傷器，旧テキストの図6.1 は1 元出力の探傷装置の構成となる。 d）が正しい。 注＞最近示される構成図では，図6.1.1 のように発振器とブリッジの間に電力増幅器があることが多い。 2 元出力では，90°位相が異なる2 系統の移相器とそれぞれに繋がる2 系統の同期検波器以降の回路が示 される。 また，同期検波器の入り口までは信号は交流(試験コイルのインピーダンス変化で変調された搬送波)であ り，同期検波器の出口から以降はきずなどで変化する直流として扱う。,et_2022_04_q78.png
79,磁性体の渦電流探傷試験において、磁気特性の不均一によって発生する雑音を抑圧するために用いら れるものは何か。次のうちから正しいものを一つ選べ。,磁気飽和コイル,フィルタ,リジェクション,同期検波,,a,46P 3.3.4，92P 6.2.4 磁気ノイズ：交流磁界の作用によって生じる強磁性体の増分透磁率の微小変化が，コイル出力に影 響を及ぼすノイズ。この影響は強磁性体を磁気飽和することにより除去される。a）が正解。,
80,渦電流探傷器のブリッジが不平衡のままで探傷するとどのような影響があるか。次のうちから正しい ものを一つ選べ。,出力指示に周期的な雑音が発生する。,出力指示に小さな雑音が発生する。,出力指示が安定せずに、定まらなくなる。,出力指示のゼロレベルが偏位し、きず信号がオーバーフローする。,,d,82P 6.1.5，旧ETⅡテキスト57P 6.1.3 例えば探傷試験のとき，ブリッジ平衡は試験片の健全部にコイルを置いてとるが，何らかの原因で平衡 が取れていないと，探傷装置の感度を上げていくにつれて，健全部の信号であってもディスプレイの輝 点や記録計の指示が原点（ゼロレベル）から大きくずれていくことを経験する。この現象はきず以外の 定常的な電圧成分（搬送波）がブリッジ出力に残存し，これがブリッジの次段の増幅器により増幅され， 増幅器の増幅限界（増幅直線性が保証できない状態）に近づいていることを意味する。極端な場合は定 常的な電圧成分（搬送波）に含まれる対比試験片の基準きず信号や探傷試験時のきず信号の一部または 全部が増幅器の増幅限界から外れてしまい，探傷装置の感度を上げても，上げた感度に比例したきず信 号が出ない状態となり，きず検出力が低下する。(ｄ)が正解。,
81,渦電流探傷器のブリッジには2 個のコイルを差動接続することが多い。この理由としてあてはまるも のを一つ選べ。,不要な信号を除去し、信号の変化分を取り出すため。,探傷試験の速度を向上させるため。,渦電流の浸透深さを大きくするため。,試験体の表面と裏面のきずをほぼ同じ感度で検出するため。,,a,70P 5.4，82P 6.1.5 図6.1.4(a) 図6.1.4(a)のL1 とL2 はブリッジの素子の2 つを試験コイルとして使用している。2 つのコイルなの で，使用方法としては標準比較方式と差動方式がある。5.4 項の解説のとおり，これらのプローブの特 徴は温度変化の影響を受けにくいとなっており，(a)が正解となる。 注＞標準比較方式の場合，標準コイルと試験コイルの間に温度変動があると，平衡がずれていくので差 動方式より影響を受けやすいことを頭に入れておくこと。,
82,図6.3のブリッジ回路において，平衡条件は下記のいずれの式で表されるか。次のうちから正しいもの を一つ選び，記号で答えなさい。,Z1・Z3＝Z2・Z4,Z1・Z2＝Z3・Z4,Z1/Z2＝Z3/Z4,Z1/Z2＝Z4/Z3,,c,81P 6.1.4 式6.1 および図6.1.3 図6.1.3 の対角線の素子を掛け算する。Z1×Z4＝Z2×Z3 → 変形して Z1/Z2＝Z3/Z4,et_2022_04_q82.png
83,渦電流探傷試験において、同期検波器による信号処理は次のどの場合に効果的か。 正しいものを一つ選べ。,端末指示の消去,上置コイルにおけるリフトオフ雑音の除去,表皮効果による影響の軽減,速度効果による影響の軽減,,b,84P 6.1.6 図6.1.9，87P 6.1.8，137P 7.4.4(4) 図7.4.4 7.4.4 項(4)の解説のとおり，同期検波器でS/N をよくするためにはきずと雑音に位相差があることが必 要である。図7.4.4 の信号出力がY（垂直方向）のとき，リフトオフ信号を水平にすると，リフトオフ 雑音は出力されないので，S/N が良好となる。b）が正しい。 a）端末指示は位相が一定ではないので，同期検波器によるS/N の向上は望めない。c）の「表皮効果の 影響」は雑音ではない。d）の速度効果は他の雑音と位相が異なる（レベル3 テキスト111P 図7.16 参 照）ことがあり，また探傷速度によってその程度が異なるため，自動平衡回路を用いたりする。 補＞同期検波器でS/N 向上の効果がある雑音は他に，貫通プローブや内挿プローブにおけるガタ雑音（搬 送振動による雑音）があげられる。,
84,"次の文は, 渦電流探傷試験においてフィルタの設定値を変更する必要がある場合について述べたもの である。正しいものを一つ選び記号で答えよ。",試験周波数を変更したとき。,感度を変更したとき。,位相を変更したとき。,探傷速度を変更したとき。,,d,"66P 4.5.7，88P 6.1.9，91P 6.2.2 渦電流探傷試験においてフィルタの設定値を変える と いうことは, きず信号の周波数成分が変わったと いうことである。きず信号の周波数成分は, 試験周 波数, 感度及び位相を変えても変わらない。したが って, (a)～(c)は不正解である。 図 1 は, 差動方 式の貫通プローブ内をきずが通過した場合の, コイ ルの間隔 g と検出信号の関係を示したものである。コイルの間隔は一定であり, きず信号の周波数成分 fx は探傷速度 V に比例する。探傷速度を変更した場合は, フィルタの設定値を変更する必要がある。 したがって, 正答は(d)である。",
85,渦電流探傷器において、探傷速度に応じて調整しなければならないものは何か。 次のうちから正しいものを一つ選べ。,ブリッジバランス,探傷感度,リジェクションレベル,フィルタの遮断周波数,,d,66P 4.5.7，88P 6.1.9，91P 6.2.1，115P 7.2.4(1)1) 図7.2.7，旧テキスト48P 4.5.7 探傷速度を変えると，きず信号が振れる時間（周波数成分）が変化するので，フィルタの周波数も調整 する必要がある。d）が正しい。 補＞探傷速度に関連しては，試験周波数（低試験周波数における同期検波器の整流効率；115P 図7.2.7）， 速度効果（速度によるインピーダンス変化），フィルタの周波数特性や記録計の応答速度などを考慮す る。,
86,渦電流探傷器において，試験体の形状の緩やかな変化による影響を小さくするために利用されるもの は何か。次のうちから正しいものを選べ。,ローパスフィルタ,ハイパスフィルタ,リジェクション,直流磁化,,b,88P 6.1.9 緩やかな変化の低減に、回路ではハイパスフィルタ，試験コイルでは差動（自己比較）方式を用いる。,
87,渦電流探傷器において，振幅の小さな雑音を除去するために用いられるものは何か。次のうちから正 しいものをーつ選び，記号で答えなさい。,同期検波器,リジェクション,ブリッジ,自動バランス,,b,89P 6.1.10 リジェクションは振幅解析であり，b）が正しい。,
88,渦流探傷試験において，探傷速度に関連して同時に考慮しなければならないものは何か。次のうちか ら正しいものを選べ。,試験コイルの電流の大きさ,試験コイルのインピーダンス,同期検波器の制御信号,記録計の応答速度,リジェクションの設定レベル,d,91P 6.2.1，旧テキスト48P 4.5.7 探傷速度に関連しては，試験周波数（低試験周波数における同期検波器の整流効率；115P 図7.2.7）， 速度効果（速度によるインピーダンス変化），フィルタの周波数特性や記録計の応答速度などを考慮す る。 補＞従来のペンレコーダー（電磁オシログラフ）の追従速度は100Hz 程度であるので探傷速度の管理は 特に重要である。最近は高速デジタルデータによる記録計を使用することが多くなり，かなり高速の信 号に追従する。,
89,渦流探傷器の感度を9dB だけ高くしたとき、きずの信号の大きさは何倍となるか。 次のうちから正しいものを一つ選べ。,2.2,2.5,2.8,3.1,,c,82P 6.1.5 式6.3 対数について 例えばｍ=logaN のとき am=N と書き換えることができる。 説問は，出力電圧V0，入力電圧Vi とすると利得G は，G=20log10(V0/Vi)=9 補＞電卓の使い方 9÷20＝10X ＝の順で2.818 と表示する。 また，増幅度2 倍の場合は、20log(2)=6 つまり6ｄB となる。,
