id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation
59,次の文は、鋼板の垂直探傷における探傷感度の調整方法について述べたものである。試験体の表面が粗く感度補正が必要であると考えられる厚さ25mmの鋼板をJIS G 0801によって直接接触法で探傷する必要が生じたため、次の要領で探傷感度を調整した。1)探触子5Z20Nを使用し、STB-N1の標準穴のエコー高さが表示器上で50％の高さになるように探傷器の感度を調整したとき、ゲインの値は19dBであった。2)STB-N1の標準穴のない部分及び試験体の健全部の底面エコー高さが表示器上で50％の高さになるように探傷器の感度を調整したとき、ゲインの値はそれぞれ10dB及び25dBであった。この時、感度補正量は何dBとなるか。,14dB,15dB,16dB,17dB,b,感度補正量は試験体底面25dB - STB-N1底面10dB = 15dBとなる。
60,次の文は、鍛鋼品の垂直探傷について述べたものである。正しいものを一つ選び、記号で答えよ。,林状エコーが多く、底面エコーが現れない場合、探傷感度をもっと高くする。,林状エコーが多く、底面エコーが現れない場合、探傷感度をもっと低くする。,林状エコーが多く、底面エコーが現れない場合、試験周波数をもっと高くする。,林状エコーが多く、底面エコーが現れない場合、試験周波数をもっと低くする。,d,林状エコーは超音波の波長が金属の結晶粒の大きさと同程度ないしそれ以下のとき現れる。このような場合、低い周波数を適用する。
61,次の文は、溶接部の斜角探傷における妨害エコーについて述べたものである。正しいものを一つ選び、記号で答えよ。,溶接部の探傷では、探傷データから反射源の位置を算出し、溶接部の開先形状と寸法を考慮して、きずエコーか妨害エコーかの判断をする。,斜角探傷で溶接部のビード上端部付近からのエコーが検出された。これは余盛による妨害エコーと判断するのがよい。,溶接部の妨害エコーは、溶接部の形状（余盛や裏当て金など）によってモード変換を起こしたエコーである。,裏はつりＴ継手溶接部では、柱材との隙間のタレ込みからの妨害エコーが発生しやすい。,a,溶接部の探傷では、探傷データから反射源の位置を算出し、溶接部の開先形状と寸法を考慮して、きずエコーか妨害エコーかの判断をする。
62,次の文は、溶接部の斜角探傷について述べたものである。正しいものを一つ選び、記号で答えよ。,面状の割れに対する超音波の入射角度が変わると、エコー高さは著しく変化する。,X開先の溶込み不良とV開先の溶込み不良は、きずの大きさが同じならば、エコー高さはほとんど同じになる。,同一探傷面から探傷すると、全ての溶接部のきずは1回反射法より直射法の方がエコー高さは高くなる。,アンダーカットは、常に高いエコー高さを示す。,a,きずが傾いている場合、その反射指向性によってエコー高さは影響を受ける。きずが大きく傾いている場合、探触子に戻ってくるエコーはとても小さくなる。
63,次の文は、鋼溶接部の超音波探傷における試験周波数について述べたものである。正しいものを一つ選び、記号で答えよ。,JIS Z 3060で、試験周波数を2MHz～5MHzと規定しているのは、試験体板厚に応じたビーム路程ときず検出能を考慮しているためである。,JIS Z 3060では、試験周波数を1MHz～10MHzまでの周波数を推奨している。,溶接部の超音波探傷において、試験周波数が高いほどきずの検出能は低下し、低い周波数ほどきず検出能やきず位置の測定精度は高まる。,周波数が高いほど、波長は短くなるため、きず位置の測定精度はよくなる。したがって、厚鋼板ほど高い試験周波数を選択するのがよい。,a,JIS Z 3060では、探触子の公称周波数は2MHz以上5MHz以下と規定されており、試験体板厚に応じたビーム路程ときず検出能を考慮している。
64,次の文は、JIS Z 3060によって鋼溶接部の探傷を行った結果である。板厚19mm鋼平板突合せ溶接部をA面から超音波探傷を行って探傷箇所①、②、③においてデータを得た。検査箇所①、②についての説明で適切なものを一つ選び、記号で答えよ。,検査箇所①は余盛内部のきずである。,検査箇所①はアンダーカットと推定されるので外観検査により再確認する必要がある。,検査箇所①は表面開口きずであるので溶接部のきずではない。,検査箇所①、②は溶接始端部からほぼ同じ位置にあるので同一きず群と判断した。,b,検査箇所①の反射源位置を計算すると、A面表層余盛止端部付近となり、アンダーカットと推定される。
65,次の文は、鋳鋼品を超音波探傷する場合に、注意する事柄について述べたものである。正しいものを一つ選び、記号で答えよ。,鋳鋼品には、引け巣のような強度に影響するきずが発生するので、きずの発生を予測して、垂直探傷や斜角探傷も行う必要がある。,鋳鋼品は、熱処理が行われるため、減衰は小さいので、一般鋼材と同じ周波数で探傷が可能である。,鋳鋼品は、結晶粒が小さく、減衰も小さいので、一般鋼材と同じ周波数で探傷が可能である。,鋳鋼品は、表面が機械加工されるので、表面粗さを考慮しなくてよい。,a,鋳鋼品は収縮率が大きく鋳込み温度が高く、鋳造欠陥が出やすい。そのため、きずの発生を予測して、垂直探傷や斜角探傷を行う必要がある。
66,次の文は、鋼板の垂直探傷における積算効果について述べたものである。正しいものを一つ選び、記号で答えよ。,積算効果は、板厚が30mm以下の鋼板の探傷で、ラミネーションがある場合によく検出される。,積算効果が現れた場合、きずの評価は特に指定がないかぎり、Ｆ１で行なう。,積算効果が現れた場合、きずの評価は特に指定がないかぎり、Ｆエコー高さの最大のところ（例えばＦ４、Ｆ５）で行なう。,積算効果は残留エコーの一種である。,b,積算効果とは、きずが小さい場合に、きずエコーが一回目より、二回目、三回目と高くなる現象。きずの評価は、特に指定がないかぎり、Ｆ１で行なう。
67,"次の文は、アルミニウム溶接部の斜角探傷について述べたものである。アルミニウム合金中の縦波音速を6,380m/s、横波音速を3,150m/sとする。測定範囲の調整及び屈折角の測定はSTB-A1（縦波音速5,900m/s、横波音速3,230m/s）を用いて行い、特に補正を加えていない。5Z10×10A70（STB屈折角69.5度）を用いて探傷する場合、この探触子のアルミニウム合金中の屈折角は何度となるか。",30.0度,66.0度,69.5度,73.8度,b,θAL＝sin⁻¹{(CAL/CFe)×sin69.5°}＝sin⁻¹{(3150/3230)×sin69.5°}＝66.0°
68,次の文は、超音波探触子の振動子に用いられる圧電素子の特徴及び用途について述べたものである。正しいものを一つ選び、記号で答えよ。,水晶は、温度変化が少なく変換効率も高いので斜角探触子に使用される。,ジルコンチタン酸鉛は、変換効率が高いので高感度の探触子として使用される。,硫酸リチウムは、機械的なダンピングが掛けにくいので低い周波数の探触子として使用される。,ニオブ酸リチウムは、低い周波数の探触子や広帯域探触子に使用される。,b,ジルコンチタン酸鉛は変換効率が最もよく、コンポジット型にすることで高感度で良好な分解能の探触子が製作できる。
69,次の文は、超音波探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,斜角探触子は、くさびの温度が変化しても屈折角が変わらないように作られている。,一般の斜角探触子の振動子は、横波を発生する。,可変角探触子で入射角を変えると、試験体中に縦波を斜めに伝搬させることができる。,探触子の吸音材は、分解能をよくするために付けている。,c,可変角探触子は、入射角を可変できる構造で、設定する入射角により、通常の横波斜角、表面波、縦波斜角、クリーピング探触子として使用できる。
70,次の文は、広帯域探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,広帯域探触子は、組織の粗い材料の探傷には使用できない。,広帯域探触子は、ＤＧＳ線図を用いた探傷に最も適している。,広帯域探触子は、周波数帯域の広い装置を使用した方がよい。,広帯域探触子は、専用の接触媒質を使用しなければならない。,c,広帯域探触子は組織の粗い試験体に用いてＳＮ比の向上が期待できる。種々の周波数成分を含んでいるからDGS線図の利用には適さない。グリセリンなど通常の接触媒質が使用できる。
71,次の文は、遅延材付き超音波探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,遅延材付きの垂直探触子では、遅延材内での多重反射エコーが現われるので、遅延材の長さにより探傷できる範囲が制限される。,遅延材付きの探触子は、主として水浸探傷において有効な性能を発揮する。,遅延材付きの材質がアクリル樹脂（CL:2730m/s）の探触子を用いて鋼の試験体を探傷する場合、遅延材の長さは最低でも鋼の板厚の約1/3程度の長さを必要とする。,遅延材の材質として、アクリル樹脂よりもピエゾ効果のあるセラミックスを用いた方が超音波の伝搬特性が向上する。,a,遅延材付き垂直探触子は、遅延材内での多重反射が現われるので、遅延材の長さにより探傷できる範囲が限られる。
72,次の文は、二振動子垂直探触子の特性について述べたものである。正しいものを一つ選び、記号で答えよ。,二振動子垂直探触子を用いて、きずをＦ/ＢＦで評価することができる。,厚鋼板の探傷に用いられる二振動子垂直探触子は、鋼板の厚さが6mmから40mmの間で変化しても、第1回目の底面エコー高さはほとんど変化しない。,二振動子垂直探触子は、その特性から試験体の表面近くのきずの検出が可能である。,二振動子垂直探触子は、ＳＮ比が高いため、交束範囲に関係なく、板厚が薄くても厚くても探傷が可能である。,c,二振動子探触子は、送受信振動子には若干の角度がつけられており、表面直下のきず検出や、厚さ測定用として使用される。
73,次の文は、斜角探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,斜角探触子の接触面が磨耗した場合は、薄いアクリル樹脂板を貼り付けて、再使用することができる。,斜角探触子の接触面がどのように磨耗しても、屈折角は変化しない。,斜角探触子の振動子は、縦波の他に横波も同程度の強さで発生する。,斜角探触子は、くさびの温度が上がると屈折角が小さくなる。,a,斜角探触子の接触面が磨耗した場合は、薄いアクリル樹脂板を貼り付けて、再使用することができる。不均一な摩耗をすると屈折角は変化する。
74,次の文は、くさび材料のポリスチレンを用いた斜角探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,摩耗によって磨き減ったクサビはアクリル樹脂板を貼り替えて再生することは、規格で認められている。,摩耗によって磨き減ったクサビを貼り替える場合、アクリル樹脂板が最適である。,摩耗によって磨き減ったクサビを貼り替える場合、超音波の伝達特性を考慮すると、元のクサビの材質と同じ樹脂板が最適である。,摩耗によって磨き減ったクサビを再生する場合、元の材質にかかわらず超音波が伝達するものであればどのような樹脂でも使用できる。,c,摩耗したくさびの貼り替えは認められているが、同じ材質に限られている。ポリスチレンのくさびには同じポリスチレンを使用する。
75,次の文は、二振動子垂直探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,送信用振動子と、受信用振動子との音響結合を遮断するために設置されているものを振動分割材という。,送信用振動子と、受信用振動子との音響結合を遮断するために設置されているものを振動隔離材という。,送信用振動子と、受信用振動子との音響結合を遮断するために設置されているものを音響隔離面という。,送信用振動子と、受信用振動子との音響結合を遮断するために設置されているものを音響分割面という。,c,二振動子探触子は、送信と受信を完全に隔離する音響隔離面があり、1つのハウジングに収めた形式の探触子である。
76,次の文は、フェーズドアレイ探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,フェーズドアレイ探触子は、一枚の大きな振動子で製作されている。,フェーズドアレイ探触子は、複数の振動子を三次元的な配列にして制作されている。,フェーズドアレイ探触子は、個々の振動子に電圧を印加する順番を電子的に調整することで、斜めに超音波を伝搬させることができる。,フェーズドアレイ探触子は、個々の振動子に電圧を印加する順序は常に一定の順序である。,c,アレイ探触子は、多くの小さい振動子からなり、各々の振動子に励起信号を印加するタイミングを電気的に制御して、超音波を集束させたり、斜めに伝搬させたりする。
77,次の文は、探触子ケーブルについて述べたものである。正しいものを一つ選び、記号で答えよ。,超音波探傷に用いる探触子ケーブルには、同軸ケーブルが用いられている。内部導体と外部導体及び絶縁体と被覆で構成されているため、曲げ変形には強い構造となっている。,探触子ケーブルは作業性を重視し、柔らかく耐久性のあるものを選択するのがよい。,現場の探傷作業において、接栓形状の異なる探触子を使用する場合、複数の変換コネクタを用意しておくと、一本の探触子ケーブルで間に合わせることができる。,探触子ケーブルは、安全性を重視し、太くて曲がりにくいものを選択する。,b,探触子ケーブルには同軸ケーブルが使用されている。一般的な電灯線ほど丈夫でないため、柔らかく耐久性のあるものを選択するのがよい。
78,次の文は、デジタル探傷器について述べたものである。正しいものを一つ選び、記号で答えよ。,デジタル探傷器は、探触子ごとのエコー高さ区分線を一度作成しておけば、長時間にわたってエコー高さ区分線を使用することができる。,デジタル探傷器に接続した探触子は、探傷前に入射点、屈折角を調整しておけば使用中の探触子の変化は自動的に補正される。,デジタル探傷器では、探触子の走査速度を早くすると探傷データを数値として記憶するため、そのサンプリングを細かくしないとエコーの最大値が真の値と異なる場合がある。,デジタル探傷器はメモリ機能が優れているので、アナログ探傷器に比べて電池の消耗が著しい。,c,デジタル探傷器は、サンプリングの頻度（周波数）が多いと再現表示される波形は受信した波形に近くなり、サンプリング頻度が少ないと本来の最大値を表示できない場合がある。
79,次の文は、デジタル探傷器について述べたものである。正しいものを一つ選び、記号で答えよ。,一度保存したエコー高さ区分線を、異なる屈折角の探触子でも再び呼び出して使用することができる。,斜角探触子の屈折角及び板厚を入力しておくと、斜角演算機能により、きずの深さ位置及び探触子きず距離を表示できる。,デジタル探傷器は、探傷結果の電気的な読取りが速い。そのため、走査速度はアナログ探傷器よりもかなり速くできる。,デジタル探傷器は、送信信号もデジタル化されている。,b,デジタル探傷器は探傷器の設定の記憶、ビーム路程の数値表示、斜角探傷における反射源の深さや反射源－探触子距離の表示ができる。
80,次の文は、デジタル探傷器を用いた作業について述べたものである。正しいものを一つ選び、記号で答えよ。,デジタル探傷器では、ゲート内に現れたエコーの位置を表示する機能が備わっている。このため、ゲートの起点はビーム路程零点付近から測定範囲の最大値まで設定しておくと作業能率が向上する。,デジタル探傷器では、音速値を設定すれば、測定範囲の調整ができる。,デジタル探傷器では、各種の探傷に適切なゲート位置、ゲート幅を調整する必要がある。,デジタル探傷器では、一度標準試験片で測定した入射点、屈折角及び作成したエコー高さ区分線を記憶しておけば、探傷現場に標準試験片を持参して調整しなくても探傷可能である。,c,デジタル探傷器では、設定したゲート内に着目するエコーのみにゲートがかかるようにゲートの幅、位置などを調整する必要がある。
81,次の文は、Ａ，Ｂ及びＣスコープ表示について述べたものである。正しいものを一つ選び、記号で答えよ。,Ａスコープとは、横軸に時間の経過をとり、縦軸に信号の大きさを表示する基本表示のことである。,Ｂスコープとは、横軸に時間の経過をとり、縦軸に信号の大きさを表示する基本表示のことである。,Ｃスコープとは、試験体の断面におけるきずの分布状態を表す断面表示のことである。,Ｃスコープとは、きずの分布状態を立体表示することである。,a,Ａスコープは基本表示、Ｂスコープは断面表示、Ｃスコープは平面表示である。
82,次の文は、超音波探傷器のパルス繰返し周波数について述べたものである。正しいものを一つ選び、記号で答えよ。,パルス繰返し周波数を高くすると、林状エコーが生じやすくなる。,パルス繰返し周波数を高くすると、遅れエコーが生じやすい。,パルス繰返し周波数を高くすると、残留エコーが生じやすい。,パルス繰返し周波数を高くすると、自動探傷速度を速くできない。,c,残留エコーとはパルス反射法において試験体中のエコーが次のパルスが送信された後も残っているため、受信されて探傷図形に現れるエコーをいう。減衰の少ない材料を探傷する場合、パルス繰返し周波数が高いと、一つ前のパルスが残ってしまい、残留エコーとして現れる。
83,次の文は、接触媒質について述べたものである。正しいものを一つ選び、記号で答えよ。,探傷面が粗いときは粘性の低いスピンドル油を用いた方が、超音波の伝達がよくなる。,曲率を有する部材や試験材が鉛直に近い配置で探傷する場合、接触媒質はグリセリンペーストよりも水の方が適している。,標準試験片のような平滑な材料では、接触媒質にマシン油、グリセリン、水を適用した場合、接触媒質の種類によるエコー高さはあまり変わらない。,接触媒質では水は安価でいつでも入手可能であるため、建築鉄骨の現場溶接部の探傷でも用いられることが多い。,c,表面が平滑な場合、エコー高さの変化がないため正しい。ただし、標準試験片は基準となる試験片のため、原則マシン油を用いる。
84,次の文は、超音波斜角探傷におけるRB-41Aの人工きずを加工及び使用するときの注意点を挙げたものである。正しいものを一つ選び、記号で答えよ。,人工きずの角部分は、面取りを行い平滑にする。,横穴の探傷面との平行度及び円柱面の仕上げ状態は、探傷感度の調整に影響しない。,人工きずの長さは、振動子の幅より十分に大きくすること。,振動子幅と同程度の幅が狭い対比試験片であっても、使用するビーム路程や探触子周波数に関係なく使用できる。,c,対比試験片の幅は振動子幅よりも十分大きいものでなければならない。振動子幅と同程度の狭い試験片は使用できない。
85,次の文は、ＮＤＴ手順書について述べたものである。正しいものを一つ選び、記号で答えよ。,ＮＤＴ手順書は、レベル３技術者により作成されたものでなければならない。,ＮＤＴ手順書の内容で、現場での対応が難しい場合、レベル２技術者は自分の判断で変更することができる。,詳細なＮＤＴ指示書があれば、ＮＤＴ手順書はなくてもよい。,探傷現場で、探傷方法について購入者が変更を要求してきた場合、検査技術者がレベル２技術者であれば、その要求どおりに変更することができる。,a,NDT手順書はレベル3技術者によって作成し、発行されなければならない。この文書は使用前に発注者（顧客）に提出し、承認を得る必要がある。
86,次の文は、NDT手順書について述べたものである。正しいものを一つ選び、記号で答えよ。,NDT手順書は、レベル2技術者により準備され、承認されていなければならない。,NDT手順書は、使用前に顧客に提出し、承認を得てから使用するのが一般的である。,NDT手順書に記載されている内容に変更の必要が生じた場合、現場でレベル2技術者が修正することができる。,NDT手順書は、探傷現場で顧客が探傷方法について変更を求めた場合、レベル2技術者が修正、標準化を図ることができる。,b,NDT手順書は、使用前に顧客に提出し、承認を得てから使用するのが一般的である。
87,次の文は、ＮＤＴ指示書について述べたものである。正しいものを一つ選び、記号で答えよ。,NDT指示書は、レベル3の資格者が作成しなければならない。,NDT指示書は、作業別に必ず準備しなくてはいけない文書である。,NDT指示書は、作成にあたって購入者の承認を得なければならない。,NDT指示書は、購入者から提示を求められた場合、参考として開示しなければならない。,d,NDT指示書はレベル2以上の技術者によって作成されるが、必ず準備しなければならない文書ではなく、必要に応じて準備する文書である。提示を求められれば参考として開示する文書である。
88,次の文は、板材を超音波探傷する際のきずエコーの発生予測について述べたものである。正しいものを一つ選び、記号で答えよ。,板材は圧延されるので、圧延方向に伸びたきずが板厚の表面に発生することが多い。,板材は、熱間状態から冷却されるときに収縮によるパイプ状きずが板厚の中央付近に発生することが多い。,板材は、熱間状態から冷却されるときに収縮によるブローホール状きずが板厚の中央付近に発生することが多い。,板材は圧延されるので、圧延方向に伸びた平面状のきずが板厚の中央付近に発生することが多い。,d,鋼板のきずは圧延によって長手方向（圧延方向）に延ばされ、鋼板表面に平行で細長くなっているので、板厚方向の垂直探傷が行われる。
89,次の文は、鍛鋼品に発生するきずの特徴について述べたものである。正しいものを一つ選び、記号で答えよ。,偏析きずは、軸状の試験体では、軸方向からの探傷でよく検出される。,ざくきずは、鍛鋼品のほぼ中心付近に集中して検出され、大きいきずの場合、底面エコーの低下が著しい。,粗大結晶粒による林状エコーは、軸状の試験体では中心付近に群立する。,偏析きずは、軸状の試験体では、円周方向の探傷で、検出されない。,b,ざくきずは、ほぼ中心付近に集中してきずエコーが検出され、きずが大きい場合は、底面エコーの低下が著しい。
90,次の文は、板厚が20mm程度の鋼板の突合せ溶接部に発生するきずについて述べたものである。正しいものを一つ選び、記号で答えよ。,多電極により溶接するサブマージアーク溶接では、層間に融合不良が発生しやすい。,サブマージアーク溶接は、溶接前にフラックスを散布するので、開先部が濡れるなどしていてもフラックスで吸収するためブローホールなどのきずは発生しにくい。,CO２半自動溶接を行う溶接部は、風が強い場合などにシールドガスが飛散し、ブローホールなどが発生しやすい。,Ｘ開先でCO２半自動溶接を行う場合、表面の溶接を行った後、裏面側の１層目は特にガウジングなどをしなくとも溶込みは十分得られるので、溶込み不良などのきずは発生しにくい。,c,現場溶接の場合、アーク近傍に強風が流れた場合、シールドガスを乱し、大気を巻き込むことによりブローホールが発生する。
91,次の文は、板厚25mm程度の鋼板の、X開先溶接部におけるきずの発生の要因について述べたものである。正しいものを一つ選び、記号で答えよ。,サブマージアーク溶接の場合、フラックス中に水分が存在する場合、アンダーカットが発生しやすい。,CO２半自動溶接の場合、風の影響でCO２ガスのシールドが完全でない場合、割れを発生しやすい。,CO２半自動溶接で多層盛の場合、層間のスラグを良く除去しないと溶込み不良やブローホールが発生しやすい。,被覆アーク溶接で多層盛の場合、表面側の溶接後、裏面側の溶接を行う場合、裏面側開先部のガウジングを十分行わないと内部の溶込み不良が発生しやすい。,d,被覆アーク溶接で多層盛の場合、表面側の溶接後、裏面側の溶接を行う場合、裏面側開先部のガウジングを十分行わないと内部の溶込み不良が発生しやすい。
92,次の文は、JIS Z 3060に基づく鋼溶接部の探傷における探傷範囲の選定について述べたものである。正しいものを一つ選び、記号で答えよ。,突合せ継手で片面両側から探傷を行う場合、探傷範囲は、直射法及び一回反射法の範囲である。,突合せ継手で両面両側から探傷を行う場合、探傷範囲は、直射法及び一回反射法の範囲である。,T継手で両面片側から探傷を行う場合、探傷範囲は、直射法及び一回反射法の範囲である。,角継手で片面片側から探傷を行う場合、探傷範囲は、直射法の範囲である。,a,JIS Z 3060付属書Bでは、突合継手片面両側の探傷は直射法及び一回反射法、突合継手両面両側の探傷は直射法と規定している。
93,次の文はJIS G 0801について述べたものである。［１］に適する語句を一つ選び、記号で答えよ。JIS G 0801の適用範囲は、原子炉、[１]、圧力容器などに使用する厚さ6mm以上、300mm以下の炭素鋼又は合金鋼（但し、ステンレス鋼を除く）の鋼板に対する自動又は手動による超音波探傷検査方法について規定している。,建築,橋梁,ボイラ,船舶,c,JIS G 0801の適用範囲は、原子炉、ボイラ、圧力容器などに使用する鋼板に対する超音波探傷検査方法について規定している。
94,次の文は、JIS Z 3060について述べたものである。〔1〕に適する語句を一つ選び、記号で答えよ。JIS Z 3060の適用範囲は、厚さ〔1〕mm以上のフェライト系鋼の完全溶込み溶接部に対して、パルス反射法によるAスコープ表示の探傷器を使用して、手動で行う超音波探傷試験方法について規定している。,6,9,13,19,a,JIS Z 3060の適用範囲は、厚さ6mm以上のフェライト系鋼の完全溶込み溶接部に対して規定している。
95,次の文は、圧力容器用鋼板の超音波探傷について述べたものである。厚さ30mmの圧力容器用鋼板を探触子5C20Nを使用してJIS G 0801によって探傷した。探傷感度は、STB-N1の標準穴のエコー高さを50%に調整した。この鋼板の探傷面は粗く、STB-N1と比べて伝達効率等が10dB低い。この鋼板を、伝達効率の補正を行わずに探傷したとき、エコー高さ(F1)が40％のきずが検出されたとする。この場合、このきずを〔１〕であると誤って判断することになる。,重きず,中きず,軽きず,検出の必要がないきず,c,補正をする前では40%のエコー高さは軽きずと判断されるが、補正感度10dBを加えた条件で探傷を行うと約120％となり重きずと評価される。
96,次の文は、JIS Z 3060によりSTB-A2形系のφ4mm、深さ4mmの標準穴を用いて感度調整する場合について述べたものである。正しいものを一つ選び、記号で答えよ。,屈折角45度の探触子を使用する場合は、H線に探傷感度を合わせて探傷を行う。,屈折角65度の探触子を使用する場合は、H線に探傷感度を合わせて探傷を行う。,屈折角70度の探触子を使用する場合は、H線に探傷感度を合わせて探傷を行う。,屈折角60度の探触子を使用する場合は、M線に探傷感度を合わせて探傷を行う。,c,公称屈折角70度を使用する場合は、標準穴のエコー高さをH線に合わせて必要に応じて感度補正を加えて、探傷感度とする。
97,次の文は、JIS G 0801に基づく垂直探傷のきず分類に関する規定について述べたものである。正しいものを一つ選び、記号で答えよ。,エコー高さが100%のきずは、中きずで、表示記号は△となる。,エコー高さが50%のきずは、中きずで、表示記号は△となる。,エコー高さが25%のきずは、軽きずで、表示記号は〇となる。,エコー高さが49%のきずは、中きずで、表示記号は△となる。,a,軽きず：25%＜F１≦50%（表示記号〇）、中きず：50%＜F１≦100%（表示記号△）、重きず：F１＞100%（表示記号×）
98,次の文は、JIS Z 3060に基づく鋼溶接部の斜角探傷における探傷感度の調整について述べたものである。正しいものを一つ選び、記号で答えよ。,探触子の屈折角70度を使用する場合、RB-41Aの標準穴のエコー高さをＨ線に調整する。,探触子の屈折角65度を使用する場合、RB-41Aの標準穴のエコー高さをＭ線に調整する。,探触子の屈折角70度を使用する場合で、RB-41Bを用いる場合、標準穴のエコー高さをＨ線に調整した後、感度補正量が3dBを超える場合には感度補正を行う。,探触子の屈折角70度を使用し、使用する最大のビーム路程が200mmの場合で、STB-A2を用いる場合、φ4mm、深さ4mmの標準穴のエコー高さをＨ線に調整した後、感度補正量が4dBを超える場合には感度補正を行う。,a,RB-41Aによる場合、標準穴のエコー高さが、H線に一致するようゲインを調整し、探傷感度とする。
99,次の文は、JIS Z 3060に記載されているRB-41Aについて述べたものである。正しいものを一つ選び、記号で答えよ。,RB-41Aを用いてエコー高さ区分線を作成する場合、基準となる反射源に探触子を正対させるには、探触子を試験片の側面に沿わせて前後走査させるとよい。,RB-41Aは自作が可能で、直径3.2mmの横穴を加工する。,RB-41Aは、探傷面を標準試験片のように平滑な面仕上げにする。,RB-41Aは、試験体と同等の音響特性の鋼材、探傷面の状態で、曲率をもたないものとする。,d,JIS Z 3060でRB-41Aは、『試験体と同等の音響特性の鋼材、探傷面の状態で、曲率をもたないものとする。試験体との音速差は±2%以内、感度補正量の差が±2dB以内とする。』と規定されている。
100,次の文は、斜角探傷における超音波探傷器の探傷図形について述べたものである。正しいものを一つ選び、記号で答えよ。,鋼溶接部の斜角探傷試験において、ゲート範囲は測定範囲全体に掛けておくと、作業効率を上げることができる。,探傷の際、表示器の表示モードは常時ＭＡ波形表示に設定しておいた方が、きずの最大エコーを正しく測定することができる。,デジタル探傷器を用いて斜角探傷を行う場合、あらかじめ探傷装置に屈折角と板厚の数値を入力しておけば、きず位置は画面表示されるので、探傷作業中は、きずの位置の表示部だけを監視する。,デジタル探傷器を用いて斜角探傷を行う場合、ビーム路程の読み取りはゲートで捉えられたエコーについて、表示部に示された数値を読み取るのがよい。,d,エコー高さについては、多くはゲート内の最大高さを検出してエコー高さを表示する。したがって設定したゲート内に着目するエコーより高いエコーがある場合、着目するエコーのみにゲートが掛かるようにゲート幅、位置などを調整する必要がある。
101,次の文は、斜角探触子（5Z10×10A45、5Z10×10A60、5Z10×10A70）を用いた場合の鋼のコーナーエコーの反射率について述べたものである。正しいものを一つ選び、記号で答えよ。,反射率が高い順から並べると、７０度、６０度、４５度となる。,反射率が高い順から並べると、６０度、７０度、４５度となる。,反射率は、いずれも同じである。,反射率が最も低いのは、６０度である。,d,コーナーエコーでの反射率は、高い順から並べると、45度、70度、60度の順となる。（45度は全反射、70度は約50%、60度は13%の反射率）
102,次の文は、Ｋ走査探傷法について述べたものである。正しいものを一つ選び、記号で答えよ。,Ｋ走査探傷法とは、鋼材溶接部のブローホールの検出を目的とした探傷法である。,Ｋ走査探傷法とは、鉄筋圧接部の不完全接合部の検出に用いる探傷法である。,Ｋ走査探傷法とは、探触子を向かい合わせた状態で探傷する方法である。,Ｋ走査探傷法とは、角継手の溶込み幅の測定に有効な探傷法である。,b,K走査探傷法とは、鉄筋圧接部の不完全接合部を検出する探傷法である。送信側探触子から発信された超音波が不完全接合部で反射され受信側探触子に受信される超音波の経路が英字のKに似ている所から、この探傷法をK走査探傷法と呼ぶ。
103,次の文は、両面平行な鋼板を局部水浸法によって垂直探傷した結果について述べたものである。水距離を鋼板の厚さの1/3にして探傷したものであり、鋼板の縦波音速を5920m/s、横波音速を3230m/s、水の縦波音速を1480m/sとする。試験体の厚さは約何mmか。,20,40,60,80,c,局部水浸法の探傷図形で、S1のビーム路程80mmは鋼で調整したビーム路程なので水の縦波音速に変換すると、80×1480/5920=20mmとなり、これが水距離である。試験体の厚さはB1－S1で、ビーム路程140-80=60mm（水距離の3倍）となる。
104,次の文は、垂直探傷におけるＳＴＢを用いた感度調整について述べたものである。正しいものを一つ選び、記号で答えよ。,試験片方式による感度調整は、減衰が少ない試験体にだけ適用できる。,試験片方式による感度調整は、試験体の探傷面と底面が平行でないと適用できない。,試験片方式による感度調整は、減衰の著しい試験体のとき、きずを過小評価する恐れがある。,試験片方式による感度調整は、試験体の探傷面の粗さの影響を受けにくい。,c,試験片方式の主な特徴：①試験片方式では試験面の粗さ、試験体の減衰の影響を受ける。②探傷面と底面は平行でなくてもよい。③減衰の大きな試験体では過小評価する。
105,次の文は、減衰のある鍛鋼品の垂直探傷における感度調整について述べたものである。正しいものを一つ選び、記号で答えよ。,底面エコー方式の感度調整による探傷では、試験片方式による感度調整よりも、きずを小さめに評価する傾向がある。,底面エコー方式の感度調整による探傷では、試験片方式による感度調整よりも、きずを大きめに評価する傾向がある。,底面エコー方式の感度調整による探傷では、減衰の影響を受けないで、きずを評価することができる。,底面エコー方式の感度調整による探傷では、減衰量を特に補正しなくても、きずを評価することができる。,b,底面エコー方式による感度調整では、減衰の大きな試験体では、試験片方式による感度調整よりも、過大評価する傾向がある。
