id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
54,次の文は，前処理について述べたものである。誤っているものを選べ。,前処理とは浸透液が表面をぬらし，きずの開口部よりきずの中に十分な浸透液を浸透させるた めに行う処理である。,粘土，泥などの汚れは除去する場合には水又は温水に水溶性界面活性剤を少量加えて用いると よい。,有機溶剤により油脂類を除去する場合は，溶解に必要な量の溶剤を使用し，溶解後溶剤が揮発 すると同時に油脂類を揮発させて除去させるのが一般的である。,指示模様に悪い影響を及ぼすような溶剤や表面処理剤を使用した場合には中和，水洗等により 十分に除去しなければならない。,有機溶剤を使用して前処理を行った場合は，きずの中に浸透した有機溶剤が完全に揮発するま で十分な時間放置するか，温風などにより強制的に乾燥させる必要がある。,c,,
55,次の文は，前処理について述べたものである。正しいものを選べ。,グリース等の油脂類は温水で除去するのがよい。,無機質の汚れは石油系溶剤で除去するのがよい。,泥・粘土類を除去するには水溶性界面活性剤を添加した温水で洗浄するとよい。,表面に発生した錆を除去するには有機溶剤がよい。,塗料はワイヤブラシで除去するのがよい。,c,巻末の【参考資料】参照,
56,次の文は，前処理について述べたものである。正しいものを選べ。,低粘度の油脂類の汚れは，洗浄液や有機溶剤による洗浄では不十分である。,高粘度の油脂類の汚れは，有機溶剤の蒸気脱脂や界面活性剤を入れた水蒸気洗浄が有効であ る。,無機質の汚れには，機械的処理や化学的処理が有効である。,固形物の汚れは，ブラッシングとか水洗性界面活性剤を使った水洗浄が有効である。,水分の除去は，ドライヤーなどを使って乾燥することが必要だが，水洗性浸透液を使用する場 合は，水分を除去しないで適用できる。,b,巻末の【参考資料】参照,
57,次は，浸透処理について述べたものである。正しいものを選べ。,浸透時間は，浸透液の種類，試験体の材質，試験体と浸透液の温度などの他に，浸透液の適用 方法も考慮して定める必要がある。,全ての浸透探傷試験における浸透時間とは，試験体に浸透液を適用してから除去処理又は洗浄 処理を開始するまでの時間を言う。,浸透処理を浸漬法で行った場合の排液処理は，余剰浸透液をあらかじめ少なくするために行う 操作である。,低温下で浸透処理を行う場合は，浸透液を適当な温度に加熱して用いるのが最も良い方法であ る。,,c,・浸透時間に浸透液の適用方法は無関係である。 ・後乳化性浸透探傷試験の場合は予備水洗及び乳化剤適用までが浸透 時間となる。 ・浸透液で試験体が濡れた状態で有れば良い。 ・低温下で浸透処理を行う場合は，試験体を温めて検査を実施する。,
59,次の文は，洗浄処理について述べたものである。正しいものを選べ。,水洗性浸透探傷試験の洗浄処理では，一般的に水圧は147～275kPa（1.5～2.8kgf/cm2）位であ る。,洗浄処理に使用される水の温度は一般的に40～60℃位であり，温度が高い程洗浄性が良い。,洗浄に要する時間は，予測されるきずの形状，大きさにより大きく異なる。,水洗性浸透探傷試験における洗浄処理の手順は，平滑な部分を先に洗い，穴やキー溝等の複雑 な部分を後で洗浄する。,,a,洗浄処理は水または温水を使用する。洗浄水の温度は10℃～40℃程度 である。 洗浄に要する時間は試験体の形状，大きさ，表面粗さ等により大きく 異なる。 シャワー法は，手作業でも使用される。,
60,次の文は，洗浄処理について述べたものである。正しいものを選べ。,洗浄水の温度は高い方がよく洗浄できるので，できるだけ100℃程度の温水で洗浄することが望 ましい。,洗浄水の水圧は147～490kPa（1.5～5.0kgf/cm2）程度で実施するのが望ましい。,複雑な形状の試験体を洗浄するときは，一般に洗浄のし難い所から始め，洗浄の容易な部分は できるだけ後で素早く行う。,洗浄時間はきず検出性能にあまり関係しないので，疑似模様の発生を避けるためにも十分時間 をかけて洗浄するのがよい。,洗浄用スプレーノズルの距離を試験面にできるだけ近づけて行うと，洗浄がスムーズに行え る。,c,洗浄水の温度は10℃～40℃程度の温水で洗浄する。 洗浄水の水圧は147～275kPa（1.5～2.8kgf/cm2）程度。,
61,次の文は，溶剤除去性蛍光浸透探傷試験における適正な除去処理の程度を確認する方法について 述べたものである。正しいものを選べ。,白色光の下で試験面を見て，浸透液の色が見えるかどうか確認する。,ブラックライトで試験面に紫外線を照射して確認する。,除去液をわずかに湿らせた白いウエスで拭き，そのウエスに紫外線を照射して確認する。,乾いた白いウエスで拭き，そのウエスに紫外線を照射して確認する。,,b,除去処理とは，試験面の余剰浸透液を除去する処理工程である。 蛍光浸透探傷試験の場合は，試験面に浸透液が残らない程度（疑似 模様が発生しない程度）をブラックライトを照射して確認して終了 とする。,
62,次の文は，各種現像法について述べたものである。正しいものを選べ。,乾式現像法における現像剤の適用方法にはエアーフライング法，浸漬法，ふりかけ法等があ る。,乾式現像法では現像粉末はきずの部分に吸着し，指示模様は時間が経過すると拡大する。,染色浸透探傷試験に適用できる現像法は湿式現像法と速乾式現像法であるが，最適な方法は湿 式現像法である。,無現像法は指示模様の拡大が全くなく，忠実にきずを再現することができ，高感度の浸透液と 組合せて使用されるため湿式現像法よりも検出力が高い。,,a,乾式現像法は現像剤がきず部にしか吸着しないため，時間による指 示模様の変化が少ない。 染色浸透探傷試験の最適な現像法は速乾式現像法である。 無現像法は現像剤を適用しないため，その代替えとして一般的には 加熱乾燥してきず中の浸透液を表面に溢れ出すようにしているが， 現像剤を適用する場合に比べて検出感度が悪い。,
63,次の文は，乾燥処理について述べたものである。正しいものを選べ。,溶剤で除去処理をしたときは，熱風等を用いて迅速に乾燥処理を行う必要がある。,乾燥処理に用いる熱風循環式乾燥器は自動温度調節機能がついており，一定の温度で均一に加 熱することができる。,熱風循環式乾燥器は試験体の温度が上がって指示模様が大きくにじむので，湿式現像法を適用 した場合には使用してはならない。,湿式現像法における乾燥処理は低温でなるべく長時間乾燥した方が指示模様のにじみが少な い。,,b,乾燥の目的には，①試験面の乾燥，②湿式現像剤の乾燥がある。 熱風循環式乾燥器を使用したときは，器内温度を70℃以下にして短 時間で乾燥させる（材厚が薄いほど乾燥温度を低くして短時間で行 う）。 電熱式や赤外線は局部的に過熱されるので好ましくない。,
64,次の文は，染色浸透探傷試験の指示模様の知覚について述べたものである。正しいものを選べ。,知覚しやすくするために，浸透液にはすべて蛍光物質が加えられている。,知覚しやすいか，しにくいかは指示模様の大きさと浸透液の色のみで決まる。,知覚しやすいか，しにくいかは指示模様の大きさとバックグラウンドの色で決まる。,知覚しやすいか，しにくいかは指示模様の大きさと試験体自身の持つ表面の色で決まる。,知覚しやすいか，しにくいかは指示模様の大きさと浸透液とバックグラウンドの色で決まる。,e,指示模様の知覚の程度は，染色浸透探傷試験では指示模様の大きさ とバックグラウンドと指示模様の色相の差により決まる。,
65,次の文は，きずの指示模様の観察について述べたものである。正しいものを選べ。,染色浸透探傷試験の場合の試験面の明るさは，通常500 lx 以上必要である。,蛍光浸透探傷試験の場合に必要とする試験面の暗さは，5 lx 以下である。,蛍光浸透探傷試験の場合の試験面での紫外線強度は，500μＷ/ｃm２以上必要である。,蛍光浸透探傷試験の場合は周囲を若干明るくする必要があるが，明るさとして通常20 lx 以上は 必要である。,,a,蛍光浸透探傷試験の観察場所は20Lx 以下の明るさにし，目も環境の 暗さに慣れてから観察を行う（暗順応）。 試験面での紫外線強度は，1000μW/cm２以上必要である。,
66,次の文は，再試験について述べたものである。正しいものを選べ。,再試験とは，きず指示模様の判定を再度やり直すことである。,同じ試験方法で再試験を行う場合は，試験結果に良い影響を与えないので，他の試験方法を選 択して行う必要がある。,再試験は指示模様がきずによるものか，疑似指示によるものかの判断が困難な場合にも行うも ので，再試験が必要な箇所の現像剤を取り除き再度前処理から行う。,試験の過程で操作手順に誤りがあった場合は，誤りのあった工程からやり直す。,,c,再試験を実施しなければならないのは，操作手順に誤りがあった場 合，きずによる指示か疑似指示かの判断が困難な場合。 再試験は，現像剤を取り除いてから必ず前処理から行う。 また，きずの中に残留している浸透液も洗浄する必要がある。,
67,次の文は，後処理について述べたものである。正しいものを選べ。,後処理をどのように行うかは，この先における試験体への悪影響の有無，この先の作業工程に おける影響を考慮して決める。,どのような場合でも後処理では試験体に付着した全ての現像剤，浸透液等の探傷剤をきれいに 除去する。,有機溶剤を使用した超音波洗浄は浸透探傷試験の後処理には使用できない。,観察が終わった試験体表面に残った湿式現像剤は，試験体にエアを強く吹き付けて後処理を行 うと効率がよい。,,a,後処理とは，必要に応じて試験体表面の現像剤を除去し，適当な表 面処理を行うことをいう。,
68,次は，微細な割れ，及び幅が広く浅い割れの検出に最も適している探傷方法を示したものであ る。正しいものを選べ。,水洗性蛍光浸透探傷試験,後乳化性蛍光浸透探傷試験,溶剤除去性蛍光浸透探傷試験,水洗性染色浸透探傷試験,溶剤除去性染色浸透探傷試験,b,微細な割れ：蛍光浸透液を使用する。 幅が広く浅いきず：後乳化性を使用する。 従って，後乳化性蛍光浸透探傷試験を選択する。 巻末の【参考資料】参照。,
69,大型鋳鋼品の部分探傷を行なう場合，最も良く使われている探傷方法はどれか。正しいものを選 べ。,水洗性蛍光浸透探傷試験,溶剤除去性蛍光浸透探傷試験,後乳化性蛍光浸透探傷試験,水洗性染色蛍光浸透探傷試験,溶剤除去性染色浸透探傷試験,e,巻末の【参考資料】参照,
70,次の文は，水エアゾール洗浄剤を用いた水洗性浸透探傷試験について述べたものである。正しい ものを選べ。,洗浄処理設備，水道設備，排水処理設備が必要である。,溶剤除去性浸透探傷試験で使用する洗浄液と同様に，水エアゾール洗浄剤は前処理にも使用で きる。,キー溝，ネジ部等形状の複雑なものや表面の粗いものに適している。,余剰浸透液の除去は一般に水エアゾール洗浄剤をスプレーで試験体に適用して除去した後，ウ エス等で拭き取る。,溶剤除去性浸透探傷試験で使用する洗浄液と比較して火災や有機溶剤の中毒に対して注意が必 要である。,c,水エアゾール洗浄剤を使用すると最小限の水を使用するので，排水 処理設備等が不要となる。 水エアゾールは水を噴射しているので油分等の除去に用いる前処理 には使用できない。,
71,次の文は，水エアゾールを用いた水洗性浸透探傷試験について述べたものである。正しいものを 選べ。,水エアゾールは，ウエスに含ませて使用し，直接試験体に吹き付けてはならない。,水エアゾールは，水ベース乳化剤と組合せて使用されるのが一般的である。,蛍光探傷試験の洗浄処理に用いる場合は，過洗浄の恐れがないのでブラックライトの照射は必 要ない。,水エアゾールは，浸透処理後まず乾いたウエスで余剰浸透液を除去した後，残った余剰浸透液 に洗浄水を一定の距離から吹き付けて洗浄する。,浸透処理した試験体に水型エアゾール洗浄液を一定の距離に保って吹き付け，次に表面に付着 している洗浄水をウエスで拭き取る。,d,水洗性浸透探傷試験を現場で適用するにあたり水スプレーの代替 として，水エアゾールを用いた水洗性浸透探傷試験が開発された。 手順は，普通の水洗性浸透探傷試験と同じであるが，水エアゾール を適用する前に余剰浸透液をできるだけウエス等で拭き取っておく ことが望ましい。 なお，水エアゾールをウエスに湿らせ余剰浸透液を拭き取ること は溶剤除去性浸透探傷試験と同じ手法となり，水洗性浸透探傷試験 の特徴を生かせないため誤りとなる。,
72,次の文は，低温下における浸透探傷試験の問題点について述べたものである。正しいものを選 べ。,浸透液の粘度低下による浸透時間の増加,速乾式現像剤の溶剤の揮発性の低下による乾燥時間の増加,洗浄液の凍結,浸透液のぬれ性の増加,スプレー缶の内圧の上昇,b,JIS Z 2343-1 では5℃程度～10℃未満を低温の範囲としており，この範 囲では洗浄液は凍結しない。 低温下では，染色浸透液よりも蛍光浸透液の方が粘度上昇は大きい。 低温用の超速乾式現像剤が開発されている。,
73,次の文は，鋳鋼品の製品検査について述べたものである。誤っているものを選べ。 類,鋳鋼品の製品検査はきずの補修と熱処理及び整形加工等があるので製造工程の出来るだけ早い 時期に実施すべきである。,鋳鋼品で割れの出やすい部分は肉厚急変部である。,鋳鋼品に発生するきずの代表的なものは疲労割れである。,鋳鋼品に見られるピンホールはガスや空気を金属中に巻き込んだことにより発生したきずであ る。,引け巣は肉厚の厚い部分など溶融金属の凝固が不均一なため凝固の遅れた部分に発生するきず である。,c,巻末の【参考資料】参照 疲労割れは稼働中に発生するきずである。,
74,次の文は，浸透探傷試験の特徴について述べたものである。正しいものを選べ。,試験体の材質が浸透探傷剤に侵されるもの，吸湿性（多孔質）なもの，非金属材料に対しても 適用することができる。,一回の探傷操作で，すべての方向のきずを検出することができる。,目で見えるような大きなきずは，必ず検出できる。,大きなきずからは大きな指示模様が現れるので，指示模様の状態からきずの深さが推定でき る。,,b,試験体の材質が浸透探傷剤に侵されることなく，吸湿性（多孔質）で なければ，非金属材料に対しても適用することができる。 目で見えるような大きなきずでも検出できないこともある。 きずによる浸透指示模様からは，きずの内部の情報（深さ）は得られ ない。また，大きなきずでも開口部の状態により小さい指示模様とし て現れることがある。,
75,次の文は，現像面を観察するのに必要な環境条件を述べたものである。正しいものを選べ。,明所視の場合，試験面の明るさは1000 lx 以上とする。,目視の角度は試験面に立てた法線と45 度以内の角度とする。,光源と目の配置で，光源の光が直接目に入らないようにする。,目と現像面間の距離は遠く離れても1 m とする。,暗所視の場合，周辺部の明るさは10 lx 以下とする。,c,"明所視の場合，試験面の明るさは500Lx 以上で10,000Lx 以下。 目視の角度は試験面に立てた法線と30 度以内。 目と試験面間の距離は25cm 以上60cm 以内。 暗所視の場合の周辺部の明るさは20Lx 以下。",
76,浸透探傷試験において，浸透指示模様の観察時の周辺部の明るさ（又は暗さ)として，次のうち 正しいものを選べ。,明所視の場合は明るくとも10000 lx 程度，暗所視の場合は20 lx 以下の暗さが望ましい。,明所視の場合は明るくとも100 lx 以下，暗所視の場合は20 lx 以下の暗さが望ましい。,明所視の場合は明るくとも10000 lx 以下，暗所視の場合は80 lx 以下の暗さが望ましい。,明所視の場合は明るくとも100 lx 以下，暗所視の場合は80 lx 以下の暗さが望ましい。,明所視，暗所視いずれの場合も，きず指示模様の明るさが十分であれば周辺部の明るさ（又は 暗さ）は，あまり影響がない。,a,明所視の場合，試験面の明るさは500Lx 以上（10000Lx 以下） 暗所視の場合の周辺部の明るさは20Lx 以下,
77,次の文は，指示模様の形状について述べたものである。正しいものを選べ。,実用上有害なきずとされる割れは，必ず線状指示模様として現れる。,製品使用上ある程度の大きさのものまで許容される円形指示模様はすべてピンホールやブロー ホールのような円形もしくは塊状のきずによるものであって，割れによって現れたものではな い。,きずが有害なものか無害なものかを判断するときには，その指示模様が線形であるか円形であ るかによって有害，無害を判定すればよい。,指示模様はきずについての一つの情報を与えてくれているだけであり，指示模様の形状，寸法 だけでその指示模様を示しているきずの実用上の影響を判断することはできない。,浸透探傷試験のJIS 規格ではきずの分類は必ず指示模様を分類した後，指示模様の寸法を測定し て行うことになる。,d,指示模様の形状は実際のきずと異なる場合があり指示模様の形状の みできずの有害性(実用上の影響の有無)の判別はできない。,
78,次の文は，疑似指示の発生原因について述べたものである。正しいものを選べ。,洗浄処理で洗浄時間が長すぎた場合。,洗浄処理で水圧が高すぎた場合。,除去処理で除去液の適用が多すぎた場合。,乳化処理で乳化時間が短すぎた場合。,,d,浸透探傷試験で現れる疑似模様は，基本的には全て洗浄不足か除去不 足が原因で発生する。 ａ）ｂ）ｃ）は，過洗浄及び過除去の要因である。,
79,次の文は，指示模様の観察・解釈・評価の中に含まれる行為について述べたものである。正しい ものを選べ。,"指示模様の解釈を行うときは, 現像塗膜を除去した後に試験面の観察を行わなければならな い。","指示模様の観察を行うときは, その発生原因を必ず特定しなければならない。","指示模様の解釈を行うときは, 判定対象となるきずによる指示模様か, 又は判定対象外となる きずによる指示模様なのかを判断し, 決めなければならない。","指示模様の観察・解釈・評価では, 判定対象とならない指示模様が認められたならば, 記録に 残す必要はない。",,c,"指示模様の観察とは,現像処理した試験体表面に適正な現像剤塗膜が 塗布されていることを確認した後,正しい観察条件の下で浸透液によ る指示の有無を調べる行為をいう。",
80,次の文は，エアゾールタイプの探傷剤の管理について述べたものである。正しいものを選べ。,性能の低下は少なく，長時間経過したものをそのまま使用できる。,浸透液についてはガス圧が低下していても液がノズルから出て，性能に変化がなければそのま ま使用してかまわない。,ガス圧が低下した現像剤については70℃程度に加熱して必要なガス圧が得られれば使用してか まわない。,現像剤については長時間経過したものをそのまま使用できる。,,b,エアゾールタイプの現像剤の内圧が低下すると噴霧能力が悪くなる ので，その場合は30℃以下の温湯で加温してから使用する。 エアゾールタイプの探傷剤を長期間使用していない場合は，特に缶内 の発錆と性能低下の可能性があるので点検する必要がある。,
81,次の文は，エアゾール製品の安全取り扱いに関連する事項を述べたものである。正しいものを選 べ。,エアゾール製品の内部圧力は25℃で100～200kPa であり，40℃以上になると爆発の恐れが出て くる。,温度低下による探傷剤の噴射圧力が弱まったときは50℃以下の温湯で加温する。,エアゾール製品の内部圧力は特に温度による変化が著しいので取り扱いや保管には注意が必要 である。,エアゾール製品の噴射ガスには不燃性のガスが使用されている。,,c,エアゾール製品の内部圧力は25℃で290～490kPa ぐらいである。 温度低下による探傷剤の噴射圧力が弱まったときは30℃以下の温湯 で加温する。温度が40℃以上となる場所には置かない。 エアゾール製品の噴射ガスには引火性のあるものとないものが使用 されている。,
82,"JIS Z 2343-1：2017による探傷剤の分類で,タイプI：蛍光浸透液,Ⅱ：染色浸透液,方法A： 水,B：油ベース乳化剤,C：有機溶剤(除去剤),D：水ベース乳化剤,フォームa：乾式,b：水溶性湿 式,c：水懸濁性湿式,d：有機溶剤ベース ,e：有機溶剤ベース に分類されている。正しい組み合わせを選べ。","Ⅰ, Ａ, e","Ⅱ, Ｃ, e","Ⅱ, Ａ, a","Ⅱ, Ｃ, a",,b,"蛍光浸透液を使用する場合の現像剤はフォームd：有機溶剤ベース(タ イプⅠ用速乾式)以外を適用する。 また,染色浸透液を使用する場合の現像剤は,フォームa：乾式は適用 しない。",
