id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
55,"次の文は，疲労割れを検出するために大型部品や構造物を部分的に探傷する場合に最も適切な探傷方法を示したものである。正しいものを選べ。","水洗性蛍光浸透探傷試験","後乳化性蛍光浸透探傷試験","溶剤除去性蛍光浸透探傷試験","水洗性染色浸透探傷試験","",c,"疲労割れ→微細なきずの探傷なので蛍光浸透探傷を選択する。大型部品や構造物を部分的に探傷する場合→携帯性に富んだ溶剤除去性を選択する。したがって，溶剤除去性蛍光浸透探傷試験を選択する。"
56,"次の文は，浸透探傷試験の適用対象について述べたものである。正しいものを選べ。","構造物を全面探傷する場合は，溶剤除去性浸透探傷試験が適する。","試験場所を暗くすることが困難な場合は，蛍光浸透探傷試験が適する。","幅が広く浅い割れの検出には溶剤除去性蛍光浸透探傷試験が適する。","小型量産部品やねじ，キー溝などの鋭角な隅部の探傷には水洗性蛍光浸透探傷試験が適する。","",d,"浸透探傷試験の一般的な適用対象表を参照。"
57,"次の探傷方法において，乾燥処理を必要としない試験方法はどれか。正しいものを選べ。","水洗性蛍光浸透探傷試験・・・・・乾式現像法","後乳化性蛍光浸透探傷試験・・・・乾式現像法","溶剤除去性蛍光浸透探傷試験・・・速乾式現像法","水洗性染色浸透探傷試験・・・・・速乾式現像法","",c,"溶剤除去性蛍光浸透探傷試験・速乾式現像法は検査処理中に水を使用しないため，乾燥処理は不要である。"
58,"次の項目は，水洗性蛍光浸透探傷試験・速乾式現像法の操作手順を示したものである。正しいもの選べ。","前処理－浸透処理－洗浄処理－現像処理－乾燥処理－観察－後処理","前処理－浸透処理－除去処理－現像処理－乾燥処理－観察－後処理","前処理－浸透処理－乳化処理－洗浄処理－加熱処理－観察－後処理","前処理－浸透処理－洗浄処理－乾燥処理－現像処理－観察－後処理","",d,"水洗性は水による洗浄処理のため試験体表面が濡れているので，洗浄処理後に試験体表面を乾燥させてから速乾式現像剤を適用する。（速乾式現像剤は試験面が乾燥している状態で適用する）"
59,"次の項目は，各浸透探傷試験の操作手順を示したものである。正しいものを選べ。","水洗性蛍光浸透探傷試験・乾式現像法：前処理－浸透処理－洗浄処理－現像処理－観察－後処理","溶剤除去性蛍光浸透探傷試験・湿式現像法：前処理－浸透処理－除去処理－現像処理－乾燥処理－観察－後処理","後乳化性蛍光浸透探傷試験・速乾式現像法：前処理－浸透処理－乳化処理－洗浄処理－現像処理－観察－後処理","水洗性染色浸透探傷試験･速乾式現像法：前処理－浸透処理－洗浄処理－乾燥処理－現像処理－加熱処理－観察－後処理","",b,"速乾式及び乾式現像法を適用する場合は試験面が乾燥していることが必要である。湿式現像法は現像処理後に乾燥処理を行う。加熱処理は無現像法を適用した場合。"
60,"次の文は，後乳化性蛍光浸透探傷試験の適用対象について述べたものである｡正しい組合せを選べ｡①微細な割れ，幅が広く浅い割れに適用できる｡②小型の量産部品，ねじやキー溝など鋭角な隅部をもつ試験体に適用できる｡③大型部品や構造物を部分的に探傷する場合に適用できる｡④疲労割れ，研磨割れなど幅が非常に狭い割れに適用できる｡⑤水道及び電気設備のない場合に適用できる｡","①と③","①と④","②と③","③と④","",b,"浸透探傷試験の一般的な適用対象表を参照。"
61,"次の文は，前処理について述べたものである。正しいものを選べ。","高粘度のグリースの汚れは，グラインダーによる除去が効果的である。","泥，粘土等の無機質の汚れには，有機溶剤を使用して溶解除去する方法が効果的である。","粘度の高い油脂類の汚れは少量の界面活性剤を加えた水を使用して洗浄する方法が効果的である。","化学的な処理方法として酸洗い，アルカリ洗浄などを行った場合は中和，水洗いを行う必要がある。","",d,"高粘度のグリース及び油脂類は超音波洗浄，蒸気脱脂による前処理が必要である。"
62,"次の文は，前処理について述べたものである。正しいものを選べ。","グリース等の油脂類は温水で除去するのがよい。","無機質の汚れは石油系溶剤で除去するのがよい。","泥・粘土類を除去するには水溶性界面活性剤を添加した温水で洗浄するとよい。","表面に発生した錆を除去するには有機溶剤がよい。","塗料はワイヤブラシで除去するのがよい。",c,"泥・粘土類を除去するには水溶性界面活性剤を添加した温水で洗浄するとよい。"
63,"次の浸透時間に影響を与える因子の中で，正しいものを選べ。","試験体の厚さ","試験体の形状","浸透液の適用方法","試験体及び浸透液の温度","",d,"試験体と浸透液の温度により浸透液の粘性が変わり，浸透時間が変化する。"
64,"次は，浸透処理について述べたものである。正しいものを選べ。","浸透時間は，浸透液の種類，試験体の材質，試験体と浸透液の温度などの他に，浸透液の適用方法も考慮して定める必要がある。","全ての浸透探傷試験における浸透時間とは，試験体に浸透液を適用してから除去処理又は洗浄処理を開始するまでの時間を言う。","浸透処理を浸漬法で行った場合の排液処理は，余剰浸透液をあらかじめ少なくするために行う操作である。","低温下で浸透処理を行う場合は，浸透液を適当な温度に加熱して用いるのが最も良い方法である。","",c,"浸透時間に浸透液の適用方法は無関係である。後乳化性浸透探傷試験の場合は予備水洗及び乳化剤適用までが浸透時間となる。"
65,"次の文は，浸透液の排液について述べたものである。正しいものを選べ。","排液は次工程の処理がより容易に確実に実施できるために行う。","排液は余分な浸透液を除去するためにウエス等で拭き取るとよい。","排液が行われていると次工程の洗浄処理で過洗浄になる心配がない。","排液を必要とするのは刷毛ぬり法とスプレー法である。","排液は浸透時間に含まれない｡",a,"排液は次工程の処理がより容易に確実に実施できるために行う。"
66,"次は，浸透液の適用方法と試験対象物との組合せを示したものである。最も正しい組合せを選べ。","はけ塗り法････････多量の小型量産部品の全面探傷","スプレー法････････大型構造物の部分探傷","注ぎかけ法････････大型構造物の全面探傷","浸漬法････････少量の大型部品の全面探傷","",b,"浸漬法：小型量産部品の全面探傷、刷毛塗り法：大型の部分探傷、注ぎかけ法・シャワー法：小型少量部品の全面探傷"
67,"次の文は，後乳化性浸透探傷試験について述べたものである。正しいものを選べ。","浸透液に乳化剤が含まれていないため，水では直接洗浄できない。","溶剤除去性浸透探傷試験よりも表面粗さが粗いものにも適用できる。","浸透液は，水が混入するとゲル化を起こして性能が劣化する。","浸透処理後，乳化剤を適用すると乳化時間中に乳化現象が起こる。","水ベース乳化剤は，水分が少量でも混入すると著しく性能が劣化するが，油ベース乳化剤は水が混入しても劣化しない。",a,"後乳化性浸透液には乳化剤が含まれてないので直接水では洗浄出来ない。"
68,"次の文は，洗浄処理について述べたものである。正しいものを選べ。","水洗性浸透探傷試験の洗浄処理では，一般的に水圧は147～275kPa（1.5～2.8kgf/cm2）位である。","洗浄処理に使用される水の温度は一般的に40～60℃位であり，温度が高い程洗浄性が良い。","洗浄に要する時間は，予測されるきずの形状，大きさにより大きく異なる。","水洗性浸透探傷試験における洗浄処理の手順は，平滑な部分を先に洗い，穴やキー溝等の複雑な部分を後で洗浄する。","",a,"洗浄処理は水または温水を使用する。洗浄水の温度は10℃～40℃程度である。"
69,"次の文は，洗浄処理について述べたものである。正しいものを選べ。","洗浄水の温度は高い方がよく洗浄できるので，できるだけ100℃程度の温水で洗浄することが望ましい。","洗浄水の水圧は147～490kPa（1.5～5.0kgf/cm2）程度で実施するのが望ましい。","複雑な形状の試験体を洗浄するときは，一般に洗浄のし難い所から始め，洗浄の容易な部分はできるだけ後で素早く行う。","洗浄時間はきず検出性能にあまり関係しないので，疑似模様の発生を避けるためにも十分時間をかけて洗浄するのがよい。","洗浄用スプレーノズルの距離を試験面にできるだけ近づけて行うと，洗浄がスムーズに行える。",c,"洗浄水の温度は10℃～40℃程度の温水で洗浄する。洗浄水の水圧は147～275kPa程度。"
70,"次の文は，水洗性蛍光浸透探傷試験が，開口部の幅が大きいきずの検査に不適当とされる理由について述べたものである。正しいものを選べ。","きずに浸透した浸透液が洗浄処理のとき洗い流されやすいため。","きずの周囲が洗浄不足となり疑似模様ができやすくなるため。","浸透液の粘性が高いので表面に残留しやすく，洗浄処理が難しいため。","この試験によって検出されたきずの指示模様は，表面の凹凸による指示と見間違えやすいため。","",a,"きずの開口幅が広い場合はきずの中の浸透液が洗浄されやすく，この傾向は水洗性浸透液が顕著である。"
71,"次の文は，除去処理について述べたものである。正しいものを選べ。","除去処理とは，後乳化性浸透探傷試験で余剰浸透液を布ウエス又は紙ウエスを用いて除去することをいう。","除去処理は，最初は溶剤を直接試験面の余剰浸透液に適用することは避けて出来るだけ布ウエス又は紙ウエスだけで余剰浸透液を除去する。そのためには試験面上を直接布ウエス又は紙ウエスを何回も往復させるようにして丹念に拭き取るようにする。","余剰浸透液の除去の程度は，除去液で僅かに湿らせた白色ウエスで試験面を拭いたときの白色ウエスの着色の程度で判断する。","除去処理では自己現像力により，きずの中に浸透した浸透液が試験面にしみ出してくるので除去不足にならぬように注意する必要がある。","",c,"除去処理の基本要領として、直接除去液を吹付けない、最初はきれいな布ウエス又は紙ウエスで拭き取る、最後にウエスに僅かにピンク色がついている状態で終了する。"
72,"次の文は，溶剤除去性蛍光浸透探傷試験における適正な除去処理の程度を確認する方法について述べたものである。正しいものを選べ。","白色光の下で試験面を見て，浸透液の色が見えるかどうか確認する。","ブラックライトで試験面に紫外線を照射して確認する。","除去液をわずかに湿らせた白いウエスで拭き，そのウエスに紫外線を照射して確認する。","乾いた白いウエスで拭き，そのウエスに紫外線を照射して確認する。","",b,"蛍光浸透探傷試験の場合は，試験面に浸透液が残らない程度をブラックライトを照射して確認して終了とする。"
73,"次の文は，現像処理について述べたものである。正しいものを選べ。","乾式現像剤は現像処理後，時間が経過しても指示模様がにじんで拡大することがほとんどなく，接近したきずを分離して見分けることができる。","乾式現像剤はわずかな水の混入であれば性能に問題はない。","湿式現像剤は吹付けにより適用するのが一般的である。","速乾式現像剤は現像処理後，時間が経過しても指示模様がにじんで拡大することがない。","速乾式現像剤は浸漬して適用するのが一般的である。",a,"乾式現像剤はわずかな水の混入でダマとなる。湿式現像剤は浸漬法により適用するのが一般的。速乾式現像剤は時間の経過とともに指示模様がにじんで拡大する。"
74,"次の文は，乾燥処理について述べたものである。正しいものを選べ。","溶剤で除去処理をしたときは，熱風等を用いて迅速に乾燥処理を行う必要がある。","乾燥処理に用いる熱風循環式乾燥器は自動温度調節機能がついており，一定の温度で均一に加熱することができる。","熱風循環式乾燥器は試験体の温度が上がって指示模様が大きくにじむので，湿式現像法を適用した場合には使用してはならない。","湿式現像法における乾燥処理は低温でなるべく長時間乾燥した方が指示模様のにじみが少ない。","",b,"熱風循環式乾燥器を使用したときは，器内温度を70℃以下にして短時間で乾燥させる。"
75,"次の文は，染色浸透探傷試験の指示模様の知覚について述べたものである。正しいものを選べ。","知覚しやすくするために，浸透液にはすべて蛍光物質が加えられている。","知覚しやすいか，しにくいかは指示模様の大きさと浸透液の色のみで決まる。","知覚しやすいか，しにくいかは指示模様の大きさとバックグラウンドの色で決まる。","知覚しやすいか，しにくいかは指示模様の大きさと試験体自身の持つ表面の色で決まる。","知覚しやすいか，しにくいかは指示模様の大きさと浸透液とバックグラウンドの色で決まる。",e,"指示模様の知覚の程度は，染色浸透探傷試験では指示模様の大きさとバックグラウンドと指示模様の色相の差により決まる。"
76,"次の文は，きずの指示模様の観察について述べたものである。正しいものを選べ。","染色浸透探傷試験の場合の試験面の明るさは，通常500lx以上必要である。","蛍光浸透探傷試験の場合に必要とする試験面の暗さは，5lx以下である。","蛍光浸透探傷試験の場合の試験面での紫外線強度は，500μW/cm2以上必要である。","蛍光浸透探傷試験の場合は周囲を若干明るくする必要があるが，明るさとして通常20lx以上は必要である。","",a,"蛍光浸透探傷試験の観察場所は20Lx以下の明るさにし，目も環境の暗さに慣れてから観察を行う。試験面での紫外線強度は1000μW/cm2以上必要。"
77,"次の文は，再試験について述べたものである。正しいものを選べ。","再試験とは，きず指示模様の判定を再度やり直すことである。","同じ試験方法で再試験を行う場合は，試験結果に良い影響を与えないので，他の試験方法を選択して行う必要がある。","再試験は指示模様がきずによるものか，疑似指示によるものかの判断が困難な場合にも行うもので，再試験が必要な箇所の現像剤を取り除き再度前処理から行う。","試験の過程で操作手順に誤りがあった場合は，誤りのあった工程からやり直す。","",c,"再試験は現像剤を取り除いてから必ず前処理から行う。また，きずの中に残留している浸透液も洗浄する必要がある。"
78,"次の文は，浸透探傷試験を他の非破壊試験と比べて優れている点について示したものである。正しいものを選べ。","すべての材質に適用できる。","特定の探傷方向がない。","技量の差がでにくい。","表面及び表面近傍のきずの検出に優れた方法である。","",b,"木材等の多孔質には適用できず，検査技術者の技量に左右されやすい。きずは表面のみ検出可能で、表面近傍は開口していないため検出できない。"
79,"次は，微細な割れ，及び幅が広く浅い割れの検出に最も適している探傷方法を示したものである。正しいものを選べ。","水洗性蛍光浸透探傷試験","後乳化性蛍光浸透探傷試験","溶剤除去性蛍光浸透探傷試験","水洗性染色浸透探傷試験","溶剤除去性染色浸透探傷試験",b,"微細な割れ：蛍光浸透液を使用する。幅が広く浅いきず：後乳化性を使用する。"
80,"大型鋳鋼品の部分探傷を行なう場合，最も良く使われている探傷方法はどれか。正しいものを選べ。","水洗性蛍光浸透探傷試験","溶剤除去性蛍光浸透探傷試験","後乳化性蛍光浸透探傷試験","水洗性染色蛍光浸透探傷試験","溶剤除去性染色浸透探傷試験",e,"大型部品や構造物を部分的に探傷する場合は携帯性に富んだ溶剤除去性染色浸透探傷試験が適する。"
81,"次の文は，水エアゾールを用いた水洗性浸透探傷試験について述べたものである。正しいものを選べ。","水エアゾールは，ウエスに含ませて使用し，直接試験体に吹き付けてはならない。","水エアゾールは，水ベース乳化剤と組合せて使用されるのが一般的である。","蛍光探傷試験の洗浄処理に用いる場合は，過洗浄の恐れがないのでブラックライトの照射は必要ない。","水エアゾールは，浸透処理後まず乾いたウエスで余剰浸透液を除去した後，残った余剰浸透液に洗浄水を一定の距離から吹き付けて洗浄する。","浸透処理した試験体に水型エアゾール洗浄液を一定の距離に保って吹き付け，次に表面に付着している洗浄水をウエスで拭き取る。",d,"水洗性浸透探傷試験を現場で適用するにあたり水スプレーの代替として，水エアゾールを用いた水洗性浸透探傷試験が開発された。"
82,"次の文は，水エアゾールを用いた水洗性浸透探傷試験について述べたものである。最も一般的な実施方法を選べ。","浸透処理した試験体に水型エアゾール洗浄液を一定の距離に保ちながら吹き付け，最後に表面に付着している洗浄水をウエスでふきとる。","余剰浸透液をできるだけウエス等でふきとり，次に試験体に水エアゾール洗浄液を一定の距離に保ちながら吹きつけ，最後に表面に付着している洗浄水をウエスでふきとる。","余剰浸透液を乾燥したウエス等でふきとり，次に水エアゾール洗浄液で軽く湿らせたウエスで残りの余剰浸透液を除去する。","洗浄は，まず水スプレーにより予備洗浄を行って，ほとんど余剰浸透液がない状態の試験体に，再度水エアゾール洗浄液を一定の距離に保ちながら吹き付け，最後に表面に付着している洗浄水をウエスでふきとる。","",b,"水エアゾールは，簡易形の水洗性浸透探傷試験であり，使用する水をできるだけ少なくできる方法としている。"
83,"次の文は，低温下における浸透探傷試験の問題点について述べたものである。正しいものを選べ。","浸透液の粘度低下による浸透時間の増加","速乾式現像剤の溶剤の揮発性の低下による乾燥時間の増加","洗浄液の凍結","浸透液のぬれ性の増加","スプレー缶の内圧の上昇",b,"JIS Z 2343-1では5℃程度～10℃未満を低温の範囲としており，この範囲では洗浄液は凍結しない。低温下では染色浸透液よりも蛍光浸透液の方が粘度上昇は大きい。"
84,"次の文は，機器構造物の保守検査について述べたものである。正しいものを選べ。","保守検査は使用開始後に加えられた応力や雰囲気条件により発生したきずの検出を目的とした検査である。","使用開始後に発生するきずは全て動的応力により発生したものである。","圧力容器や配管ではきずはもっぱら外表面に発生するので外表面のみの検査を実施すれば十分である。","使用開始後，溶接部にきずが発生しやすいきずとしては，ブローホールやアンダーカットがある。","",a,"圧力容器や配管等では，内表面及び外表面にきずが発生する可能性があるので，内外面が検査の対象となる。"
85,"次の文は，浸透探傷試験の特徴について述べたものである。正しいものを選べ。","試験体の材質が浸透探傷剤に侵されるもの，吸湿性（多孔質）なもの，非金属材料に対しても適用することができる。","一回の探傷操作で，すべての方向のきずを検出することができる。","目で見えるような大きなきずは，必ず検出できる。","大きなきずからは大きな指示模様が現れるので，指示模様の状態からきずの深さが推定できる。","",b,"木材等の多孔質には適用できず，検査技術者の技量に左右されやすい。きずは表面のみ検出可能で，表面近傍は開口していないため検出できない。"
86,"次のうち，キー溝やねじ部の様に形状の複雑な試験体や表面粗さの粗いものに適用でき，比較的検出感度も高い探傷方法はどれか。正しいものを選べ。","水洗性蛍光浸透探傷試験","後乳化性蛍光浸透探傷試験","溶剤除去性蛍光浸透探傷試験","水洗性染色浸透探傷試験","",a,"キー溝やねじ部は洗浄処理が容易にできる水洗性浸透探傷試験であり，比較的検出感度が高い蛍光を選択する。"
87,"次の文は，現像面を観察するのに必要な環境条件を述べたものである。正しいものを選べ。","明所視の場合，試験面の明るさは1000lx以上とする。","目視の角度は試験面に立てた法線と45度以内の角度とする。","光源と目の配置で，光源の光が直接目に入らないようにする。","目と現像面間の距離は遠く離れても1mとする。","暗所視の場合，周辺部の明るさは10lx以下とする。",c,"明所視の場合，試験面の明るさは500Lx以上で10000Lx以下。目視の角度は試験面に立てた法線と30度以内。"
88,"浸透探傷試験において，浸透指示模様の観察時の周辺部の明るさ（又は暗さ）として，正しいものを選べ。","明所視の場合は明るくとも10000lx程度，暗所視の場合は20lx以下の暗さが望ましい。","明所視の場合は明るくとも100lx以下，暗所視の場合は20lx以下の暗さが望ましい。","明所視の場合は明るくとも10000lx以下，暗所視の場合は80lx以下の暗さが望ましい。","明所視の場合は明るくとも100lx以下，暗所視の場合は80lx以下の暗さが望ましい。","明所視，暗所視いずれの場合も，きず指示模様の明るさが十分であれば周辺部の明るさは，あまり影響がない。",a,"明所視の場合，試験面の明るさは500Lx以上（10000Lx以下）。暗所視の場合の周辺部の明るさは20Lx以下。"
89,"次の文は，疑似指示の発生原因について述べたものである。正しいものを選べ。","前処理を入念に繰返し実施した。","除去処理を過除去になるまで実施した。","形状が複雑であるため，高圧水で水洗を実施した。","表面粗さと試験方法が適していなかった。","洗浄処理が過洗浄であった。",d,"疑似指示模様は，洗浄もしくは除去技術の不良，不十分な前処理，表面粗さ等により発生する。"
90,"次の文は，疑似指示の発生原因について述べたものである。正しいものを選べ。","洗浄処理で洗浄時間が長すぎた場合。","洗浄処理で水圧が高すぎた場合。","除去処理で除去液の適用が多すぎた場合。","乳化処理で乳化時間が短すぎた場合。","",d,"浸透探傷試験で現れる疑似模様は，基本的には全て洗浄不足か除去不足が原因で発生する。"
91,"次の文は，割れについて述べたものである。正しいものを選べ。","割れが成長するには，割れの成長方向に引張応力が加わることが必要である。","割れが進展するのは，割れ表面で応力集中が起こるためである。","割れは，表面から遠いほど有害度を増す。","割れが進展するかどうかは，加えられた応力の種類と大きさ，割れの存在する位置，材質，割れ先端の形状等により決まる。","",d,"割れの進展は，割れの成長方向に対して垂直方向に引張応力が加わり，割れ先端で応力集中が起こるからである。"
92,"次の文は，探傷剤の中で水が混ざると粘性が上がり，その性質を著しく低下させる探傷剤について述べたものである。正しいものを選べ。","水洗性浸透液","溶剤除去性浸透液","湿式現像剤","後乳化性浸透液","",a,"水洗性浸透液及び油ベース乳化剤は，水が混入するとゲル化を起こし粘性が上がる。"
93,"次の文は，探傷剤の疲労のうちゲル化という疲労を起こす探傷剤について述べたものである。正しいものを選べ。","後乳化性浸透液","溶剤除去性浸透液","湿式現像剤","乾式現像剤","速乾式現像剤",c,"湿式現像剤は，異物の混入による汚れや変質によってゲル化する。"
94,"次の文は，エアゾールタイプの探傷剤の管理について述べたものである。正しいものを選べ。","性能の低下は少なく，長時間経過したものをそのまま使用できる。","浸透液についてはガス圧が低下していても液がノズルから出て，性能に変化がなければそのまま使用してかまわない。","ガス圧が低下した現像剤については70℃程度に加熱して必要なガス圧が得られれば使用してかまわない。","現像剤については長時間経過したものをそのまま使用できる。","",b,"エアゾールタイプの現像剤の内圧が低下すると噴霧能力が悪くなるので，その場合は30℃以下の温湯で加温してから使用する。"
95,"次の文は，探傷剤のエアゾール製品について述べたものである。正しいものを選べ。","25℃の気温でエアゾール缶の内圧は，およそ1.0～5.0kgf/cm2（100～490kPa）程度である。","低温のためエアゾール缶の内圧が低くなり，噴射不良になった場合は，40℃以下の温湯の中で加温してから使用するとよい。","エアゾール製品は火気のない，直射日光の当たらない，温度が60℃以下の部屋で保管しなければならない。","浸透探傷試験で使用する探傷剤は危険物に該当するものもあり，その保管量は消防法により指定されている。","",d,"エアゾール製品の内部圧力は25℃で290～490kPa（3.0～5.0kgf/cm2）ぐらいである。温度が40℃以上となる場所には置かない。"
96,"次の探傷剤のうち，消防法の危険物であり，その指定数量が最も少なく制限されているものを選べ。","乳化剤","水洗性蛍光浸透液","洗浄液","溶剤除去性蛍光浸透液","乾式現像剤",c,"可燃性の探傷剤は第四類に該当し，最も指定数量の少ない第一石油類に該当するのは，洗浄液/除去液と速乾式現像剤である。"
