id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
39,次の文は、超音波の指向性について述べたものである。正しいものを一つ選び、記号で答えよ。,指向角は、波長に反比例する。,指向角は、振動子の直径に反比例する。,指向角は、振動子の直径と超音波を伝搬させる媒質が同じ場合、周波数が高くなると大きくなる。,同じ垂直探触子を使って超音波を伝搬させた場合、鋼とｱﾙﾐﾆｳﾑでは鋼の方が指向性は大きい。,b,円形振動子による垂直探触子の指向角φ は、振動子の直径D と ０ 波長λにより以下の式で表される。 φ ＝70 × (λ/D) この式より ０ a) 指向角は、波長に比例する。 b) 指向角は、振動子の直径に反比例する。⇒ 正しい。 c) 指向角は、振動子の直径と超音波を伝搬させる媒質が同じ場合、 周波数が高くなると、波長は短くなり、そのため指向角は小さく なる。 d) 同じ垂直探触子を使って超音波を伝搬させた場合、鋼(縦波音速 5900m/s)とｱﾙﾐﾆｳﾑ(縦波音速 6260m/s)では鋼の方が指向性は小さ い。,
40,次の垂直探触子のうち、指向角(φ0)の最も大きな探触子はどれか、正しいものを一つ選び、記号で答 えよ。,５Ｚ２０Ｎ,２Ｚ２０Ｎ,３Ｃ１５Ｎ,２Ｚ３０Ｎ,b,波長 λ＝C/ｆ（C：音速、ｆ：周波数） 指向角 φ＝70λ/D （D：振動子直径） 0 E E この式により低い周波数で、かつ、振動子直径の小さいものほど指向 角は大きくなる。,
41,次の文は、正方形の探触子を有する斜角探触子の指向角について述べたものである。正しいものを一つ 選び、記号で答えよ。,５Ｚ１０×１０Ａ７０の場合、鋼の試験体中では上下方向と左右方向の指向角が等しい。,５Ｚ１０×１０Ａ７０の場合、鋼の試験体中では上下方向に比べて、左右方向の指向角が小さい。,５Ｚ１０×１０Ａ７０の場合、鋼の試験体中では左右方向に比べて、上下方向の指向角が小さい。,５Ｚ１０×１０Ａ４５の場合、鋼の試験体中では上下方向と左右方向の指向角が等しい。,b,斜角探触子の場合、試験体中における指向性は、見掛けの振動子の大 きさは左右方向では変わらないが、上下方向が小さくなる為、鋼の試 験体中では上下方向に比べて、左右方向の指向角のほうが小さくな る。幅：左右方向 高さ：上下方向,
42,次の文は、超音波ビームの規準化距離(n)について述べたものである。 に適する数値を一つ選 び、記号で答えよ。 鍛鋼品を2Z20N で垂直探傷し、ビーム路程205mm のところにきずを検出した。このビーム路程を規準化 距離に換算すると、ｎは である。ただし、鋼中の縦波音速を5900m/s とする。,2.4,4.8,6.0,6.5,c,DGS 線図の横軸は、近距離音場限界距離χ を用いて規準化した距離 ０ で表す。ｎ＝χ /χ は反射源までの、ｎ ＝χ /χ は底面までの Ｆ ０ Ｂ Ｂ ０ 規準化距離である。ﾋﾞｰﾑ路程205mm の所にきずを検出したのでχ Ｆ が205mm となり、近距離音場限界距離χ はχ ＝D２/4λで求める ０ ０ と、使用探触子が2MHz なので波長λは5.9/2=2.95mm なので χ ＝D２/4λ=400/4×2.95=33.9mm であるから、 ０ ｎ＝χ /χ ＝205/33.9=6.0 となる ⇒ ｃ） Ｆ ０,
44,次の文は、超音波探傷試験における周波数の選定について述べたものである。正しいものを一つ選び、 記号で答えよ。,薄板の探傷には、高い周波数が適している。,遠距離分解能は、低い周波数が優れている。,減衰の小さい試験体の底面に近いきずを検出するには、低い周波数が適している。,林状エコーが探傷の支障になるときは高い周波数を使用する。,a,a) 正しい。 b) は高い周波数が適する。分解能には、近距離分解能、遠距離分解 能、方位分解能があるがいずれの分解能も周波数が高い方が、波長 及びﾊﾟﾙｽ幅が短くなるのでよい。 c) は高い周波数が適する。減衰の少ない超音波の通りがよい材料の 場合、底面に近いきず検出は遠距離分解能に優れた方が有利とな る。上項の解説にもある通り、周波数は高い方がよい。 d)は 林状ｴｺｰが探傷の支障になる場合は、低い周波数が適してる。,
45,次の文は，超音波の減衰や損失について述べたものである。正しいものを選べ。,試験体中を超音波が伝搬するとき、超音波ビームは広がりながら伝搬するため次第に弱くなる。これを 散乱減衰という。,金属中を超音彼が伝搬するとき、その結晶粒界で反射や屈折が起こり超音波は次第に弱まる。これを散 乱減衰という。,試験体に超音波が入射するとき、探触子と探傷面との境界面で超音波の損失がある。これを反射損失と いう。,金属中を超音波が伝搬するとき、その結晶粒界で反射や屈折が起こり超音波は次第に弱まる。これを拡 散減衰という。,b,金属中の結晶粒界で超音波が散乱されることによる減衰を、散乱減衰 という。 金属中を超音波が伝搬する際に拡がりながら伝わることによる減衰 を、拡散損失という。 超音波が金属中に入射する際、探触子と金属表面で超音波の損失が 生じる。これを伝達損失という。 超音波が試験体の底面で反射する際にも損失が生じる。これを反射 損失という。 a)拡散損失、b)散乱減衰、c)伝達損失、d)はb)同様散乱減衰である。,
46,次の文は，超音波の減衰や損失について述べたものである。正しいものを一つ選び、記号で答えよ。,超音波が試験体中を伝搬するとき、超音波ビームが広がることによる拡散損失の他に、結晶粒での散乱 による散乱減衰や内部摩擦などによる粘性減衰がある。金属中では散乱減衰が主体であるが、プラスチ ックでは粘性減衰が主体となる。,金属中を超音彼が伝搬するとき、その結晶粒界で屈折が起こり、超音波は次第に弱まる。 これを拡散損失という。,試験体に超音波が入射するとき、探触子と探傷面との境界面で超音波の損失がある。 これを反射損失という。,金属材料の結晶粒が大きいと超音波は透過しやすく、減衰は小さい。,a,a) 超音波が試験体中を伝搬するとき、超音波ﾋﾞｰﾑが広がることによ る拡散損失の他に、結晶粒での散乱減衰があり、さらに内部摩擦 による粘性減衰がある。金属では結晶粒があるので散乱減衰があ り、かつ普通は粘性減衰よりはるかに多いが、ﾌﾟﾗｽﾁｯｸでは結晶粒 がないのが普通なので粘性減衰が主体となる。 b) ｂの記述は、散乱減衰のこと。 c) ｃの記述は、伝達損失のこと。 d) 金属材料の結晶粒が大きいと減衰は大きくなる。,
47,次の文は、超音波の減衰について述べたものである。 に適する数値を一つ選び、記号で答えよ。 ただし、小数点以下第3 位を四捨五入せよ。 両面を表面粗さ６μmRz の滑らかに仕上げた厚さ50mm の鋼板を、スピンドル油を接触媒質として、アク リル樹脂遅延材付探触子(5Z20N)を用いてB１/B２の測定を行ったところ、5.0dB の値を得た。この結果か ら鋼板の減衰係数を計算すると［１]dB/mm となる。ただし、鋼板とアクリル樹脂の接触部における反射 損失を2.0dB/回とし、超音波ビームの広がりの影響は無視するものとする。,0.03,0.05,0.06,0.10,a,減衰係数α＝｛(B/B) －(拡散損失＋反射損失)｝/（2×ｔ） 1 2 ＝｛5.0－(0.0+2.0）｝/(2×50)＝0.03dB/mm ※設問で拡散損失は無視と記載 問題に拡散損失に関する記述が明記されているか確認する事が重要,
48,次の文は、鍛鋼品の減衰係数の測定について述べたものである。 に適する数値を一つ選び、記号 で答えよ。 厚さが500mm で25μmＲｚに仕上げ加工した鍛鋼品を探触子2Z28N で探傷したところ、健全部において B１/B２の値が12.5dB であった。この鍛鋼品の減衰係数を計算した結果、[１]dB/mm となった。ただし、 探傷面での反射損失は3dB/回、底面での反射損失は1dB/回とする。,0.003,0.005,0.009,0.013,a,B/B=12.5dB、探傷面の反射損失=3dB、底面での反射損失1dB、 1 2 X＝28２/(4×5.9/2)＝66.4 ｎ=500/66.4＝7.5＞4 従って 0 拡散損失は6dB 減衰係数α＝｛(B1/B2) －(拡散損失＋反射損失)｝/（2×ｔ） ＝｛12.5-(6.0+3.0+1.0)｝/（2×500）＝0.0025dB/mm→0.003dB/mm ここで 6.0 は拡散損失、3.0 は探傷面での反射損失、1.0 は底面で の反射損失を示す。,
49,次の文は、鍛鋼品の超音波探傷における超音波の減衰係数について述べたものである。［1］に適する 数値を解答群から一つ選び、記号で答えよ。ただし、小数点以下第4 位を四捨五入せよ。 測定範囲を500mm にして鍛鋼品（表面仕上げ25μmＲＺ）を2C20N で超音波探傷したところ、健全部に おいてB１のエコー高さが90%、B２のエコー高さが20%であった。この条件で、探傷面及び底面での反射 損失をそれぞれ2.5dB/回、1.2dB/回とすると、この鍛鋼品の減衰係数は［1］dB/mm となる。,0.008,0.017,0.023,0.033,a,X＝20２/(4×5.9/2)＝33.9 ｎ=200/33.9＝5.9＞4 従って拡散損失 0 は6dB B/B(dB)＝20log(90%/20%)＝13.06dB 1 2 探傷図形より試験体の厚さは200mm 減衰係数α＝｛(B/B) －拡散損失－反射損失｝/（2×ｔ） 1 2 ＝(13.06-6.0-2.5-1.2)/（2×200）＝0.0084≒0.008dB/mm ここで-6.0 は拡散損失、-2.5 は探傷面での反射損失、-1.2 は底面で の反射損失を示す。,ut_2022_10_q49.png
50,次の文は、各種超音波探傷法について述べたものである。正しいものを選べ。,表面波は試験体表面下、一波長程度の範囲を伝搬するため、表面波法で探傷するときは、表面きずの 深さが数波長を超えると測定精度が極端に悪くなる。,TOFD 法は、回折波が発生しやすいように振動子寸法の小さい、広い指向角を有する高分解能縦波斜角 探触子で、試験周波数は１MHｚが多く使用される。,表面波探傷法では、二探触子法を用いれば、きずの密着状態やきず内部の充填物の種類等による測定精 度のばらつきを無視してもよい。,一般の斜角探傷法では、溶接部探傷の際、きずの傾きや形状の影響を強く受けるが、TOFD 法による探 傷ではそれらの影響を受けにくい。,d,"表面に開口しているきずは、きずの深さが波長の数倍を超えても測 定精度が悪くなることはない。 TOFD 法を適用する場合、一回の走査で広い領域を一度に検査するた め、探触子は振動子直径の小さい、広い指向角の高分解能縦波探触子 が使用されるが、あまり広い範囲を検査しようとするとSN 比が低下 し回折波の識別が悪くなる。通常周波数5MHz、振動子径10mm 前後、 屈折角45°,60°,70°が用いられ、この方法は、きずの形状や傾き にそれほど影響を受けない。",
51,次の文は、広帯域超音波探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,広帯域探触子から送信される超音波の周波数は、狭帯域探触子が送信する超音波の周波数より周波数 Ｂ１ Ｂ２,広帯域探触子から送信される超音波の波数は、狭帯域探触子が送信する超音波の波数より多い。,送信する超音波の波数が少ない方が、周波数帯域が狭くなる。,超音波探触子の周波数特性を表すQ 値は、周波数帯域幅を中心周波数で除したものである。,a,振動の波数が1～2 波の超音波ﾊﾟﾙｽは広い周波数帯域をもつ。このこ とから、1～2 波振動の超音波ﾊﾟﾙｽを送受信する探触子を、広帯域探 触子、又はﾊﾟﾙｽ幅が狭く距離分解能が高いことから、高分解能探触子 とも呼ぶ。広帯域探触子に対して、5～8 波振動の一般的な探触子を、 狭帯域探触子と呼ぶ。広帯域探触子は、林状ｴｺｰが現われる粗粒材に 適用すると、林状ｴｺｰ（ﾉｲｽﾞ）のﾚﾍﾞﾙを抑え、SN 比を向上させる。 一方、周波数成分が幅広いので、DGS 手法でのきずｴｺｰの評価には不 向きとされている。,
52,次の文は、溶接部の斜角探傷におけるきずの形状とｴｺｰ高さの関係について述べたものである。 正しいものを一つ選び、記号で答えよ。,超音波ﾋﾞｰﾑに平行な方向に広がる平面状の割れからは、高いｴｺｰ高さが得られる。,ﾌﾞﾛｰﾎｰﾙ等の塊状のきずの反射波は、広い範囲に反射するので振動子に戻る超音波は少なくなり、ｴｺｰ高さ は低くなるのが一般的である。,きず形状が凸面状で、超音波が分散するような状態で反射した時、ｴｺｰ高さは高くなる。,開先部の融合不良の反射面は比較的面状であるが、少し凹凸があるためにｴｺｰ高さは、非常に低くなる。,b,(4)溶接部のきず 溶接部に発生するきずには、割れ、融合不良、溶込み不良、ｽﾗｸﾞ巻 込み及びﾌﾞﾛｰﾎｰﾙなどがある。割れ、融合不良、溶込み不良は、 その形状から面状きずといわれ、方向性を持つのが特徴である。 超音波探傷試験では、これらのきずの検出は比較的容易である （ｴｺｰ高さが高い）といわれているが、きずの方向に対して超音波 ﾋﾞｰﾑが平行に入射されるような場合は、検出は困難になる。 （ｴｺｰ高さが低い） 面状きずは何れも溶接部の強度に重大な影響を及ぼすため、超音波 探傷試験でこれらのきずを見落とすことは許されない。ｽﾗｸﾞ巻込み やﾌﾞﾛｰﾎｰﾙは、球状あるいは丸みを帯びたきずである。球状きずに 超音波が入射した場合、散乱反射しやすくなるため、面状きずに 比較して一般に検出しにくくなる。（ｴｺｰ高さが低い）,
53,垂直探傷できずが近距離音場内にある場合、このきずの位置が遠距離音場になるように探触子を変更 したい。次のうちから正しいものを一つ選び、記号で答えよ。,周波数の高い探触子を用いて遠距離音場とする。,振動子直径の小さい探触子を用いて遠距離音場とする。,周波数の低いかつ、振動子直径の大きい探触子を用いて遠距離音場とする。,振動子直径の大きな探触子を用いて遠距離音場とする。,b,近距離音場限界距離Ｘ ＝Ｄ２/４λ ０ ここでＤは振動子直径、λは波長 振動子直径を小さくし、波長を大きく（周波数を下げる）すれば 近距離音場限界距離は短くなる。,
54,次の文は，垂直探傷における感度調整について述べたものである。正しいものを一つ選び、記号で答え よ。,底面エコー方式による感度調整は、減衰が少ない試験体にだけ適用できる。,底面エコー方式による感度調整は、試験体の探傷面と底面が平行でないと適用できない。,底面エコー方式による感度調整は、減衰の著しい試験体のとき、きずを過小評価する恐れがある。,底面エコー方式による感度調整は、試験体の探傷面の粗さや減衰の影響を受けやすい。,b,底面ｴｺｰ方式は、きず深さに応じた感度補正を行えば減衰の大きい試 験体にも適用できる。また、底面ｴｺｰ方式による感度調整は、試験体 の探傷面と底面が平行でなくては適用できないが、探傷面の粗さの 影響を受けにくい。但し減衰の著しい試験体ではきずを過大評価す るおそれがある。,
55,次の文は斜角探傷における屈折角について述べたものである。正しいものを一つ選び、記号で答えよ。,探傷屈折角とは、試験体又は試験体から切り出した対比試験片を用いて、探傷方向において測定した 屈折角のことをいう。,探傷屈折角とは、STB-A1 又はSTB-A3 を用いて測定した屈折角のことをいう。,STB 屈折角とは、試験体又は試験体から切り出した対比試験片を用いて、探傷方向と同じ方向で測定し た屈折角のことをいう。,STB 屈折角とは、探触子の製造時に設計された公称屈折角のことをいう。,a,"探傷屈折角は、試験体や対比試験片を使用して探傷方向と同じ方向 で測定した屈折角である。 STB 屈折角とは、標準試験片（STB-A1,STB-A3）を用いて測定された 屈折角である。",
56,次の文は、18-8 ステンレス鋼溶接部の斜角探傷について述べたものである。［1］に適する数値を一つ選 び、記号で答えよ。ただし、小数点以下第2 位を四捨五入せよ。 18-8 ステンレス鋼（CL＝5790m/s、CS＝3100m/s）の斜角探傷のために、屈折角70 度の縦波斜角探触子を 設計した。この場合、横波も発生していると予想されるが、その横波の屈折角は 度である。,29.6,30.2,33.9,64.4,b,ｽﾈﾙの法則より sinθ／C = sinθ／C L L S S θ：ｽﾃﾝﾚｽ鋼縦波屈折角（題意より70°） L C：ｽﾃﾝﾚｽ鋼縦波音速(題意より5790m/s) L θ：ｽﾃﾝﾚｽ鋼横波屈折角(求める数値) S C：ｽﾃﾝﾚｽ鋼横波音速（題意より3100m/s） S sin70／5790 ＝ sinθ／3100 S ⇒ sinθ＝(3100／5790)×sin70＝0.503116947 S θ＝30.2°⇒ｂ） S,
57,次の文は、端部エコー法について述べたものである。正しいものを一つ選び、記号で答えよ。,端部エコー法を利用してブローホールの大きさを測定することができる。,探傷感度を上げれば常に端部エコーが現れる。,きず高さを端部エコー法で測定する場合、集束探触子を適用すると測定精度が向上する。,端部エコーを検出して、そのビーム路程と探触子距離からきずの幅を推定することができる。,c,端部ｴｺｰ法はきずの上端部ｴｺｰ及び下端部ｴｺｰを捉えきず高さを測定 する方法で、一般の斜角探触子では端部ｴｺｰを捉えるのが難しく、点 集束探触子を用いて直射法で測定するとｴｺｰの識別性及び測定精度 が向上する。ﾌﾞﾛｰﾎｰﾙのような球状きずは上端、下端の端部ｴｺｰを捉え ることができず、端部ｴｺｰ法を利用できない。,
58,次の文は、溶接部の超音波探傷について述べたものである。正しいものを一つ選び、記号で答えよ。,板厚の厚い内部の溶込み不良の検出には、タンデム探傷法が有効である。,板厚の厚い内部の溶込み不良の検出には、Ｖ透過法が有効である。,Ｖ開先溶接部の溶込み不良の検出にはタンデム探傷法が有効である。,アンダーカットの検出にはタンデム探傷法及びＶ透過法が有効である。,a,タンデム探傷法は X 開先溶接部の内部溶込み不良や I 開先溶接部の 融合不良などの探傷面に垂直な面状きずを効果的に検出する方法で ある。透過法は、一般的にきずの検出には向いていない。感度補正量 を求める時や、音響異方性の測定、探傷屈折角の測定などに用いる。,
59,次の文は、厚鋼板溶接部のタンデム探傷について述べたものである。正しいものを一つ選び、記号で答 えよ。,タンデム探傷法は、２個の探触子を使用するため、一探触子法のような探傷不能領域はない。,タンデム探傷法は、板厚が厚くなるほど屈折角を大きくした方がきずは検出し易い。,タンデム探傷法は、Ⅹ開先溶接部の溶込み不良や、狭開先溶接部の開先面の融合不良の検出に適して いる。,タンデム探傷法は、厚鋼板溶接部の裏側の溶込み不良の検出に適している。,c,ﾀﾝﾃﾞﾑ探傷法：X 開先溶接部の内部溶込み不良や狭開先溶接部の融合 不良などの探傷面に垂直な面状きずを効果的に検出できる方法で、 送信用、受信用の 2 個の探触子を前後に配置して探傷する。溶接部 の余盛や探触子間距離により探傷不能領域がある。,
60,次の文は、厚鋼板溶接部のタンデム探傷法について述べたものである。正しいものを一つ選び、記号で 答えよ。,Ⅹ開先溶接部に発生する開先面の融合不良の検出には、タンデム探傷法が適している。,Ⅹ開先溶接部に発生する溶込み不良の検出には、タンデム探傷法が適している。,Ⅹ開先溶接部に発生する裏はつり部の融合不良の検出には、タンデム探傷法が適している。,Ｖ開先溶接部に発生する溶込み不良の検出には、タンデム探傷法が適している。,b,ﾀﾝﾃﾞﾑ探傷法 X 開先溶接部の内部溶込み不良や、I 開先溶接部の融合不良などの探 傷面に垂直な面状きずを効果的に検出する方法で、送信用と受信用 の 2 個の斜角探触子を前後に配置し、両方の探触子から超音波を送 信したと仮定したときの中心軸の交点（交軸点）できずをとらえるよ うに探触子を走査するものである。 ﾀﾝﾃﾞﾑ探傷法でも、一探触子法と同様に探傷不能領域が存在するた め、断面図を描いて確認しておく必要がある。,
61,次の文は、水浸法による超音波探傷試験について述べたものである。正しいものを一つ選び、記号で答 えよ。,水浸法と呼ばれるのは、全没式の水浸法だけである。,水浸法では、集束探触子を用いた垂直探傷がよく行われる。,水浸法では、二振動子垂直探触子がよく用いられる。,水浸法では、透過法を適用することができない。,b,水浸法には全没水浸法と局部水浸法があり、探触子と試験体とが直 接接触しないので、超音波の伝達に接触媒質の厚さや試験体表面の 粗さの影響が少なく、自動探傷や C ｽｷｬﾝ探傷などの精密探傷に用い られる。集束探触子はﾚﾝｽﾞ内での多重反射があり、一般では探傷が難 しいので、ほとんどが防水型で水浸法に使用される。,
62,次の文は、TOFD 法について述べたものである。正しいものを一つ選び、記号で答えよ。,TOFD 法では、縦波斜角探触子を用いて探傷を行う。,TOFD 法による探傷結果は、一般にC ｽｺｰﾌﾟ画像にて表示される。,TOFD 法による探傷結果は、一般にMA ｽｺｰﾌﾟ画像にて表示される。,TOFD 法で二探触子間の表面を伝搬する波は、表面波である。,a,TOFD(Time of Flight Diffraction)法とは、きずの検出及びきずの 高さ寸法を同時に行う方法である。この方法は、溶接部を挟んで2 つ の縦波斜角探触子を向かい合わせに配置し、一方を送信用に他方を 受信用とし、試験体の板厚全体に超音波を伝搬させる。きずが存在す ると、きずの上下端部からの散乱波（回折波）を得ることができる。 探触子間の表面を伝搬する波はラテラル波(縦波)である。,
63,次の文は、垂直探傷試験における探触子の選定方法について述べたものである。正しいものを一つ選び、 記号で答えよ。,広帯域探触子を使用すると、結晶粒の大きな材料の探傷では林状エコーが多く現れる。,広帯域探触子は、そのエコーに広い帯域の周波数成分を含んでいるから、DGS 線図の利用に適する。,厚い試験体を探傷するには、振動子の直径の小さい探触子が適している。,探傷面が粗いときには、アクリル樹脂などの遅延材付きの探触子が適している。,d,a) 広帯域探触子(高分解能探触子)はSN 比の向上が期待できる。 b) 広帯域探触子は種々の周波数成分を含んでいるから、DGS 線図の 利用には適さない。 c) 厚い試験体には、直径の大きい探触子の方が指向角は小さいので 適する。 d) 遅延材付探触子：粗い面での探傷の安定化を図る。 遅延材と接触媒質の音響ｲﾝﾋﾟｰﾀﾞﾝｽはほぼ等しく、接触媒質の層の厚 さの不均一性が緩和され、水浸法と同様に表面粗さの影響を受けに くくなる。,
64,ある試験体を探触子5Z20N を用いて超音波探傷したら林状エコーが多く現れ、探傷ができなかった。 林状エコーを減らすためには、下記のどの探触子を用いて探傷すればよいか。,１０Ｃ１０Ｎ,５Ｑ２０Ｎ,５Ｚ１０Ｎ,Ｂ５Ｃ２０Ｎ,d,試験体内部にある多くの微小境界面（主に結晶粒界）によるｴｺｰが林 状ｴｺｰである。探傷感度を上げたときに現れる。このような場合、低 い周波数の探触子を選ぶか、広帯域（高分解能）探触子を選ぶのが良 い。B5C20N は広帯域（高分解能）探触子である。,
65,次の文は、超音波探傷試験における試験周波数の選定方法について述べたものである。正しいものを 一つ選び、記号で答えよ。,探傷面に近いきずを検出するときは、高い周波数が適している。,きずの位置決定の精度を上げるためには、低い周波数が適している。,伝搬距離が長い場合は、高い周波数が適している。,小さいきずを検出するためには、一般に低い周波数が適している。,a,探傷面に近いきずや小さいきずの検出及びきず位置決定の精度を上 げるためには高い周波数が適している。 伝搬距離が長い場合は、低い周波数が適している。,
66,次の文は、超音波探傷試験における試験周波数の選定方法について述べたものである。正しいものを一 つ選び、記号で答えよ。,薄板の探傷には、高い周波数が適している。,探傷面からの距離が接近した二つのきずを分離して観察するには、低い周波数が適している。,減衰の少ない試験体の底面に近いきずを検出するには、低い周波数が適している。,林状エコーが探傷の支障になるときは高い周波数を使用する。,a,a) 正しい。 b) は高い周波数が適する。分解能には、近距離分解能、遠距離分解 能、方位分解能があるがいずれの分解能も周波数が高い方がよ い。 c) は高い周波数が適する。減衰の少ない超音波の通りがよい材料の 場合、底面に近いきず検出は遠距離分解能に優れた方が有利とな る。 d) 林状ｴｺｰが探傷の支障になる場合は、低い周波数が適している。,
67,次の文は、NDT 指示書の記述について述べたものである。正しいものを一つ選び、記号で答えよ。,NDT 指示書は、レベル1 技術者が探傷条件を自由に選べるように幅広く指定するように記述する。,NDT 指示書は、レベル1 技術者が探傷条件を誤ることがないように、具体的な探傷条件を記述する。,NDT 指示書は、レベル1 技術者が探傷結果について、記録する項目を増やせるように空欄を多くとり、 何でも書けるように記述する。,NDT 指示書は、レベル1 技術者が探傷条件を選択できるように、数多くの探傷条件を載せたものを 作成する。,b,NDT 指示書の定義はJIS Z 2305 に『確立されたNDT 手順書、規格、 ｺｰﾄﾞ又は NDT 手順書に基づいて NDT を実施する際に、従わなければ ならない正確な手順を詳細に記述した文書』とあり、ﾚﾍﾞﾙ2 以上の技 術者が作成すると規定されている。NDT 指示書は、製品の検査作業を 行う探傷試験技術者が、NDT 手順書で具体的に記載や指示がない項目 を、間違いなく正確に検査作業ができるように、検査工程の手順ご と、段階ごとに手順を追って記載したものである。,
68,次の文は、探傷面の曲率がエコー高さに及ぼす影響について述べたものである。正しいものを一つ選 び、記号で答えよ。,探傷面に曲率がある場合、周波数を高くするとその影響は少なくなる。,探傷面に曲率がある場合、振動子寸法を大きくした方が影響は少なくなる。,探傷面に曲率がある場合、振動子寸法を小さくした方が影響は少なくなる。,探傷面に曲率がある場合、その半径が小さいほど影響は少なくなる。,c,探傷面に曲率がある場合、探触子は線接触に近い状態であり、接触部 分から離れるにしたがって、接触媒質の層は厚くなり、超音波が通過 しにくく、それに加えてまっすぐに音が入らなくなる。この傾向は探 傷面の曲率が大きいほど、すなわち曲率半径が小さいほど著しい。 したがって、曲率のある試験体の探傷には小さい探触子が有利であ る。使用する接触媒質、探触子の周波数及び保護膜の影響は、表面粗 さの場合と同様で、接触媒質の音響ｲﾝﾋﾟｰﾀﾞﾝｽが大きいほど、探触子 の周波数が低いほど、また、保護膜を使用した場合の方が、曲率によ るｴｺｰ高さの低下量は小さくなる。よってc)が正しい。,
69,次の文は、鋼板に存在するラミネーションの検出について述べたものである。正しいものを一つ選び、 記号で答えよ。,ラミネーションの検出には、一探触子法による斜角探傷を行う。,ラミネーションの検出には、タンデム法による斜角探傷を行う。,ラミネーションの検出には、垂直探傷を行い、きずエコーの有無を調べる。,ラミネーションの検出には、垂直探傷を行い、底面エコーのみの減衰状況を調べる。,c,ﾗﾐﾈｰｼｮﾝの検出には、垂直探傷によりきずの有無を調べる。 ﾗﾐﾈｰｼｮﾝは鋼板に発生するきずで、二枚割れとも呼ばれ、広範囲に鋼 板の圧延方向に発生する。 底面ｴｺｰのみの減衰状態を調べ、減衰していたとしてもﾗﾐﾈｰｼｮﾝが発 生していない場合もあり判断できない。,
70,次の文は、垂直探傷試験で検出した非金属介在物と思われるきずの大きさを推定する方法を述べたもの である。正しいものを一つ選び、記号で答えよ。ただし、きずの大きさは振動子寸法より小さいものと する。,DGS 線図を使用し、きずの大きさを推定する。,端部エコー法により、大きさを測定する。,6dB 低下法により、きずの大きさを測定する。,Ｌ線カット法により、きずの大きさを測定する。,a,小さいきずの場合、きずｴｺｰ高さときずの面積の間に比例関係がある ことを利用して、きず位置が遠距離音場になるように探触子を選び、 きずからの最大ｴｺｰ高さを検出し、それらのｴｺｰ高さからきずの寸法 を測定することができる。測定したきずの寸法が限界寸法未満の場 合には、これをきず寸法とし、一方、等しい場合は、大きいきずとし て、大きいきずの寸法測定方法に従って測定する。小さいきずの寸法 の代表的測定方法はDGS 線図を用いる方法である。,
71,次の文は、鍛鋼品の垂直探傷において、残留エコーかきずエコーかを確認する方法について述べたもの である。適切なものを一つ選び、記号で答えよ。,探傷器のパルス繰返し周波数を変化させて確認する。,油を付けた手で試験体の探傷面を触って、エコーの高さが変化するか否かを確認する。,油を付けた手で試験体の側面を触って、エコーの高さが変化するか否かを確認する。,油を付けた手で試験体の底面を触って、エコーの高さが変化するか否かを確認する。,a,残留ｴｺｰとは、ﾊﾟﾙｽ反射法による超音波探傷試験で、試験体中のｴｺｰが 次のﾊﾟﾙｽが送信された後も残って受信されて探傷図形に現れるｴｺｰ をいう。ﾊﾟﾙｽ繰返し周波数が高く、試験体の散乱減衰が小さい場合に 現れる。この場合、ﾊﾟﾙｽ繰返し周波数を低くするとよい。,
72,次の文は、鍛鋼品の垂直探傷について述べたものである。正しいものを一つ選び、記号で答えよ。,林状エコーが多く、底面エコーが現れない場合、探傷感度をもっと高くする。,林状エコーが多く、底面エコーが現れない場合、探傷感度をもっと低くする。,林状エコーが多く、底面エコーが現れない場合、試験周波数をもっと高くする。,林状エコーが多く、底面エコーが現れない場合、試験周波数をもっと低くする。,d,林状ｴｺｰは超音波の波長が金属の結晶粒の大きさと同程度ないしそ れ以下のとき、又は、結晶粒が粗大な場合には、散乱減衰が大きく、 また、結晶粒界における散乱などによる林状ｴｺｰが現れきずの検出が 困難になる。このような場合、低い周波数を適用する。（広帯域探触 子の使用も効果がある。）,
74,次の文は、鋼溶接部の超音波探傷における試験周波数について述べたものである。 正しいものを一つ 選び、記号で答えよ。,JIS Z 3060 で、試験周波数を2MHz～5MHz と規定しているのは、試験体板厚に応じたビーム路程ときず 検出能を考慮しているためである。,JIS Z 3060 では、試験周波数を1MHz～10MHz までの周波数を推奨している。,溶接部の超音波探傷において、試験周波数が高いほどきずの検出能は低下し、低い周波数ほどきず検出 能やきず位置の測定精度は高まる。,周波数が高いほど、波長は短くなるため、きず位置の測定精度はよくなる。したがって、厚鋼板ほど高 い試験周波数を選択するのがよい。,a,JIS Z 3060 では、探触子の公称周波数は2MHz 以上5MHz 以下と規定 されている。通常使用する公称周波数は、斜角探傷の場合以下の表に 示す。 使用する最大のﾋﾞｰﾑ路程mm 公称周波数MHz 100 以下 3.5～5 100 を超え150 以下 2～5 150 を超え250 以下 2～3.5 250 を超える 2 上記のように、試験体板厚に応じたﾋﾞｰﾑ路程ときず検出能を考慮し ているためである。よってa)が正しい。 周波数に対する特徴は、以下の表による。,
