id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
57,次に示す浸透探傷試験の基本的選択として正しいものを選べ。,きずの検出性に着目した場合，幅が広く浅い割れの探傷に水洗性浸透探傷試験を選択した。,疲労割れ研磨割れなど幅が非常に狭い割れの探傷に水洗性染色浸透探傷試験を選択した。,試験体に着目した場合，小型量産部品及びネジや溝など鋭角な隅部の探傷に水洗性蛍光浸透探 傷試験を選択した。,試験体に着目した場合，粗い面の探傷に後乳化性浸透探傷試験を選択した。,,c,疲労割れ，研磨割れ等の幅が非常に狭い割れの探傷には，後乳化性 蛍光浸透探傷試験，溶剤除去性蛍光浸透探傷試験が適する。 巻末の【参考資料】参照,
58,次の項目は，浸透探傷試験の適用対象について記したものである。正しい組合せを選べ。,後乳化性蛍光浸透探傷試験 ― 大形部品や構造物を部分的に探傷する場合,溶剤除去性蛍光浸透探傷試験 ― 小形量産部品，ねじやキー溝など鋭角な隅部,水洗性染色浸透探傷試験 ― 粗い面の試験品,溶剤除去性染色浸透探傷試験 ― 疲労割れ，研削割れなど幅が非常に狭く微細な割れ,,c,大形部品や構造物を部分的に探傷する場合に適応できる探傷方法は 溶剤除去性浸透探傷試験である。小形量産部品，ねじやキー溝など 鋭角な隅部には水洗性蛍光浸透探傷試験が適している。粗い面の試 験品には水洗性浸透探傷試験が適しており，(c)は正しい。幅が非常 に狭く微細な割れには後乳化性又は溶剤除去性蛍光浸透探傷試験が 適している。巻末の【参考資料】参照,
59,次の文は，浸透探傷試験方法を選択する際，第一に考慮すべきことについて述べたものである。 正しいものを選べ。,試験体の要求される検出すべききずの種類と大きさを決定し，それに適した試験方法を選択す べきである。,試験を実施する場所の環境条件に適した探傷試験方法を選択すべきである。,試験体の形状や大きさ，個数，表面状態など試験体の条件を考慮して選択すべきである。,経済性を考慮して選択すべきである。,,a,第一に考慮すべきことは，環境や個数や経済性ではなく，検出すべ ききずの種類と大きさを考慮することが重要である。,
60,次の文は，疲労割れを検出するために大型部品や構造物を部分的に探傷する場合に最も適切な探 傷方法示したものである。正しいものを選べ。,水洗性蛍光浸透探傷試験,後乳化性蛍光浸透探傷試験,溶剤除去性蛍光浸透探傷試験,水洗性染色浸透探傷試験,,c,疲労割れ→微細なきずの探傷なので蛍光浸透探傷を選択する。 大型部品や構造物を部分的に探傷する場合→携帯性に富んだ溶剤除 去性を選択する。 したがって，溶剤除去性蛍光浸透探傷試験を選択する。,
61,次の文は，浸透探傷試験の適用対象について述べたものである。正しいものを選べ。,構造物を全面探傷する場合は，溶剤除去性浸透探傷試験が適する。,試験場所を暗くすることが困難な場合は，蛍光浸透探傷試験が適する。,幅が広く浅い割れの検出には溶剤除去性蛍光浸透探傷試験が適する。,小型量産部品やねじ，キー溝などの鋭角な隅部の探傷には水洗性蛍光浸透探傷試験が適する。,,d,参考資料「浸透探傷試験の一般的な適用対象」参照,
62,次の文は，後乳化性蛍光浸透探傷試験の適用対象について述べたものである｡正しい組合せを選 べ｡ ① 微細な割れ，幅が広く浅い割れに適用できる｡ ② 小型の量産部品，ねじやキー溝など鋭角な隅部をもつ試験体に適用できる｡ ③ 大型部品や構造物を部分的に探傷する場合に適用できる｡ ④ 疲労割れ，研磨割れなど幅が非常に狭い割れに適用できる｡ ⑤ 水道及び電気設備のない場合に適用できる｡,①と③,①と④,②と③,③と④,,b,巻末の【参考資料】参照,
63,次の文は，前処理について述べたものである。正しいものを選べ。,高粘度のグリースの汚れは，グラインダーによる除去が効果的である。,泥，粘土等の無機質の汚れには，有機溶剤を使用して溶解除去する方法が効果的である。,粘度の高い油脂類の汚れは少量の界面活性剤を加えた水を使用して洗浄する方法が効果的であ る。,化学的な処理方法として酸洗い，アルカリ洗浄などを行った場合は中和，水洗いを行う必要が ある。,,d,高粘度のグリース及び油脂類（重油など）は超音波洗浄，蒸気脱脂に よる前処理が必要である。 巻末の【参考資料】参照,
64,次の文は，前処理について述べたものである。正しいものを選べ。,グリース等の油脂類は温水で除去するのがよい。,無機質の汚れは石油系溶剤で除去するのがよい。,泥・粘土類を除去するには水溶性界面活性剤を添加した温水で洗浄するとよい。,表面に発生した錆を除去するには有機溶剤がよい。,塗料はワイヤブラシで除去するのがよい。,c,巻末の【参考資料】参照,
65,次の文は，前処理について述べたものである。正しいものを選べ。,低粘度の油脂類の汚れは，洗浄液や有機溶剤による洗浄では不十分である。,高粘度の油脂類の汚れは，有機溶剤の蒸気脱脂や界面活性剤を入れた水蒸気洗浄が有効であ る。,無機質の汚れには，機械的処理や化学的処理が有効である。,固形物の汚れは，ブラッシングとか水洗性界面活性剤を使った水洗浄が有効である。,水分の除去は，ドライヤーなどを使って乾燥することが必要だが，水洗性浸透液を使用する場 合は，水分を除去しないで適用できる。,b,巻末の【参考資料】参照,
66,次は，浸透処理について述べたものである。正しいものを選べ。【少し難問】,浸透時間は，浸透液の種類，試験体の材質，試験体と浸透液の温度などの他に，浸透液の適用 方法も考慮して定める必要がある。,全ての浸透探傷試験における浸透時間とは，試験体に浸透液を適用してから除去処理又は洗浄 処理を開始するまでの時間を言う。,浸透処理を浸漬法で行った場合の排液処理は，余剰浸透液をあらかじめ少なくするために行う 操作である。,低温下で浸透処理を行う場合は，浸透液を適当な温度に加熱して用いるのが最も良い方法であ る。,,c,・浸透時間に浸透液の適用方法は無関係である。 ・後乳化性浸透探傷試験の場合は予備水洗及び乳化剤適用までが浸透 時間となる。 ・浸透液で試験体が濡れた状態で有れば良い。 ・低温下で浸透処理を行う場合は，試験体を温めて検査を実施する。,
68,次は，梅雨時などの湿度が高い場合の浸透探傷試験について述べたものである。正しいものを選 べ。,前処理の後，自然乾燥では十分に乾燥出来ない場合は，ドライヤを使用して乾燥させる。,前処理の後，試験体の表面が湿っている場合，浸透液は水洗性を使用する。,前処理に使用した溶剤の乾燥が遅い場合，布で溶剤を拭き取った後，すぐに浸透処理を行う。,湿度が90％を超えている場合は，浸透時間は通常の3 倍に延長する。,,a,湿度の高い場合は，ドライヤなどを使って乾燥させることが必要であ り，また温風を使うことにより試験体を温めることも次の工程である きずの中に浸透液を浸透させることの補助になるため，重要な処理と なる。,
69,次の文は，洗浄処理について述べたものである。正しいものを選べ。,水洗性浸透探傷試験の洗浄処理では，一般的に水圧は147～275kPa（1.5～2.8kgf/cm2）位であ る。,洗浄処理に使用される水の温度は一般的に40～60℃位であり，温度が高い程洗浄性が良い。,洗浄に要する時間は，予測されるきずの形状，大きさにより大きく異なる。,水洗性浸透探傷試験における洗浄処理の手順は，平滑な部分を先に洗い，穴やキー溝等の複雑 な部分を後で洗浄する。,,a,洗浄処理は水または温水を使用する。洗浄水の温度は10℃～40℃程度 である。 洗浄に要する時間は試験体の形状，大きさ，表面粗さ等により大きく 異なる。 シャワー法は，手作業でも使用される。,
70,次の文は，洗浄処理について述べたものである。正しいものを選べ。,洗浄水の温度は高い方がよく洗浄できるので，できるだけ100℃程度の温水で洗浄することが望 ましい。,洗浄水の水圧は147～490kPa（1.5～5.0kgf/cm2）程度で実施するのが望ましい。,複雑な形状の試験体を洗浄するときは，一般に洗浄のし難い所から始め，洗浄の容易な部分は できるだけ後で素早く行う。,洗浄時間はきず検出性能にあまり関係しないので，疑似模様の発生を避けるためにも十分時間 をかけて洗浄するのがよい。,洗浄用スプレーノズルの距離を試験面にできるだけ近づけて行うと，洗浄がスムーズに行え る。,c,洗浄水の温度は10℃～40℃程度の温水で洗浄する。 洗浄水の水圧は147～275kPa（1.5～2.8kgf/cm2）程度。,
71,次の文は，水洗性蛍光浸透探傷試験が，開口部の幅が大きいきずの検査に不適当とされる理由に ついて述べたものである。正しいものを選べ。,きずに浸透した浸透液が洗浄処理のとき洗い流されやすいため。,きずの周囲が洗浄不足となり疑似模様ができやすくなるため。,浸透液の粘性が高いので表面に残留しやすく，洗浄処理が難しいため。,この試験によって検出されたきずの指示模様は，表面の凹凸による指示と見間違えやすいた め。,,a,きずの開口幅が広い場合はきずの中の浸透液が洗浄されやすく，この 傾向は水洗性浸透液が顕著である。従って後乳化性浸透液が適する。,
72,次の文は，除去処理について述べたものである。正しいものを選べ。,除去処理とは，後乳化性浸透探傷試験で余剰浸透液を布ウエス又は紙ウエスを用いて除去する ことをいう。,除去処理は，最初は溶剤を直接試験面の余剰浸透液に適用することは避けて出来るだけ布ウエ ス又は紙ウエスだけで余剰浸透液を除去する。そのためには試験面上を直接布ウエス又は紙ウ エスを何回も往復させるようにして丹念に拭き取るようにする。,余剰浸透液の除去の程度は，除去液で僅かに湿らせた白色ウエスで試験面を拭いたときの白色 ウエスの着色の程度で判断する。,除去処理では自己現像力により，きずの中に浸透した浸透液が試験面にしみ出してくるので除 去不足にならぬように注意する必要がある。,,c,除去処理の基本要領 ①直接除去液を吹付けない。 ②最初はきれいな布ウエス又は紙ウエスで拭き取る。 ③第二段階はきれいな白ウエス又は紙ウエス拭き取る。 ④何回も過度に拭き取らない。 ⑤最後にウエスに僅かにピンク色がついている状態で終了する。 除去処理時には自己現像力の現象が起こるので過除去にならないよ うに注意すること。,
73,次は，溶剤除去性染色浸透探傷試験における除去処理の完了時期について示したものである。正 しいものを選べ。,試験体表面の浸透液の色がうすくなった時点。,試験体表面の浸透液の色が見えなくなった時点。,乾いた白いウエスで拭いたとき，そのウエスが薄いピンク色になった時点。,除去液をわずかに湿らせた白いウエスで拭いたとき，そのウエスが薄いピンク色になった時 点。,,d,除去処理とは，試験面の余剰浸透液を除去する処理工程である。 染色浸透探傷試験の場合は，除去液を少量含ませたウエスに淡い赤色 （ピンク色）が残る程度で終了とする。,
74,次の文は，溶剤除去性蛍光浸透探傷試験における適正な除去処理の程度を確認する方法について 述べたものである。正しいものを選べ。,白色光の下で試験面を見て，浸透液の色が見えるかどうか確認する。,ブラックライトで試験面に紫外線を照射して確認する。,除去液をわずかに湿らせた白いウエスで拭き，そのウエスに紫外線を照射して確認する。,乾いた白いウエスで拭き，そのウエスに紫外線を照射して確認する。,,b,除去処理とは，試験面の余剰浸透液を除去する処理工程である。 蛍光浸透探傷試験の場合は，試験面に浸透液が残らない程度（疑似 模様が発生しない程度）をブラックライトを照射して確認して終了 とする。,
75,次の文は，現像処理について述べたものである。正しいものを選べ。,乾式現像剤は現像処理後，時間が経過しても指示模様がにじんで拡大することがほとんどな く，接近したきずを分離して見分けることができる。,乾式現像剤はわずかな水の混入であれば性能に問題はない。,湿式現像剤は吹付けにより適用するのが一般的である。,速乾式現像剤は現像処理後，時間が経過しても指示模様がにじんで拡大することがない。,速乾式現像剤は浸漬して適用するのが一般的である。,a,乾式現像剤はわずかな水の混入でダマとなる。 湿式現像剤は浸漬法により適用するのが一般的である。 速乾式現像剤は時間の経過とともに指示模様がにじんで拡大する。 速乾式現像剤はスプレーで適用するのが一般的である。,
76,次の文は，乾燥処理について述べたものである。正しいものを選べ。,溶剤で除去処理をしたときは，熱風等を用いて迅速に乾燥処理を行う必要がある。,乾燥処理に用いる熱風循環式乾燥器は自動温度調節機能がついており，一定の温度で均一に加 熱することができる。,熱風循環式乾燥器は試験体の温度が上がって指示模様が大きくにじむので，湿式現像法を適用 した場合には使用してはならない。,湿式現像法における乾燥処理は低温でなるべく長時間乾燥した方が指示模様のにじみが少な い。,,b,乾燥の目的には，①試験面の乾燥，②湿式現像剤の乾燥がある。 熱風循環式乾燥器を使用したときは，器内温度を70℃以下にして短 時間で乾燥させる（材厚が薄いほど乾燥温度を低くして短時間で行 う）。 電熱式や赤外線は局部的に過熱されるので好ましくない。,
77,次の文は，染色浸透探傷試験の指示模様の知覚について述べたものである。正しいものを選べ。,知覚しやすくするために，浸透液にはすべて蛍光物質が加えられている。,知覚しやすいか，しにくいかは指示模様の大きさと浸透液の色のみで決まる。,知覚しやすいか，しにくいかは指示模様の大きさとバックグラウンドの色で決まる。,知覚しやすいか，しにくいかは指示模様の大きさと試験体自身の持つ表面の色で決まる。,知覚しやすいか，しにくいかは指示模様の大きさと浸透液とバックグラウンドの色で決まる。,e,指示模様の知覚の程度は，染色浸透探傷試験では指示模様の大きさ とバックグラウンドと指示模様の色相の差により決まる。,
78,次の文は，きずの指示模様の観察について述べたものである。正しいものを選べ。,染色浸透探傷試験の場合の試験面の明るさは，通常500 lx 以上必要である。,蛍光浸透探傷試験の場合に必要とする試験面の暗さは，5 lx 以下である。,蛍光浸透探傷試験の場合の試験面での紫外線強度は，500μＷ/ｃm２以上必要である。,蛍光浸透探傷試験の場合は周囲を若干明るくする必要があるが，明るさとして通常20 lx 以上は 必要である。,,a,蛍光浸透探傷試験の観察場所は20Lx 以下の明るさにし，目も環境の 暗さに慣れてから観察を行う（暗順応）。 試験面での紫外線強度は，1000μW/cm２以上必要である。,
79,次の文は，再試験について述べたものである。正しいものを選べ。,再試験とは，きず指示模様の判定を再度やり直すことである。,同じ試験方法で再試験を行う場合は，試験結果に良い影響を与えないので，他の試験方法を選 択して行う必要がある。,再試験は指示模様がきずによるものか，疑似指示によるものかの判断が困難な場合にも行うも ので，再試験が必要な箇所の現像剤を取り除き再度前処理から行う。,試験の過程で操作手順に誤りがあった場合は，誤りのあった工程からやり直す。,,c,再試験を実施しなければならないのは，操作手順に誤りがあった場 合，きずによる指示か疑似指示かの判断が困難な場合。 再試験は，現像剤を取り除いてから必ず前処理から行う。 また，きずの中に残留している浸透液も洗浄する必要がある。,
80,次の文は，後処理について述べたものである。正しいものを選べ。,後処理をどのように行うかは，この先における試験体への悪影響の有無，この先の作業工程に おける影響を考慮して決める。,どのような場合でも後処理では試験体に付着した全ての現像剤，浸透液等の探傷剤をきれいに 除去する。,有機溶剤を使用した超音波洗浄は浸透探傷試験の後処理には使用できない。,観察が終わった試験体表面に残った湿式現像剤は，試験体にエアを強く吹き付けて後処理を行 うと効率がよい。,,a,後処理とは，必要に応じて試験体表面の現像剤を除去し，適当な表 面処理を行うことをいう。,
81,次は，微細な割れ，及び幅が広く浅い割れの検出に最も適している探傷方法を示したものであ る。正しいものを選べ。,水洗性蛍光浸透探傷試験,後乳化性蛍光浸透探傷試験,溶剤除去性蛍光浸透探傷試験,水洗性染色浸透探傷試験,溶剤除去性染色浸透探傷試験,b,微細な割れ：蛍光浸透液を使用する。 幅が広く浅いきず：後乳化性を使用する。 従って，後乳化性蛍光浸透探傷試験を選択する。 巻末の【参考資料】参照。,
82,次の文は，各種浸透探傷試験の特徴を述べたものである。正しいものを選べ。,後乳化性浸透探傷試験は他の方法に比べ，浅くて幅のあるきずに対して最も検出感度の高い方 法である。,後乳化性蛍光浸透探傷試験用の浸透液は，水分の混入や温度の影響による性能の低下が大き い。,水洗性染色浸透探傷試験は，表面粗さの粗い試験体の探傷には適していない。,溶剤除去性蛍光浸透探傷試験は，Rz 50 を超える表面粗さの粗い試験体の探傷に適している。,,a,後乳化性の浸透液は水分の混入や温度の影響による性能の低下が少 ない。水洗性探傷試験は表面粗さの粗い試験体に適している。溶剤除 去性探傷試験は表面粗さの粗い試験体に適していない。,
83,大型鋳鋼品の部分探傷を行なう場合，最も良く使われている探傷方法はどれか。正しいものを選 べ。,水洗性蛍光浸透探傷試験,溶剤除去性蛍光浸透探傷試験,後乳化性蛍光浸透探傷試験,水洗性染色蛍光浸透探傷試験,溶剤除去性染色浸透探傷試験,e,巻末の【参考資料】参照,
84,次の文は，水エアゾール洗浄剤を用いた水洗性浸透探傷試験について述べたものである。正しい ものを選べ。,洗浄処理設備，水道設備，排水処理設備が必要である。,溶剤除去性浸透探傷試験で使用する洗浄液と同様に，水エアゾール洗浄剤は前処理にも使用で きる。,キー溝，ネジ部等形状の複雑なものや表面の粗いものに適している。,余剰浸透液の除去は一般に水エアゾール洗浄剤をスプレーで試験体に適用して除去した後，ウ エス等で拭き取る。,溶剤除去性浸透探傷試験で使用する洗浄液と比較して火災や有機溶剤の中毒に対して注意が必 要である。,c,水エアゾール洗浄剤を使用すると最小限の水を使用するので，排水 処理設備等が不要となる。 水エアゾールは水を噴射しているので油分等の除去に用いる前処理 には使用できない。,
85,次の文は，水エアゾールを用いた水洗性浸透探傷試験について述べたものである。正しいものを 選べ。,水エアゾールは，ウエスに含ませて使用し，直接試験体に吹き付けてはならない。,水エアゾールは，水ベース乳化剤と組合せて使用されるのが一般的である。,蛍光探傷試験の洗浄処理に用いる場合は，過洗浄の恐れがないのでブラックライトの照射は必 要ない。,水エアゾールは，浸透処理後まず乾いたウエスで余剰浸透液を除去した後，残った余剰浸透液 に洗浄水を一定の距離から吹き付けて洗浄する。,浸透処理した試験体に水型エアゾール洗浄液を一定の距離に保って吹き付け，次に表面に付着 している洗浄水をウエスで拭き取る。,d,水洗性浸透探傷試験を現場で適用するにあたり水スプレーの代替 として，水エアゾールを用いた水洗性浸透探傷試験が開発された。 手順は，普通の水洗性浸透探傷試験と同じであるが，水エアゾール を適用する前に余剰浸透液をできるだけウエス等で拭き取っておく ことが望ましい。 なお，水エアゾールをウエスに湿らせ余剰浸透液を拭き取ること は溶剤除去性浸透探傷試験と同じ手法となり，水洗性浸透探傷試験 の特徴を生かせないため誤りとなる。,
86,次の文は，低温下における浸透探傷試験の問題点について述べたものである。正しいものを選 べ。,浸透液の粘度低下による浸透時間の増加,速乾式現像剤の溶剤の揮発性の低下による乾燥時間の増加,洗浄液の凍結,浸透液のぬれ性の増加,スプレー缶の内圧の上昇,b,JIS Z 2343-1 では5℃程度～10℃未満を低温の範囲としており，この範 囲では洗浄液は凍結しない。 低温下では，染色浸透液よりも蛍光浸透液の方が粘度上昇は大きい。 低温用の超速乾式現像剤が開発されている。,
87,大型鋳鋼品の部分探傷を行う場合，最もよく使われている探傷方法はどれか。正しいものを選 べ。,水洗性蛍光浸透探傷試験・・・・・・・・・・湿式現像法,後乳化性蛍光浸透探傷試験・・・・・・・・・乾式現像法,溶剤除去性蛍光浸透探傷試験・・・・・・・・速乾式現像法,水洗性染色浸透探傷試験・・・・・・・・・・速乾式現像法,溶剤除去性染色浸透探傷試験・・・・・・・・速乾式現像法,e,巻末の【参考資料】参照 キーワード：大型鋳鋼品，部分探傷,
88,次の文は，浸透探傷試験の特徴について述べたものである。正しいものを選べ。,試験体の材質が浸透探傷剤に侵されるもの，吸湿性（多孔質）なもの，非金属材料に対しても 適用することができる。,一回の探傷操作で，すべての方向のきずを検出することができる。,目で見えるような大きなきずは，必ず検出できる。,大きなきずからは大きな指示模様が現れるので，指示模様の状態からきずの深さが推定でき る。,,b,試験体の材質が浸透探傷剤に侵されることなく，吸湿性（多孔質）で なければ，非金属材料に対しても適用することができる。 目で見えるような大きなきずでも検出できないこともある。 きずによる浸透指示模様からは，きずの内部の情報（深さ）は得られ ない。また，大きなきずでも開口部の状態により小さい指示模様とし て現れることがある。,
89,次のうち，キー溝やねじ部の様に形状の複雑な試験体や表面粗さの粗いものに適用でき，比較的 検出感度も高い探傷方法はどれか。正しいものを選べ。,水洗性蛍光浸透探傷試験,後乳化性蛍光浸透探傷試験,溶剤除去性蛍光浸透探傷試験,水洗性染色浸透探傷試験,,a,キー溝やねじ部は洗浄処理が容易にできる水洗性浸透探傷試験であ るが，現像剤の選定においては，ねじ底などに現像剤が溜まらない乾 式現像法が適用される。また，比較的検出感度が高いものと言う題意 であるので蛍光を選択する。巻末の【参考資料】参照,
90,次の文は，現像面を観察するのに必要な環境条件を述べたものである。正しいものを選べ。,明所視の場合，試験面の明るさは1000 lx 以上とする。,目視の角度は試験面に立てた法線と45 度以内の角度とする。,光源と目の配置で，光源の光が直接目に入らないようにする。,目と現像面間の距離は遠く離れても1 m とする。,暗所視の場合，周辺部の明るさは10 lx 以下とする。,c,"明所視の場合，試験面の明るさは500Lx 以上で10,000Lx 以下。 目視の角度は試験面に立てた法線と30 度以内。 目と試験面間の距離は25cm 以上60cm 以内。 暗所視の場合の周辺部の明るさは20Lx 以下。",
91,浸透探傷試験において，浸透指示模様の観察時の周辺部の明るさ（又は暗さ)として，次のうち 正しいものを選べ。,明所視の場合は明るくとも10000 lx 程度，暗所視の場合は20 lx 以下の暗さが望ましい。,明所視の場合は明るくとも100 lx 以下，暗所視の場合は20 lx 以下の暗さが望ましい。,明所視の場合は明るくとも10000 lx 以下，暗所視の場合は80 lx 以下の暗さが望ましい。,明所視の場合は明るくとも100 lx 以下，暗所視の場合は80 lx 以下の暗さが望ましい。,明所視，暗所視いずれの場合も，きず指示模様の明るさが十分であれば周辺部の明るさ（又は 暗さ）は，あまり影響がない。,a,明所視の場合，試験面の明るさは500Lx 以上（10000Lx 以下） 暗所視の場合の周辺部の明るさは20Lx 以下,
92,次の文は，浸透探傷試験における評価の基本について述べたものである。正しいものを選べ。,染色浸透探傷試験において浸透液に赤色，現像剤に白色を採用するのは最も明度コントラスト が大きいからである。,染色浸透探傷試験の浸透液は赤色，現像剤は白色を使用するのは明暗コントラスト比が高いか らである。,浸透探傷試験の観察において，指示模様の背景となる試験体の色又は明るさをバックグラウン ドという。,染色浸透探傷試験は指示模様とバックグラウンドとの明るさの対比を利用したものである。,,c,観察の方法は，染色浸透探傷試験では色調コントラスト，蛍光浸透探 傷試験では明暗コントラストによる。,
93,次の文は，疑似指示の発生原因について述べたものである。正しいものを選べ。,洗浄処理で洗浄時間が長すぎた場合。,洗浄処理で水圧が高すぎた場合。,除去処理で除去液の適用が多すぎた場合。,乳化処理で乳化時間が短すぎた場合。,,d,浸透探傷試験で現れる疑似模様は，基本的には全て洗浄不足か除去不 足が原因で発生する。 ａ）ｂ）ｃ）は，過洗浄及び過除去の要因である。,
94,次の文は，指示模様の観察・解釈・評価の中に含まれる行為について述べたものである。正しい ものを選べ。,"指示模様の解釈を行うときは, 現像塗膜を除去した後に試験面の観察を行わなければならな い。","指示模様の観察を行うときは, その発生原因を必ず特定しなければならない。","指示模様の解釈を行うときは, 判定対象となるきずによる指示模様か, 又は判定対象外となる きずによる指示模様なのかを判断し, 決めなければならない。","指示模様の観察・解釈・評価では, 判定対象とならない指示模様が認められたならば, 記録に 残す必要はない。",,c,"指示模様の観察とは,現像処理した試験体表面に適正な現像剤塗膜が 塗布されていることを確認した後,正しい観察条件の下で浸透液によ る指示の有無を調べる行為をいう。",
95,次の文は，割れについて述べたものである。正しいものを選べ。,割れが成長するには，割れの成長方向に引張応力が加わることが必要である。,割れが進展するのは，割れ表面で応力集中が起こるためである。,割れは，表面から遠いほど有害度を増す。,割れが進展するかどうかは，加えられた応力の種類と大きさ，割れの存在する位置，材質，割 れ先端の形状等により決まる。,,d,割れの進展は，割れの成長方向に対して垂直方向に引張応力が加わ り，割れ先端で応力集中が起こるからである。また，表面に近いほど 有害度が高くなる。,
96,次の文は，探傷剤の疲労のうちゲル化という疲労を起こす探傷剤について述べたものである。正 しいものを選べ。,後乳化性浸透液,溶剤除去性浸透液,湿式現像剤,乾式現像剤,速乾式現像剤,c,湿式現像剤は，異物の混入による汚れや変質によってゲル化する。,
97,次の文は，エアゾールタイプの探傷剤の管理について述べたものである。正しいものを選べ。,性能の低下は少なく，長時間経過したものをそのまま使用できる。,浸透液についてはガス圧が低下していても液がノズルから出て，性能に変化がなければそのま ま使用してかまわない。,ガス圧が低下した現像剤については70℃程度に加熱して必要なガス圧が得られれば使用してか まわない。,現像剤については長時間経過したものをそのまま使用できる。,,b,エアゾールタイプの現像剤の内圧が低下すると噴霧能力が悪くなる ので，その場合は30℃以下の温湯で加温してから使用する。 エアゾールタイプの探傷剤を長期間使用していない場合は，特に缶内 の発錆と性能低下の可能性があるので点検する必要がある。,
98,次の文は，エアゾール製品の安全取り扱いに関連する事項を述べたものである。正しいものを選 べ。,エアゾール製品の内部圧力は25℃で100～200kPa であり，40℃以上になると爆発の恐れが出て くる。,温度低下による探傷剤の噴射圧力が弱まったときは50℃以下の温湯で加温する。,エアゾール製品の内部圧力は特に温度による変化が著しいので取り扱いや保管には注意が必要 である。,エアゾール製品の噴射ガスには不燃性のガスが使用されている。,,c,エアゾール製品の内部圧力は25℃で290～490kPa ぐらいである。 温度低下による探傷剤の噴射圧力が弱まったときは30℃以下の温湯 で加温する。温度が40℃以上となる場所には置かない。 エアゾール製品の噴射ガスには引火性のあるものとないものが使用 されている。,
99,次の探傷剤のうち，消防法の危険物であり，その指定数量が最も少なく制限されているものを選 べ。,乳化剤,水洗性蛍光浸透液,洗浄液,溶剤除去性蛍光浸透液,乾式現像剤,c,消防法では物品自体が発火する，または引火する性質をもつものと， 発火または引火を促進する性質のものを 危険物と指定している。 可燃性の探傷剤は第四類に該当し，最も指定数量の少ない第一石油 類に該当するのは，洗浄液/除去液と速乾式現像剤である。,
100,消防法の危険物の分類のうち，指定数量の少ないものを二つあげるとすればどの組合せになる か。正しいものを選べ。 ア：第一石油類 イ：第二石油類 ウ：第三石油類 エ：アルコール類,ア，イ,ア，エ,イ，ウ,イ，エ,ウ，エ,b,可燃性の探傷剤は消防法により第四類の危険物に分類されている。 その中で引火点の違いにより第一石油類から第四石油類及びアルコ ール類に分けられ，貯蔵指定数量が決められている。 最も指定数量の少ない探傷剤は除去液(洗浄液)（第一石油類，引火点 21℃未満）と速乾式現像剤（アルコール類，引火点21℃未満）で， 400 リットルである。その他の探傷剤は比較的引火点が高く，第二 石油類あるいは第三石油類に分類されており，指定数量は1000 リッ トル以上となっている。 巻末の【参考資料】参照,
