id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
35,次の文は、超音波探傷試験における周波数の選定について述べたものである。正しいものを一つ選び、 記号で答えよ。,薄板の探傷には、高い周波数が適している。,遠距離分解能は、低い周波数が優れている。,減衰の小さい試験体の底面に近いきずを検出するには、低い周波数が適している。,林状エコーが探傷の支障になるときは高い周波数を使用する。,a,a) 正しい。 b) は高い周波数が適する。分解能には、近距離分解能、遠距離分解 能、方位分解能があるがいずれの分解能も周波数が高い方が、波長 及びﾊﾟﾙｽ幅が短くなるのでよい。 c) は高い周波数が適する。減衰の少ない超音波の通りがよい材料の 場合、底面に近いきず検出は遠距離分解能に優れた方が有利とな る。上項の解説にもある通り、周波数は高い方がよい。 d)は 林状ｴｺｰが探傷の支障になる場合は、低い周波数が適してる。,
36,次の文は、鋼の組織と超音波の減衰の関係について述べたものである。正しいものを一つ選び、記号 で答えよ。,焼入れ焼戻しされた材料は、減衰が小さい。,結晶粒による減衰は、一般に周波数が高くなると小さくなる。,鍛造打放し材を焼ならししても、一般に減衰の程度は変わらない。,結晶粒が微細であると、結晶粒界が多くなるので、結晶粒界による超音波の散乱が増加し、減衰が 増加する。,a,結晶粒が小さいほど、林状エコーや減衰は少なくなる。また、炭素鋼 において焼入れ焼戻しされた材料や焼ならしを施すと、金属組織が 微細化して超音波の伝搬が良くなり減衰は小さくなる。結晶粒の粗 い材料などの探傷では、低い周波数の探触子を使用する。,
37,次の文は、超音波の減衰係数について述べたものである。 に適する数値を一つ選び、記号で答えよ。 ただし、答えは小数点以下第３位を四捨五入せよ。 厚さ50mm の鋼板を、5C20N の探触子で垂直探傷を行い、健全部でB１＝75%、B２＝15%の底面エコーを得 た。拡散損失を0.4dB、探傷面での反射損失を1.5dB、底面での反射損失を0.2dB とすると、この鋼板の 超音波の減衰係数は、 （dB/mm）である。,0.12,0.14,0.24,0.28,a,減衰係数α＝｛(B/B) －(拡散損失＋反射損失)｝/（2×ｔ） 1 2 底面ｴｺｰから求めたdB 値、(B/B)(dB)＝20log(75/15)＝20log5 1 2 ＝14dB α＝｛14-(0.4+1.5+0.2)｝/(2×50)＝0.119dB/mm≒0.12dB/mm,
38,次の文は、鍛鋼品の減衰係数の測定について述べたものである。 に適する数値を一つ選び、記号 で答えよ。 厚さが500mm で25μmＲｚに仕上げ加工した鍛鋼品を探触子2Z28N で探傷したところ、健全部において B１/B２の値が12.5dB であった。この鍛鋼品の減衰係数を計算した結果、[１]dB/mm となった。ただし、 探傷面での反射損失は3dB/回、底面での反射損失は1dB/回とする。,0.003,0.005,0.009,0.013,a,B/B=12.5dB、探傷面の反射損失=3dB、底面での反射損失1dB、 1 2 X＝28２/(4×5.9/2)＝66.4 ｎ=500/66.4＝7.5＞4 従って 0 拡散損失は6dB 減衰係数α＝｛(B1/B2) －(拡散損失＋反射損失)｝/（2×ｔ） ＝｛12.5-(6.0+3.0+1.0)｝/（2×500）＝0.0025dB/mm→0.003dB/mm ここで 6.0 は拡散損失、3.0 は探傷面での反射損失、1.0 は底面で の反射損失を示す。,
39,次の文は、鍛鋼品の超音波探傷における超音波の減衰係数について述べたものである。［1］に適する 数値を解答群から一つ選び、記号で答えよ。ただし、小数点以下第4 位を四捨五入せよ。 測定範囲を500mm にして鍛鋼品（表面仕上げ25μmＲＺ）を2C20N で超音波探傷したところ、健全部に おいてB１のエコー高さが90%、B２のエコー高さが20%であった。この条件で、探傷面及び底面での反射 損失をそれぞれ2.5dB/回、1.2dB/回とすると、この鍛鋼品の減衰係数は［1］dB/mm となる。,0.008,0.017,0.023,0.033,a,X＝20２/(4×5.9/2)＝33.9 ｎ=200/33.9＝5.9＞4 従って拡散損失 0 は6dB B/B(dB)＝20log(90%/20%)＝13.06dB 1 2 探傷図形より試験体の厚さは200mm 減衰係数α＝｛(B/B) －拡散損失－反射損失｝/（2×ｔ） 1 2 ＝(13.06-6.0-2.5-1.2)/（2×200）＝0.0084≒0.008dB/mm ここで-6.0 は拡散損失、-2.5 は探傷面での反射損失、-1.2 は底面で の反射損失を示す。,ut_2022_04_q39.png
40,次の文は、各種超音波探傷法について述べたものである。正しいものを選べ。,表面波は試験体表面下、一波長程度の範囲を伝搬するため、表面波法で探傷するときは、表面きずの 深さが数波長を超えると測定精度が極端に悪くなる。,TOFD 法は、回折波が発生しやすいように振動子寸法の小さい、広い指向角を有する高分解能縦波斜角 探触子で、試験周波数は１MHｚが多く使用される。,表面波探傷法では、二探触子法を用いれば、きずの密着状態やきず内部の充填物の種類等による測定精 度のばらつきを無視してもよい。,一般の斜角探傷法では、溶接部探傷の際、きずの傾きや形状の影響を強く受けるが、TOFD 法による探 傷ではそれらの影響を受けにくい。,d,"表面に開口しているきずは、きずの深さが波長の数倍を超えても測 定精度が悪くなることはない。 TOFD 法を適用する場合、一回の走査で広い領域を一度に検査するた め、探触子は振動子直径の小さい、広い指向角の高分解能縦波探触子 が使用されるが、あまり広い範囲を検査しようとするとSN 比が低下 し回折波の識別が悪くなる。通常周波数5MHz、振動子径10mm 前後、 屈折角45°,60°,70°が用いられ、この方法は、きずの形状や傾き にそれほど影響を受けない。",
41,次の文は、広帯域超音波探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,広帯域探触子から送信される超音波の周波数は、狭帯域探触子が送信する超音波の周波数より周波数 帯域が広い。,広帯域探触子から送信される超音波の波数は、狭帯域探触子が送信する超音波の波数より多い。,送信する超音波の波数が少ない方が、周波数帯域が狭くなる。,超音波探触子の周波数特性を表すQ 値は、周波数帯域幅を中心周波数で除したものである。,a,振動の波数が1～2 波の超音波ﾊﾟﾙｽは広い周波数帯域をもつ。このこ とから、1～2 波振動の超音波ﾊﾟﾙｽを送受信する探触子を、広帯域探 触子、又はﾊﾟﾙｽ幅が狭く距離分解能が高いことから、高分解能探触子 とも呼ぶ。広帯域探触子に対して、5～8 波振動の一般的な探触子を、 狭帯域探触子と呼ぶ。広帯域探触子は、林状ｴｺｰが現われる粗粒材に 適用すると、林状ｴｺｰ（ﾉｲｽﾞ）のﾚﾍﾞﾙを抑え、SN 比を向上させる。 一方、周波数成分が幅広いので、DGS 手法でのきずｴｺｰの評価には不 向きとされている。,
43,次の文は，垂直探傷における感度調整について述べたものである。正しいものを一つ選び、記号で答え よ。,底面エコー方式による感度調整は、減衰が少ない試験体にだけ適用できる。,底面エコー方式による感度調整は、試験体の探傷面と底面が平行でないと適用できない。,底面エコー方式による感度調整は、減衰の著しい試験体のとき、きずを過小評価する恐れがある。,底面エコー方式による感度調整は、試験体の探傷面の粗さや減衰の影響を受けやすい。,b,底面ｴｺｰ方式は、きず深さに応じた感度補正を行えば減衰の大きい試 験体にも適用できる。また、底面ｴｺｰ方式による感度調整は、試験体 の探傷面と底面が平行でなくては適用できないが、探傷面の粗さの 影響を受けにくい。但し減衰の著しい試験体ではきずを過大評価す るおそれがある。,
44,次の文は、板厚25mm の鋼板突合せ溶接部の斜角探傷において、JIS Z 3060 によるきずの指示長さの 測定方法について述べたものである。正しいものを一つ選び、記号で答えよ。,きずの指示長さは、1mm 単位で測定する。,きずエコー高さが領域Ⅲのきずの場合は、きずの指示長さの測定は行わない。,M 検出レベルでは、エコー高さがM 線を超える探触子の移動距離できずの指示長さを測定する。,探触子の種類によっては、M 線できずの指示長さを測定する場合がある。,a,JIS Z 3060 では、『きずの指示長さは、最大ｴｺｰ高さを示す探触子溶 接部距離において左右走査し、ｴｺｰ高さがL 線を超える探触子の移動 距離とする。この長さは1mm 単位で測定する。』とある。また、『公称 周波数2MHz～2.5MHz の探触子を使用する場合には、最大ｴｺｰ高さの 1/2(—6dB)を超える探触子の移動距離とする。』とある。 領域によるきずの指示長さの測定を行うものは、検出ﾚﾍﾞﾙによって 異なり、L 検出ﾚﾍﾞﾙでは領域Ⅱ、Ⅲ、Ⅳ、M 検出ﾚﾍﾞﾙでは領域Ⅲ、Ⅳ のきずが対象となる。,
45,次の文は、透過法による超音波探傷試験について述べたものである。正しいものを一つ選び、記号で 答えよ。,端部エコー法は、透過法の一種である。,透過法には、二振動子垂直探触子が使用される。,透過法は、送受二個の探触子を用いて探傷を行う。,透過法には、斜角探触子を用いることはできない。,c,図に示すように、送信した探触子で受信するのか、又は、別の探触子 で受信するのかにより、反射法と透過法に分類される。反射法は、き ずや底面での反射波により探傷を行うもので、試験体の同一表面（探 傷面）で超音波を送受信する。透過法は、きずや試験体の組織による 超音波の減衰から内部の状況を判断するもので、試験体の異なる表 面で超音波を送受信することが多い。 透過法,
46,次の文は、端部エコー法について述べたものである。正しいものを一つ選び、記号で答えよ。,端部エコーが検出されると、きずの先端形状を推測したきずの評価が可能である。,端部エコー法は、送信探触子と受信探触子を用いた二探触子法で行う。,探触子の種類を変えて探傷すれば、全ての溶接きずの端部エコーが検出される。,端部エコー法によりきず高さを測定してきずを評価する場合、きずエコー高さの領域は無視してもよい。,d,端部ｴｺｰ法はきずの上端部ｴｺｰ及び下端部ｴｺｰを捉えきず高さを測定 する方法で、点集束探触子を用いて直射法で測定するとｴｺｰの識別性 及び測定精度が向上する。端部ｴｺｰ法は端部ｴｺｰを捉えることできず 高さを測定しているため、ｴｺｰ高さ領域は関係ない。,
47,次の文は、端部エコー法について述べたものである。文中の に適する数値を一つ選び、記号で答 えよ。 板厚が45mm の鋼突合せ溶接継手を5Z10×10A45(STB 屈折角44.5 度)の探触子を用いて端部エコー法で探 傷した。きずの上端部からのエコー(WFU)及び下端部からのエコー(WFL)がそれぞれ32.0mm、54.5mm に現れ た。きずの高さはおよそ mm であると推定される。,14,16,18,20,b,きず上端部の深さ：W ×cosθ=32.0×cos44.5°=22.8mm FU きず下端部の深さ：W ×cosθ=54.5×cos44.5°=38.9mm FL きずの高さ＝きず下端部の深さ－きず上端部の深さ ＝38.9-22.8=16.1mm ⇒b),
48,次の文は、溶接部の超音波探傷について述べたものである。正しいものを一つ選び、記号で答えよ。,板厚の厚い内部の溶込み不良の検出には、タンデム探傷法が有効である。,板厚の厚い内部の溶込み不良の検出には、Ｖ透過法が有効である。,Ｖ開先溶接部の溶込み不良の検出にはタンデム探傷法が有効である。,アンダーカットの検出にはタンデム探傷法及びＶ透過法が有効である。,a,タンデム探傷法は X 開先溶接部の内部溶込み不良や I 開先溶接部の 融合不良などの探傷面に垂直な面状きずを効果的に検出する方法で ある。透過法は、一般的にきずの検出には向いていない。感度補正量 を求める時や、音響異方性の測定、探傷屈折角の測定などに用いる。,
49,次の文は、厚鋼板溶接部のタンデム探傷について述べたものである。正しいものを一つ選び、記号で答 えよ。,タンデム探傷法は、２個の探触子を使用するため、一探触子法のような探傷不能領域はない。,タンデム探傷法は、板厚が厚くなるほど屈折角を大きくした方がきずは検出し易い。,タンデム探傷法は、Ⅹ開先溶接部の溶込み不良や、狭開先溶接部の開先面の融合不良の検出に適して いる。,タンデム探傷法は、厚鋼板溶接部の裏側の溶込み不良の検出に適している。,c,ﾀﾝﾃﾞﾑ探傷法：X 開先溶接部の内部溶込み不良や狭開先溶接部の融合 不良などの探傷面に垂直な面状きずを効果的に検出できる方法で、 送信用、受信用の 2 個の探触子を前後に配置して探傷する。溶接部 の余盛や探触子間距離により探傷不能領域がある。,
50,次の文は、鋼材溶接部をTOFD 法を用いて探傷する場合に使用する探触子について述べたものである。 正しいものを一つ選び、記号で答えよ。,溶接部を挟んで、送信及び受信用縦波斜角探触子を試験体表面に配置して、探傷する。,溶接部を挟んで、送信及び受信用横波斜角探触子を試験体表面に配置して、探傷する。,溶接部を挟んで、送信及び受信用表面波探触子を試験体表面に配置して、探傷する。,溶接部を挟んで、送信及び受信用クリーピング波探触子を試験体表面に配置して、探傷する。,a,TOFD 法とは、きずの検出及びきずの高さ寸法を同時に行う方法であ る。この方法は、溶接部を挟んで2 つの縦波斜角探触子を向かい合わ せに配置し、一方を送信用に他方を受信用とし、試験体の板厚全体に 超音波を伝搬させる。きずが存在すると、きずの上下端部からの散乱 波を得ることができる。,
51,次の文は、垂直探傷試験における探触子の選定方法について述べたものである。正しいものを一つ選び、 記号で答えよ。,広帯域探触子を使用すると、結晶粒の大きな材料の探傷では林状エコーが多く現れる。,広帯域探触子は、そのエコーに広い帯域の周波数成分を含んでいるから、DGS 線図の利用に適する。,厚い試験体を探傷するには、振動子の直径の小さい探触子が適している。,探傷面が粗いときには、アクリル樹脂などの遅延材付きの探触子が適している。,d,a) 広帯域探触子(高分解能探触子)はSN 比の向上が期待できる。 b) 広帯域探触子は種々の周波数成分を含んでいるから、DGS 線図の 利用には適さない。 c) 厚い試験体には、直径の大きい探触子の方が指向角は小さいので 適する。 d) 遅延材付探触子：粗い面での探傷の安定化を図る。 遅延材と接触媒質の音響ｲﾝﾋﾟｰﾀﾞﾝｽはほぼ等しく、接触媒質の層の厚 さの不均一性が緩和され、水浸法と同様に表面粗さの影響を受けに くくなる。,
52,ある試験体を探触子5Z20N を用いて超音波探傷したら林状エコーが多く現れ、探傷ができなかった。 林状エコーを減らすためには、下記のどの探触子を用いて探傷すればよいか。,１０Ｃ１０Ｎ,５Ｑ２０Ｎ,５Ｚ１０Ｎ,Ｂ５Ｃ２０Ｎ,d,試験体内部にある多くの微小境界面（主に結晶粒界）によるｴｺｰが林 状ｴｺｰである。探傷感度を上げたときに現れる。このような場合、低 い周波数の探触子を選ぶか、広帯域（高分解能）探触子を選ぶのが良 い。B5C20N は広帯域（高分解能）探触子である。,
53,次の文は、超音波探傷試験における試験周波数の選定方法について述べたものである。正しいものを 一つ選び、記号で答えよ。,探傷面に近いきずを検出するときは、高い周波数が適している。,きずの位置決定の精度を上げるためには、低い周波数が適している。,伝搬距離が長い場合は、高い周波数が適している。,小さいきずを検出するためには、一般に低い周波数が適している。,a,探傷面に近いきずや小さいきずの検出及びきず位置決定の精度を上 げるためには高い周波数が適している。 伝搬距離が長い場合は、低い周波数が適している。,
54,次の文は、JIS Z 2305 で決められているNDT 指示書について述べたものである。正しいものを一つ選び、 記号で答えよ。,NDT 指示書は、レベル１以上の技術者が作成する。,NDT 指示書は、レベル２以上の技術者が作成する。,NDT 指示書は、レベル３技術者のみが作成する。,NDT 指示書は、総合管理技術者のみが作成する。,b,P2 1.3 ﾚﾍﾞﾙ2 技術者の役割 (3)NDT ｺｰﾄﾞ、規格、仕様書及び手順書を実際の作業条件に適したNDT 指示書に書き換える。,
55,次の文は、NDT 指示書の記述について述べたものである。正しいものを一つ選び、記号で答えよ。,NDT 指示書は、レベル1 技術者が探傷条件を自由に選べるように幅広く指定するように記述する。,NDT 指示書は、レベル1 技術者が探傷条件を誤ることがないように、具体的な探傷条件を記述する。,NDT 指示書は、レベル1 技術者が探傷結果について、記録する項目を増やせるように空欄を多くとり、 何でも書けるように記述する。,NDT 指示書は、レベル1 技術者が探傷条件を選択できるように、数多くの探傷条件を載せたものを 作成する。,b,NDT 指示書の定義はJIS Z 2305 に『確立されたNDT 手順書、規格、 ｺｰﾄﾞ又は NDT 手順書に基づいて NDT を実施する際に、従わなければ ならない正確な手順を詳細に記述した文書』とあり、ﾚﾍﾞﾙ2 以上の技 術者が作成すると規定されている。NDT 指示書は、製品の検査作業を 行う探傷試験技術者が、NDT 手順書で具体的に記載や指示がない項目 を、間違いなく正確に検査作業ができるように、検査工程の手順ご と、段階ごとに手順を追って記載したものである。,
56,次の文は、鋼板に存在するラミネーションの検出について述べたものである。正しいものを一つ選び、 記号で答えよ。,ラミネーションの検出には、一探触子法による斜角探傷を行う。,ラミネーションの検出には、タンデム法による斜角探傷を行う。,ラミネーションの検出には、垂直探傷を行い、きずエコーの有無を調べる。,ラミネーションの検出には、垂直探傷を行い、底面エコーのみの減衰状況を調べる。,c,ﾗﾐﾈｰｼｮﾝの検出には、垂直探傷によりきずの有無を調べる。 ﾗﾐﾈｰｼｮﾝは鋼板に発生するきずで、二枚割れとも呼ばれ、広範囲に鋼 板の圧延方向に発生する。 底面ｴｺｰのみの減衰状態を調べ、減衰していたとしてもﾗﾐﾈｰｼｮﾝが発 生していない場合もあり判断できない。,
57,次の文は、鍛鋼品の垂直探傷について述べたものである。正しいものを一つ選び、記号で答えよ。,林状エコーが多く、底面エコーが現れない場合、探傷感度をもっと高くする。,林状エコーが多く、底面エコーが現れない場合、探傷感度をもっと低くする。,林状エコーが多く、底面エコーが現れない場合、試験周波数をもっと高くする。,林状エコーが多く、底面エコーが現れない場合、試験周波数をもっと低くする。,d,林状ｴｺｰは超音波の波長が金属の結晶粒の大きさと同程度ないしそ れ以下のとき、又は、結晶粒が粗大な場合には、散乱減衰が大きく、 また、結晶粒界における散乱などによる林状ｴｺｰが現れきずの検出が 困難になる。このような場合、低い周波数を適用する。（広帯域探触 子の使用も効果がある。）,
58,次の文は、鍛鋼品の超音波探傷が鋼板に比べて探傷に技量が必要とされる理由について述べたものであ る。正しいものを一つ選び、記号で答えよ。,表面が打放しのままや、粗さが異なる機械加工されているものがある。,きずの方向が、超音波探傷のビームの方向に延伸しているきずが多い。,結晶が粗大な部分と細い部分が混在しており、周波数の異なる種々の超音波探触子を使用する必要があ る。,大型品が多く、メタルフローが複雑になっておりきずの方向性が複雑である。,d,鍛鋼品には多くの材質があり、その形状・寸法も変化が大きく、 きずの種類やその存在の仕方も一定でない。このため探傷方法も それらによって大きく異なってくるので目的に応じた最適な探傷 方法を選定する必要があり、鍛鋼品の製造工程や発生するきずに対 する十分な知識をもった技術者が行わなければならない。,
59,次の文は、溶接部の探傷における横割れの検出について述べたものである。正しいものを一つ選び、 記号で答えよ。,横割れの検出には、横方形走査が適している。,横割れを検出するための斜め平行走査では、横割れに入射する超音波の入射角をできるだけ大きくする 必要がある。,横割れの検出には、可能であれば余盛を切削して溶接線上走査で行うのがよい。,横割れを検出するためのまたぎ走査では、横割れに入射する超音波の入射角をできるだけ大きくする 必要がある。,c,斜め平行走査及び溶接線上走査は、図に示すように溶接部の横割れ を検出するための検出方法である。横割れは一般に溶接部の最終層 直下に発生し、溶接線に対してほぼ直角に進展する。斜め平行走査の 場合、横割れに超音波が入射する角度（入射角α）は、できるだけ小 さな値にする必要があり、屈折角70°の探触子を使用する。 溶接部の余盛を切削した状態で適用される溶接線上走査は、これら の特別な探触子の配置を考える必要がない。二探触子法で横割れを 検出する場合は、またぎ走査法がある。これは、一探触子法（特に斜 め平行走査）で、うまく反射超音波を受信できない場合に適用され る。,
60,次の語句は、溶接部に発生する「横割れ」を検出する探触子の走査方法を示したものである。最も適切 な方法を一つ選び、記号で答えよ。ただし、溶接部の表面側の余盛は削除されているものとする。,前後走査,斜め平行走査,左右走査,溶接線上走査,d,斜め平行走査及び溶接線上走査は、溶接部の横割れを検出するため の走査方法である。溶接部に余盛がある場合、溶接部線上に探触子を 走査させることが不可能であり、この場合は斜め平行走査により行 われる。また、溶接余盛が削除されている場合は溶接線上走査を適用 する。題意では溶接部の余盛が削除されているため、溶接線上走査が 適した走査方法となる。,
61,次の文は、溶接部の斜角探傷試験におけるきずの検出について述べたものである。正しいものを一つ選 び、記号で答えよ。,ベベル角30 度のV 開先突合せ溶接部に発生する開先面の融合不良の検出には、屈折角60 度の探触子 を用いて一回反射法で探傷するのがよい。,ベベル角30 度のV 開先突合せ溶接部に発生する開先面の融合不良の検出には、屈折角45 度の探触子 を用いて直射法で探傷するのがよい。,縦割れの検出には、周波数は2MHz よりも5MHz の方が適している。,縦割れの検出には、屈折角は70 度よりも45 度が適している。,a,"超音波は入射角がきず面に直角に入射するのがよい。a),b)の場合、 ベベル角が 30 度であるため、一回反射法においては屈折角 60 度を 使用すると、反射源に直角に入射することになるので、a)が正しい。 c),d)の縦割れの検出に関しては、きず面になるべく垂直に近い70 度 の屈折角で、指向性の鈍い（周波数の低い）斜角探触子を使用するの がよい。縦割れの開口部を裏面から 0.5 スキップで探傷する場合、 45 度の方が70 度より反射能率が良く検出能力は高いが、余盛が有る 溶接部の場合、板厚が薄いと接近限界のため適用できないので、45 度 が優れているとは言えない。",
63,次の文は、鋳鋼品を超音波探傷する場合に、注意する事柄について述べたものである。正しいものを一 つ選び、記号で答えよ。,鋳鋼品には、引け巣のような強度に影響するきずが発生するので、きずの発生を予測して、垂直探傷 や斜角探傷も行う必要がある。,鋳鋼品は、熱処理が行われるため、減衰は小さいので、一般鋼材と同じ周波数で探傷が可能である。,鋳鋼品は、結晶粒が小さく、減衰も小さいので、一般鋼材と同じ周波数で探傷が可能である。,鋳鋼品は、表面が機械加工されるので、表面粗さを考慮しなくてよい。,a,鋳鋼品は、炭素量0.15～0.5%の鋳造性の良好な鋼、またはその鋳鋼 品である鋼鋳物である。炭素量を変化させて性質を調整できるが、 一般に強靭で耐衝撃性に優れる。金属組織が均一で機械的性質に方 向性がなく、溶接が容易である。その反面、収縮率が大きく鋳込み 温度が高く、鋳造欠陥が出やすい。そのため、きずの発生を予測し て、垂直探傷や斜角探傷を行う必要がある。,
64,次の文は、図のような正方形の角材の側面のA 面と90 度異なるB 面から超音波探傷したときの探傷結果 について述べたものである。正しいものを一つ選び、記号で答えよ。,A 面から探傷したときとB 面から探傷したときのF/BFが同じであったので、小さな割れのような きずである。,A 面から探傷したときとB 面から探傷したときのF/BFが大きく異なったので、面状の割れが長手方向に 伸びたきずである。,A 面から探傷したときとB 面から探傷したときのF/BGが同じであったので、大きな割れのような きずである。,A 面から探傷したときとB 面から探傷したときのF/BGが大きく異なったので、小さな割れのような きずである。,b,F/B：検出したきずの最大ｴｺｰ高さと、この時の底面ｴｺｰ高さに対する F 比。 F/B：健全部における底面ｴｺｰ高さを表示器上である高さに調整した G 時、この調整感度で検出したきずの最大ｴｺｰ高さと、表示器上で調 整した底面ｴｺｰ高さに対する比。 a) はA 面とB 面からのF/B が同じなので、小さい割れではなく、 F 球面状のきずが推定される。 b) はA 面とB 面からのF/B が大きく異なるので、面状の割れが推 F 定される。 c) はA 面とB 面からのF/B が同じなので、大きな割れではなく球 G 面状のきずが推定される。 d) はA 面とB 面からのF/B が大きく異なるので、小さい割れでは G なく大きな割れが推定される。,ut_2022_04_q64.png
65,次の文は、NDIS2432「角形鋼管柱溶接部の超音波探傷探傷試験方法」について述べたものである。正し いものを一つ選び、記号で答えよ。,角形鋼管柱溶接角部でも、平板突合せ溶接部の探傷条件を適用すればよい。,角形鋼管柱角部の探傷は、曲率があっても超音波の伝達損失が大きいので接触媒質は粘性の高いものを なるべく厚く塗って探傷する。,角形鋼管柱角部は曲率があるので、専用のシューを取り付けて探傷しなければならない。,きずときずの間隔の求め方は、実測の指示長さによらず別に定められた計算式で行う。,d,a)角形鋼管柱溶接角部は平板溶接部と違い、探傷表面が曲率をもつ 為、平板溶接部と同じ探傷方法を適用できない。 b)接触媒質の塗布は、全体に薄く均一に塗布する。 c) 探触子の接触面の曲面加工は行わない。 d)正しい。,
66,次の文は、超音波探触子の振動子に用いられる圧電素子の特徴及び用途について述べたものである。 正しいものを一つ選び、記号で答えよ。,水晶は、温度変化が少なく変換効率も高いので斜角探触子に使用される。,ジルコンチタン酸鉛は、変換効率が高いので高感度の探触子として使用される。,硫酸リチウムは、機械的なダンピングが掛けにくいので低い周波数の探触子として使用される。,ニオブ酸リチウムは、低い周波数の探触子や広帯域探触子に使用される。,b,水晶は最も古くから垂直探触子の圧電材として使用されるが、経年 変化が少なく、安定して使用できる。ただし、変換効率（電気信号⇔ 超音波）が低く、機械的ﾀﾞﾝﾋﾟﾝｸﾞが掛けにくい。 ｼﾞﾙｺﾝﾁﾀﾝ酸鉛は変換効率が最もよく、ｺﾝﾎﾟｼﾞｯﾄ型にすることで高感 度で良好な分解能の探触子が製作できるので、高感度が要求される 探触子に使用される。 硫酸ﾘﾁｳﾑは音響ｲﾝﾋﾟｰﾀﾞﾝｽが低いので水浸探触子に有利であるが、水 に溶ける。また機械的ﾀﾞﾝﾋﾟﾝｸﾞを掛けやすい。広帯域探触子に使用さ れるが、機械的耐久性は最も脆弱である。 ﾆｵﾌﾞ酸ﾘﾁｳﾑはｷｭﾘｰ点が 1200℃と高く、高い温度まで圧電材を維持で きるので高温用探触子に使用される。ただし、分解能はよくない。,
67,次の文は、斜角探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,斜角探触子の接触面が磨耗すると、屈折角が変化することがある。,探触子のダンパは、周波数を安定させるために付けている。,斜角探触子の吸音材は、探傷感度を高めるために付けている。,斜角探触子のくさびの音速は、温度が変化しても変わらない。,a,a)斜角探触子の接触面が不均一な摩耗をすると、屈折角は変化する。 b)ﾀﾞﾝﾊﾟは振動子の不要な振動を抑制し、振動子を保持する。 c)吸音材は振動子から発生した超音波ﾋﾞｰﾑがくさび内で反射し、振 動子に再び戻るｴｺｰを吸収する働きがあり、不感帯を改善する。 d)くさびの温度が高くなると音速は遅くなり、鋼中の音速が変わらな ければ鋼材中への屈折角は大きくなる。,
68,次の文は、二振動子垂直探触子の特性について述べたものである。正しいものを一つ選び、記号で答 えよ。,二振動子垂直探触子を用いて、きずをＦ/ＢＦで評価することができる。,厚鋼板の探傷に用いられる二振動子垂直探触子は、鋼板の厚さが６ｍｍから４０ｍｍの間で変化して も、第１回目の底面エコー高さはほとんど変化しない。,二振動子垂直探触子は、その特性から試験体の表面近くのきずの検出が可能である。,二振動子垂直探触子は、ＳＮ比が高いため、交束範囲に関係なく、板厚が薄くても厚くても探傷が可能 である。,c,二振動子探触子は、送信、受信専用の2 枚の振動子を設けた形式の探 触子で、送受信振動子には若干の角度がつけられており、表面直下の きず検出や、厚さ測定用として使用される。交軸点近傍の検出能力が 高くなることにより特定の部位のＳＮ比を良くして探傷したい場合 などに用いられる。,
69,次の文は、広帯域探触子について述べたものである。正しいものを一つ選び、記号で答えよ。,広帯域探触子は、パルス幅が広く、不感帯が大きいため垂直探触子には使用できない。,広帯域探触子は、ダンピングが大きく、パルス幅が狭いという特徴を持っている。,広帯域探触子は、減衰の多い材料には使用できない。,広帯域探触子のことをクリーピング波探触子ともいう。,b,広帯域探触子は、振動の波数が1～2 波の超音波ﾊﾟﾙｽを送受信する 探触子で、ﾊﾟﾙｽ幅が狭く距離分解能が高いことから、高分解能探触子 ともいう。広帯域探触子に対して、5～8 波振動の一般的な探触子を、 狭帯域探触子と呼ぶ。広帯域探触子は林状ｴｺｰが現われる減衰の多い 粗粒材に適用すると、林状ｴｺｰのﾚﾍﾞﾙを抑えてSN 比を向上させる。 一方、周波数成分が幅広いので、DGS 手法でのきずｴｺｰの評価には適 用できない。,
70,次の文は、アルミニウム用斜角探触子について述べたものである。 に適する数値を解答群から選 び、記号で答えよ。ただし、答えは小数点以下第2 位を四捨五入せよ。 アルミニウム用の公称屈折角70 度の斜角探触子を、垂直探触子とアクリル樹脂のくさびを用いて作 りたい。このとき、くさびの角度は［1］度とした。ただし、アルミニウムの縦波音速は 6260m/s、横波音速は3080m/s、アクリル樹脂の縦波音速2730m/s、横波音速1430m/s とした。,12.4,24.2,25.4,56.4,d,ｱﾙﾐﾆｳﾑ中を70 度の横波で屈折するときのｱｸﾘﾙ中の縦波入射角は、 ｽﾈﾙの法則より sin－１α＝(sin70°×2730/3080)＝0.8329→ α＝56.398°＝56.4° ﾃｷｽﾄⅡＰ12 の図 2.14 を参照するとｱｸﾘﾙ入射角αとくさびの角度は 等しい。よって、くさび角度は56.4 度となる。,
