id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
44,管に加工したドリル穴に対して渦電流探傷試験を適用したとき，図のような信号波形が得られるプロ ーブはどれか。次の中から正しいものを一つ選び，記号で答えなさい。,相互誘導形単一方式,相互誘導形差動方式,自己誘導形標準比較方式,相互誘導形標準比悛方式,,b,71P 5.4.2 図5.4.3(b)，及び143P 8.1.1(3)1) 図5.4.3(b)のとおり，b）が正しい。 注＞相互誘導形，自己誘導形は「励磁と検出方法による分類」。 単一方式，差動方式，標準比較方式は「使用方法による分類」で，単一方式，標準比較方式は絶対値指 示，差動方式は差動指示である。,et_2022_10_q44.png
45,次の文は管の渦電流探傷試験について述べたものである。正しいものを選べ。,貫通プローブの適用による試験は，回転プローブを用いる場合に比べて低速度である。,貫通プローブを用いると，円周方向の割れが高感度に検出できる。,回転プローブを用いると，貫通プローブの場合に比べてより小さなきずが検出できる。,回転プローブを用いると，軸方向に長いきずの検出が困難となる。,,c,"94P 6.4.1，107P 7.1.3，144P 8.1.1(3)2)。 回転プローブは上置コイルを用いるため，有効範囲が狭く試験体全面探傷には低速度だが,貫通コイル より微細なきずの検出が可能である。c）が正しい。 d）回転プローブを使用する目的の一つは，貫通プローブが検出しにくい軸方向に長いきずを検出するこ と。",
46,次の文は，管外表面からの回転プローブによる渦電流探傷試験について述べたものである。,貫通ブロープに比べて、高速度で探傷できる。,貰通ブローブに比べて、より小さなきずが検出できる。,貫通プローブに比べて、軸方向に長いきずの検出が困難である。,貫通ブロープに比べて、管内面のきずの検出感度が高い。,,b,72P 5.5.2 及び144P 8.1.1(3)2） 回転プローブの特徴は，貫通プローブより低速，より小さなきずに対応，差動方式貫通プローブでは検 出し難い軸方向の長いきず検出が目的の一つ，管内面側の検出感度は低い。ｂ）が正しい。,
47,貫通プローブによる渦電流探傷試験に適している試験体は，次のうちどれか。,タービンブレード,クランクシャフト,ピアノ線（鋼）,アルミニウム薄板,,c,68P 5.3 貫通プローブで試験できるのは，(c)のような断面形状が一定で長さがあるもの。 注＞5.3 項の解説のとおり，試験体の断面形状は円形とは限らない。,
48,渦電流探傷試験において，上置プローブの適用が一般的とされるのは，次のうちのどの場合か。 正しいものを一つ選び，記号で答えなさい。,熱交換器用伝熱管の保守検査,線材の熱間渦電流探傷,航空機におけるエンジンのファン・ブレードの探傷試験,鋼管の製造ラインにおける高速度検査,,c,（新問題集に解説あり） 68P 5.3，144P 8.1.1(3)2)，159P 8.3，169P 8.4.1，187P 9.1 表9.1.1 (a）は内挿プローブ。 (b）は貫通プローブ。 (c）適用できる。○ (d）は貫通プローブ。,
49,次の文は、差動方式の試験プローブの特徴について述べたものである。正しいものを一つ選べ。,試験体の材質や寸法の変化を検出するのに適している。,環境における温度変化の影響を受けやすい。,走査方向に長いきずの検出に適している。,試験体の材質や形状などの緩やかな変化による影響を抑圧できる。,,d,71P 5.4.2，149P 8.1.2(2) 表8.1.4 (d）が正しい。○ (a）は緩やかな変化と考えられるので☓。 補＞差動方式（自己比較方式）はリフトオフ，温度変化の他，緩やかな変化を抑制できる。走査方向に 長いきずは，きずの下では2 つのコイルの信号が相殺（差動）されるので検出し難い。,
50,次の文は自己比較方式の貫通コイルについて述べたものである。正しいものを選べ。,管や棒状の試験体の軸方向に長いきずの検出が困難である。,周囲の温度変化の影響を受けやすい。,搬送振動を抑圧するには適していない。,試験体の材質判別に適した試験プローブある。,,a,71P 5.4.2 143P 8.1.1(3)1) 自己比較方式（差動方式）の特徴は局部きずなどの検出性がよい。また，リフトオフ，温度変化，緩や かな変化などを抑制できるが，走査方向に長いきずや材質，寸法などの緩やかな変化は検出しにくい。 注＞但し，軸方向に長いきずは，条件が良ければきずの始終端が片振れ信号で見ることができるので， 見逃せない信号となる。 自己比較方式＝差動方式,
51,差動方式の貫通プローブを用いて管の渦電流探傷試験を行った。最も検出しやすいきずはどれか。,軸方向の短い割れ,管外表面の緩やかな凹み,一様な深さの軸方向に長いきず,厚肉管の介在物,,a,（新問題集に解説あり） 71P 5.4.2，及び143P 8.1.1(3)1) 143P に「貫通プローブは差動方式を用いるため，軸方向に長く伸びた傷の検出は困難であり，軸方向に 短い割れ，ヘゲ，ロールマークなどの独立きずが検出対象となる」とある。(a）が正しい。 注＞(d）の介在物は圧延の過程で管軸方向に長く伸びている可能性がある。,
52,差動方式の貫通プローブを用いて管の渦電流探傷試験を行った。最も検出しやすいきずはどれか。,軸方向の長い表面割れ,軸方向の短い表面割れ,円周方向の短い表面割れ,円周方向の長い表面の割れ,,b,71P 5.4.2，及び143P 8.1.1(3)1) 143P に「貫通プローブは差動方式を用いるため，軸方向に長く伸びた傷の検出は困難であり，軸方向に 短い割れ，ヘゲ，ロールマークなどの独立きずが検出対象となる」とある。b）が正しい。 注＞円周方向の割れは，渦電流の流れを変化させる程度が小さく検出しにくい。,
53,図6.1 は渦電流探傷器の基本的な回路構成を示したものである。図の①に当てはまる回路は次のうち のいずれか。正しいものをーつ選び，記号で答えなさい。,発振器,同期検波器,移相器,増幅器,,d,79P 6.1.1 図6.1.1， 旧テキスト 56P 図6.1 図6.1.1 は2 元（X，Y）出力の探傷器，旧テキストの図6.1 は1 元出力の探傷装置の構成となる。 d）が正しい。 注＞最近示される構成図では，図6.1.1 のように発振器とブリッジの間に電力増幅器があることが多い。 2 元出力では，90°位相が異なる2 系統の移相器とそれぞれに繋がる2 系統の同期検波器以降の回路が示 される。 また，同期検波器の入り口までは信号は交流(試験コイルのインピーダンス変化で変調された搬送波)であ り，同期検波器の出口から以降はきずなどで変化する直流として扱う。,et_2022_10_q53.png
54,図は渦流探傷器の基本的な回路構成を示したものである。図の（１）に当てはまる回路は次のうちのい ずれか。正しいものを選べ。,発振器,同期検波器,ブリッジ,移相器,増幅器,e,79P 図6.1.1 (e)の増幅器が正しい。 設問図において，(2)は同期検波器，(3)は発振器，(4)は移相器。また平衡回路＝ブリッジである。 設問の図は，移相器が一つなのでいわゆる1 元出力(１ペン)方式。 図6.1.1 は2 元出力方式（複素表示形，XY 表示形）で2 系統の位相差90°の移相器と同期検波器があ る。,et_2022_10_q54.png
55,渦電流探傷器において，試験周波数を決める回路はどれか。次のうちから正しいものをつ選び，記号 で答えなさい。,発振器,同期検波器,移利器,ブリッジ,,a,80P 6.1.2 (a)が正しい。,
56,きず信号と雑音との位相の差異を利用して、探傷器のSN 比向上のために用いられている回路はどれか。 次のうちから正しいものを選べ。,ブリッジ,同期検波器,リジェクション,フィルタ,,b,P84 6.1.6 図6.1.9 SN 比は，（信号の大きさ（S）／雑音の大きさ（N））で表され，雑音の大きさN が零に近いほどSN 比は良 いことになる。 図6.1.9 は同期検波器の原理（考え方）を示している。図においてOT は制御信号である。制御信号は出 力軸であり，OT に投影される信号が出力される。従ってOT の位相（角度）に対し，雑音との位相差が90° であれば雑音OB のOT 上の投影出力は零となり最良のSN 比となる。また，大きさa のきず信号OA はa× cosθの大きさでOT 上に投影出力されることになる。b）が正しい。,
57,渦流探傷器におけるブリッジの働きは何か。次のうちから正しいものを選べ。,SN 比を向上させる。,信号の変化分を取り出す。,雑音を除去し，正弦波の信号を得る。,信号の位相を調整する。,,b,81P 6.1.4 b）が正しい。 補＞(a) SN 比の向上 ⇒同期検波回路，リジェクション，フィルタ (b) 〇 (c) 雑音の除去 ⇒同期検波器，リジェクション，フィルタ (d) 位相の調整 ⇒移相器,
58,渦電流探傷試験において、ブリッジの平衡をとるのはなぜか。次のうちから正しいものを選べ。,試験コイルに過大な電流が流れないようにするためである。,フィルタを効果的に動作させるためである。,探傷器出力における雑音を最小にするためである。,きずによる信号の変化分のみを取り出すためである。,,d,（解答欄に解説あり） 82P 6.1.5，旧ETⅡテキスト57P 6.1.3 例えば探傷試験のとき，ブリッジ平衡は試験片の健全部にコイルを置いてとるが，何らかの原因で平衡が 取れていないと，探傷装置の感度を上げていくにつれて，健全部の信号であってもディスプレイの輝点や 記録計の指示が原点（ゼロレベル）から大きくずれていくことを経験する。この現象はきず以外の定常的 な電圧成分（搬送波）がブリッジ出力に残存し，これがブリッジの次段の増幅器により増幅され，増幅器 の増幅限界（増幅直線性が保証できない状態）に近づいていることを意味する。極端な場合は定常的な電 圧成分（搬送波）に含まれる対比試験片の基準きず信号や探傷試験時のきず信号の一部または全部が増幅 器の増幅限界から外れてしまい，探傷装置の感度を上げても，上げた感度に比例したきず信号が出ない状 態となり，きず検出力が低下する。従って，増幅器を正常に働かせるためにブリッジ平衡をとることは重 要である。 (d)が正解。 注＞(a)の試験コイルには，発振器から一定電流(または電圧)しか供給されないので過大な電流は流れ ない。,
59,図のブリッジ回路において，平衡条件は下記のいずれの式で表されるか。正しいものを一つ選べ。,Z1・Z3＝Z2・Z4,Z1・Z2＝Z3・Z4,Z1/Z2＝Z3/Z4,Z1/Z2＝Z4/Z3,,c,81P 6.1.4 式6.1 および図6.1.3 図6.1.3 の対角線の素子を掛け算する。Z1×Z4＝Z2×Z3 → 変形して Z1/Z2＝Z3/Z4,et_2022_10_q59.png
60,渦電流探傷試験において、同期検波器による信号処理は次のどの場合に効果的か。正しいものを選べ。,端末指示の消去,上置コイルにおけるリフトオフ雑音の除去,表皮効果による影響の軽減,速度効果による影響の軽減,,b,84P 6.1.6 図6.1.9，87P 6.1.8，137P 7.4.4(4) 図7.4.4 7.4.4 項(4)の解説のとおり，同期検波器でS/N をよくするためにはきずと雑音に位相差があることが必 要である。図7.4.4 の信号出力がY（垂直方向）のとき，リフトオフ信号を水平にすると，リフトオフ 雑音は出力されないので，S/N が良好となる。b）が正しい。 a）端末指示は位相が一定ではないので，同期検波器によるS/N の向上は望めない。c）の「表皮効果の 影響」は雑音ではない。d）の速度効果は他の雑音と位相が異なる（レベル3 テキスト111P 図7.16 参 照）ことがあり，また探傷速度によってその程度が異なるため，自動平衡回路を用いたりする。 補＞同期検波器でS/N 向上の効果がある雑音は他に，貫通プローブや内挿プローブにおけるガタ雑音（搬 送振動による雑音）があげられる。,
61,渦電流探傷試験において，フィルタの遮断周波数を調整し直さなければならないのはどれか。,同期検波の位相,リジェクションのレベル,探傷速度,試験周波数,,c,88P 6.1.9，115P 7.2.4(2)4) (c)が正しい。これは，探傷速度を変えるときずなどの信号の周波数成分が変わるため。,
62,渦電流探傷試験において，フィルタの設定周波数を変えなければならないのは次のいずれの場合か。,試験周波数を変えたとき,探傷速度を変えたとき,位相または感度を変えたとき,ブリッジバランスを変えたとき,,b,88P 6.1.9，115P 7.2.4(2)4) b）が正しい。これは，探傷速度を変えるときずなどの信号の周波数成分が変わるため。,
63,内挿プローブを用いた渦電流探傷試験においてフィルタの設定値を変えなければならないものはどれ か。,感度の変更,試験周波数の変更,探傷速度の変更,位相の変更,,c,88P 6.1.9，115P 7.2.4(2)4) ｃ）が正しい。これは，探傷速度を変えるときずなどの信号の周波数成分が変わるため。,
64,渦電流探傷器のフィルタの設定条件を変えなければならないのはどのような場合か。,渦電流探傷器の位相設定を変更した。,探傷速度を4ｍ/ｓから2ｍ/ｓに変更した。,試験周波数を4kHz から8kHz に変更した。,リジェクションレベルを変更した。,,b,88P 6.1.9，115P 7.2.4(2)4) ｂ）が正しい。これは，探傷速度を変えるときずなどの信号の周波数成分が変わるため。,
65,渦電流探傷器において、探傷速度に応じて調整しなければならないものは何か。,ブリッジバランス,探傷感度,リジェクションレベル,フィルタの遮断周波数,,d,66P 4.5.7，88P 6.1.9，91P 6.2.1，115P 7.2.4(1)1) 図7.2.7，旧テキスト48P 4.5.7 探傷速度を変えると，きず信号が振れる時間（周波数成分）が変化するので，フィルタの周波数も調整 する必要がある。d）が正しい。 補＞探傷速度に関連しては，試験周波数（低試験周波数における同期検波器の整流効率；115P 図7.2.7）， 速度効果（速度によるインピーダンス変化）フィルタの周波数特性や記録計の応答速度などを考慮する。,
66,渦電流探傷器において，試験体の形状の緩やかな変化による影響を小さくするために利用されるもの は何か。次のうちから正しいものを選べ。,ハイパスフィルタ,ローパスフィルタ,バンドパスフィルタ,高域フィルタ,,b,88P 図6.1.16 ｂ）が正しい。LPF を示す。,et_2022_10_q66.png
67,図のようなフィルタ回路の周波数特性は次のどれか。,図の（a）,図の（b）,図の（c）,図の（d）,,a,88P 図6.1.16 ａ）が正しい。LPF を示す。,et_2022_10_q67.png
68,渦電流探傷装置の調整について述べたものである。正しいものを一つ選べ。,電源を投入後、直ちに行う。,試験開始の前に対比試験片を用いて探傷試験装置の調整を行う。,前日記録しておいた設定値を使い、改めて行わなくてよい。,感度調整は対比試験片を用いないで行うことも可能である。,,b,110P 7.2.3(2)，112P 7.2.4，127P 7.3.3(2) (b)が正しい。 注＞(a)は予備運転が必要。（112P 7.2.4 より）,
69,貫通プローブ用いた渦電流探傷試験における心出し調整の目的について述べたものである。,内外面きずの位相を一定にするため。,移相器の安定性を確保するため。,試験体表面の円周方向のきず位置による感度のバラツキを無くすため。,ブリッジのバランスを安定に保つため。,,c,65P 4.5.6 図4.5.3，76P 5.6.5，91P 6.2.2，116P 7.2.4(2)6）図7.2.11 コイルに対して試験体が偏心していると，同じきずでも試験体の円周方向位置によって信号の大きさが 変わってしまうので，これを避けるために心出し調整をする。ｃ）が正しい。,
70,鋼管の貫通プローブを用いる渦電流探傷試験における心出し調整の目的について述べたものである。 正しいものを選べ。＊図は省略した,対比試験片の人工きずが、試験体断面内の上下左右の位置で、同等に検出されるよう心出しする。,対比試験片の人工きずが、試験体断面内の左右の位置で、同等に検出されるよう心出しする。,対比試験片の人工きずが、試験体断面内の上下の位置で、同等に検出されるよう心出しする。,対比試験片の人工きずが、試験体断面内の任意の位置で、同等に検出されるよう心出しする。,,a,65P 4.5.6 図4.5.3，76P 5.6.5，91P 6.2.2，116P 7.2.4(2)6）図7.2.11 コイルに対して試験体が偏心していると，同じきずでも試験体の円周方向位置によって信号の大きさが変 わってしまうので，これを避けるために心出し調整をする。,
71,渦電流探傷器において，振幅の小さな雑音を除去するために用いられるものは何か。,同期検波器,リジェクション,ブリッジ,自動バランス,,b,89P 6.1.10 リジェクションは振幅解析であり，b）が正しい。,
72,貫通コイルを用いた渦電流探傷試験における雑音について述べたものである。正しいものを選べ。,外来雑音は，一般に試験体の全長にわたり現れる。,数多くの試験体においてほぼ同じ位置に発生する雑音は，送り装置の調整不良が原因である。,試験体の形状や寸法の変化による雑音は再試験によって再現しない。,試験周波数か適切でないときには，単発的なパルス状の雑音が発生する。,,b,118P 7.2.6(1) 表7.2.2 (a)外来雑音は単発的なパルス状。☓ (b)〇 (c)試験体の形状寸法変化は再現性があり，目視などで確認する。☓ (d)試験周波数が不適切な時は雑音が発生するとは限らない。定期的に探傷条件を確認し，試験周波数 が不適切な状態で試験した分があれば正しい条件で再試験する。☓,
73,鋼管製造時の渦電流探傷試験で発生する疑似指示について述べたものである。正しいものを選べ。,全面的に大きなノコギリ歯状の大きな雑音が検出された場合、磁化電流を少し下げて再試験を行う。,送り装置の調整不良による雑音は、同じ位置に発生することが多いので、送り装置を調整し再試験 を行う。,打痕やロールマークは形状が大きくても信号は小さいので、あまり問題にならない。,外来電気ノイズは周期的に発生し、再現性も良いので確認が容易である。,,b,118P 7.2.6(1) 表7.2.2 (a)外来雑音と磁化電流値は関連性がない。☓ (b)〇 (c)信号が小さいとは断定できない。☓ (d)周期的とは限らない。☓,
74,渦電流探傷試験における疑似指示または雑音について述べたものである。正しいものを一つ選べ。,試験体の寸法変化および材質不均一による指示は、試験を繰返すと再現しないから判別できる。,送り装置の調整不良による雑音は、試験を繰返し行ってもノイズがほぼ同じ位置に発生することが ないので判別できる。,外来雑音の場合には、再試験によって指示がほぼ同じ位置に発生するので判別できる。,位相調整の不良は、調整つまみを再調整した後の再試験によって雑音が小さくなることから判別で きる。,,d,（新問題集に解説あり） 117P 7.2.6(2) 表7.2.2 (a) 再現性がある。☓ (b) 再現性がある。☓ (c) 再試験で再現性がないことで判別する。☓ (d) 雑音が小さくなる。〇,
75,小径鋼管の渦電流探傷試験において，探傷器の同期検波によって抑圧できる雑音について述べたもの である。正しいものを一つ選び，記号で答えなさい。,送り装置によるガタ雑音,管の肉厚変化,試験体の端末部で発生する雑音,外来の雑音,,a,84P 6.1.6，115P 7.2.4(2)3)，144P 8.1.1 表8.1.3 同期検波器で抑制できる雑音は，雑音の位相がほぼ一定で，きず信号と雑音に位相差があることが必要 であり，(a)が正しい。(b)(c)は雑音の位相がほぼ一定とは言えない。(d)は再現性がない。 補＞雑音の位相がほぼ一定で，きず信号と雑音に位相差があるためには，適正な試験周波数の選択が重 要となる。,
76,貫通プローブを用いた渦電流探傷試験による管の試験中に雑音が大きくなった。その原因として最も 可能性があるものはどれか。正しいものを一つ選び，記号で答えなさい。,発振器の出力低下,位相調整のずれ,試験プローブの巻線の断線,ブリッジの不平衡,,b,84P 6.1.6，115P 7.2.4(2)3)，144P 8.1.1 表8.1.3 (b )が正しい。(a)は、雑音も同時に小さくなる。(c)はブリッジバランスが大きく崩れたまま。 (d)は雑音にはならない。,
77,鋼管の渦電流探傷試験における疑似指示の確認方法について述べたものである。正しいもの選べ。,直流磁気飽和コイルの電流を小さくして再試験する。,位相と感度を変えて再試験する。,試験体を回転して再試験する。,同じ条件で再試験する。,,d,118P 7.2.6(2) 表7.2.2 疑似指示の確認方法なので，表7.2.2 に従う。 また，7.2.6(2)項では，再試験を行うのは，1)指示がきずかどうか疑わしいとき，2)定期的な探傷条件 の確認の際異常が発見されたとき，となっている。特に1)ではきず信号または雑音が再現性があるかど うかを確認する。そのためには，(d)同じ条件で再試験する。が正しい。,
78,鋼管の渦電流探傷試験におけるきずの確認方法について述べたものである。正しいものを一つ選べ。,試験周波数を変えて再試験を行う。,試験速度を変えて再試験を行う。,前に設定した同じ探傷条件で再試験を行う。,位相を変えて再試験を行う。,,c,117P 7.2.5，118P 7.2.6(2) 表7.2.2 7.2.5 項参照。一般に再現性を見るため，同一試験条件で再試験を行う。必要によって，探傷条件を変 えて再試験する。鋼管の渦電流試験後のきず指示の確認方法なので，表7.2.2 に従う。 また，7.2.5 項では，確認方法として，再試験と，目視，磁粉探傷，などの他の試験方法を用いるとして いる。(c)が正しい。,
79,渦電流探傷試験における疑似指示または雑音のうち、同一条件で再試験しても再現されるとは限らな いものはどれか。次のうちから正しいものを選べ。,送り装置の調整不良,試験体に生じた打ちきず,試験体に生じたロールマーク,外来雑音,,d,118P 7.2.6(1) 表7.2.2 表7.2.2 のとおり，(d)が正しい。,
80,貫通プローブを用いる渦電流探傷試験における疑似指示について述べたものである。正しいものを選 べ。,打こんやロールマークは形状が小さければ指示は小さい。,外来電気ノイズは、再現性がない。,送り装置の心合わせ不良に起因するノイズは、試験体の同じ位置に発生することはない。,磁気飽和不足に起因するノイズは、磁気飽和装置の磁化電流値の強さを変えても確認できない。,,b,118P 7.2.6(1) 表7.2.2 表7.2.2 のとおり，(b)が正しい。,
81,渦電流探傷試験における疑似指示について述べたものである。正しいものを一つ選びなさい。,磁気飽和不足による雑音は，一般にきず信号と同様に単発的なパルスとして発生するので，きず信 号と識別することが困難である。,試験体の材質不均一による指示は，再試験を行うことによりきず信号と識別できる。,送り装置の調整不良に起因する雑音は，再試験において異なる位置に発生するので，きず信号と識 別できる。,外来雑音は，一般に試験を繰り返す毎に異なるので，再試験によりきず信号と識別できる。,,d,118P 7.2.6(1) 表7.2.2 (a)は全面的な大きな雑音。☓ (b)はきず信号と識別しにくい。☓ (c)送り装置の不良は，再現性がある。☓ (d)正しい。〇,
82,鋼管の渦電流探傷試験において雑音が大きくなった原因について述べた。正しいものを一つ選べ。,磁気飽和電流の減少,発振器の出力低下,ブリッジの不平衡,増幅器の出力低下,,a,92P 6.2.4 (a)正しい。〇,
83,強磁性材料の渦電流探傷に際して，磁気飽和を行う理由について述べたものである。,表皮深さを浅くするため,磁性（磁気）ノイズ（磁気特性の不均一による雑音）を抑圧するため,きず信号の位相をそろえるため,渦電流を試験体表面近傍に集中させるため,,b,46P 3.3.4，92P 6.2.4 磁気ノイズ：交流磁界の作用によって生じる強磁性体の増分透磁率の微小変化が，コイル出力に 影響を及ぼすノイズ。この影響は強磁性体を磁気飽和することにより除去される。（b）が正解。,
84,鋼管の渦電流探傷試験に使用される磁気飽和装置について述べた。正しいものを選びなさい。,強磁性体の試験体の残留磁気を取り除くためのもので、直流電流を反転しながら小さくする。,強磁性体の試験体に強い直流磁界を与えて磁気特性を均一にし、磁気ノイズを取り除くためのもの。,直流で励磁するものと交流で励磁するものがあり、交流で励磁するものの方が効果が高い。,交流で励磁する装置は表皮効果の影響により表面近傍しか磁気飽和ができないため、貫通コイルを 使用した渦電流探傷装置しか適用できない。,,b,92P 6.2.4 (ｂ)正しい。〇,
85,貫通プローブを用いる渦電流探傷試験における磁気飽和装置の磁化電流値は、試験体の磁束密度が 何％になるように調整するか、正しいものを一つ選びなさい。,60％以上,70％以上,80％以上,90％以上,,c,92P 6.2.4 (ｃ)正しい。〇,
86,鋼管の渦電流探傷試験に使用される磁気飽和装置について述べた。正しいものを選びなさい。,試験体の磁束密度が飽和磁束密度となる磁化電流が必要である。,試験体の磁束密度が飽和磁束密度となる磁化電流以上が良い。,試験体の磁束密度が飽和磁束密度の約80％以上を得られる磁化電流が良い。,試験体の磁束密度が飽和磁束密度の約50％以上を得られる磁化電流が良い。,,c,92P 6.2.4 (ｃ)正しい。〇,
87,次の文は、残留磁気と脱磁について述べたものである。正しいものを一つ選べ。,脱磁には一般に直流脱磁を行うが、交流脱磁と併用すると効果は下がる。,磁気飽和を併用した鋼管の探傷では、必ず脱磁を行わなければならない。,一般に交流脱磁では商用電源を用いるが、大きな試験体ではこのような低周波でも深部まで脱磁が できない。,次の工程あるいは製品において残留磁気が悪影響を及ぼす恐れがないときなどに脱磁を行う。,,c,"44P 3.3.3(3)， 45P 3.3.4, 92P 2.5 脱磁は，通常は交流磁界を用いるので、表皮効果の影響により深部まで脱磁ができない。",
88,次の文は，貫通プローブを用いた渦電流試験による厚肉の鋼管の探傷における脱磁について述べたも のである。正しいものを一つ選び，記号で答えなさい。,交流脱磁の場合は，表皮効果により試験体の内部まで脱磁が可能である。,交流脱磁の場合は，表皮効果により試験体の全断面を均一に脱磁が可能である。,直流脱磁の場合は，表皮効果により試験体の表面の脱磁が困難である。,表面から内部まで脱磁するには交流脱磁と直流脱磁の組み合わせが有効である。,,d,44P 3.3.3(3)， 45P 3.3.4 厚肉鋼管の渦電流探傷試験後に交流脱磁を行なう場合，交流磁束の表皮効果により鋼管内部に残留磁気 が残るため，一般に直流による転極脱磁後に交流脱磁を併用して行なわれる。正答は(d)となる,
89,厚肉鋼管の渦電流探傷試験後に適用すべき脱磁方法を示したものである。正しいのはどれか。,交流脱磁,一方向の電流による直流脱磁,直流脱磁と交流脱磁の併用,応力除去焼鈍,,c,44P 3.3.3(3)， 45P 3.3.4 厚肉鋼管の渦電流探傷試験後に交流脱磁を行なう場合，交流磁束の表皮効果により鋼管内部に残留磁気 が残るため，(a)は不正解である。直流を用いて脱磁を行う場合，試験体の残留磁気の大きさや地磁気な どの影響を受け易く，場合により残留磁気が強く残り，(b)は不正解である。厚肉鋼管の脱磁には，一般 に直流による転極脱磁後に交流脱磁を併用して行なわれる。したがって，正答は(c)となる 補＞(d)ひずみ取り焼鈍は比較的低温なので，キュリー温度には届かないようである。,
90,渦電流探傷試験における試験周波数の設定に際して、最も考慮すべきものは何か。次のうちから正し いものを選べ。,端末効果,速度効果,試験体の導電率,記録計の応答速度,,c,53P 4.2.2 4.8 式，63P 4.5.2，113P 7.2.4(2)1)，128P 7.3.4(1)1)①，135P 7.4.4(3)， 154P 8.2.1(4) 63P 4.5.2 の記述のとおり，通常，渦電流試験は，表皮深さの条件が重視される。表皮深さに最も関係 するのは導電率である。 補＞その上で，丸棒の特性周波数 fc = 1 (2𝜋𝜎𝜇𝑏2) ⁄ や薄肉管用特性周波数 𝑓𝑐(𝑡𝑢𝑏𝑒) = 2 𝜋𝜇𝜎𝑡(𝑏−2𝑡) ⁄ の式を使ったf/fc の値を決めることにより，試験体の寸法や導電率などが異なる試験体でも同じf/fc 値を適用すれば，同じ条件で試験ができる。,
91,連続して行う渦電流探傷試験において、形状及び寸法が同じで、導電率が低い試験体を探傷すること になった。渦電流分布が同じ状態で探傷するための措置として、正しいものを次の中から一つ選べ。,試験プローブの充填率を高くする。,試験プローブの充填率を低くする。,試験周波数を高くする。,試験周波数を低くする。,,c,"53P 4.2.2 4.8 式，63P 4.5.2，113P 7.2.4(2)1)，128P 7.3.4(1)1)①，135P 7.4.4(3)， 154P 8.2.1(4) 63P 4.5.3 の記述のとおり，銅のような導電率の高い試験体は，低い周波数でも表皮深さは浅くなり, 逆にチタンのように導電率の低い金属の場合は,周波数を高くしないと渦電流を集中させられない。 補＞その上で，丸棒の特性周波数 fc = 1 (2𝜋𝜎𝜇𝑏2) ⁄ や薄肉管用特性周波数 𝑓𝑐(𝑡𝑢𝑏𝑒) = 2 𝜋𝜇𝜎𝑡(𝑏−2𝑡) ⁄ の式を使ったf/fc の値を決めることにより，試験体の寸法や導電率などが異なる試験体でも同じf/fc 値を適用すれば，同じ条件で試験ができる。",
92,次の文は，貫通プローブを用いた非磁性体の渦電流探傷試験における試験周波数の選定について述べ たものである。正しいものを選べ。,適正な試験周波数で探傷していた場合，試験体の寸法が同じで導電率が大きくなるのであれば，よ り低い試験周波数に設定する。,適正な試験周波数で探傷していた場合，導電率及び外径が等しい試験体であれば，管厚が薄くなる ほど低い試験周波数とする。,外面の浅いきずを探傷することになったが、試験周波数は変更する必要がない。,フィルタの設定周波数に比例して，高い試験周波数とする。,,a,（新問題集に解説あり） 53P 4.2.2 4.8 式，63P 4.5.2，113P 7.2.4(2)1)，128P 7.3.4(1)1)①，135P 7.4.4(3)， 154P 8.2.1(4) (a)表皮深さδ = 1 √𝜋𝑓𝜇𝜎 ⁄ や𝑓𝑓𝑐 ⁄ = 2𝑏2𝜋𝑓𝜇𝜎 より，同じ条件で試験するためには，導電率が大きい 試験体は試験周波数を低くする。よって〇。 (b)薄肉管用特性周波数 𝑓𝑐(𝑡𝑢𝑏𝑒) = 2 𝜋𝜇𝜎𝑡(𝑏−2𝑡) ⁄ より，𝑓𝑓𝑐(𝑡𝑢𝑏𝑒) ⁄ ＝𝑓𝜋𝜇𝜎𝑡(𝑏−2𝑡) 2 ⁄ であり，管 厚が薄いと𝑓𝑐(𝑡𝑢𝑏𝑒)の値は大きくなるので同じ条件で試験するためにはf も大きくなる必要があり，☓。 (c)表皮深さδ = 1 √𝜋𝑓𝜇𝜎 ⁄ を大きくするには試験周波数f を小さくする。☓ (d)試験周波数は試験体の渦電流の分布を決める条件であり，フィルタは渦電流の分布を決める条件で はない。☓ 注＞問題集解答欄の解説にもあるように，(a)(b)(c)は表皮深さδ = 1 √𝜋𝑓𝜇𝜎 ⁄ を知っていれば，特性 周波数を理解していなくても解答できる。,
93,貫通コイルによる非磁性管の探傷試験において、管の内外面きずをほぼ同等の感度で検出するための 試験周波数の選定方法について述べたものである。正しいものを一つ選べ。,内面きずの信号が大きくなるように高い周波数を選定する。,外面きずの信号が小さくなるように高い周波数を選定する。,内外面のきず信号大きさが同じになるように、周波数を選定する。,外面きずの信号が最大になるような周波数を選定する。,,c,153P (4) １つの考え方として管の内面と外面のきずをほぼ同等の感度で検出することを目的としている。との記 述ある。,
