id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
44,JIS Z 3104:1995 の撮影配置では、L1≧n・L3（n：像質A では2、像質B では3）を規定し、有効 長さL3 の端部における横割れへの放射線の入射角φ をある値以下になるように定めている。これは 横割れの検出性が低下しないように配慮したものである。ここで、像質A の入射角と像質B の入射 角について、正しい組合せを選べ。,像質A：約10° 像質B：約5.5°,像質A：約12° 像質B：約7.5°,像質A：約14° 像質B：約9.5°,像質A：約16° 像質B：約11.5°,c,－ 参考：JIS Z 3104:1995 解説3 撮影配置,rt_2022_04_q44.png
45,次の文は、管円周継手をJIS Z 3104:1995 に従って撮影する場合の要件について述べたものであ る。正しいものを一つ選べ。,内部線源撮影方法（分割撮影）を適用する場合の試験部の有効長さL3 は、線源・試験体の線 源側表面間距離L1 の1/4 以下とする。,内部線源撮影方法（分割撮影）を適用する場合の試験部の有効長さL3 は、線源・試験体の線 源側表面間距離L1 の1/3 以下とする。,内部フィルム撮影方法を適用する場合の試験部の有効長さL3 は、管の円周長さの1/12 以下と する。,二重壁片面撮影方法を適用する場合の試験部の有効長さL3 は、管の円周長さの1/4 以下とす る。,c,参考：JIS Z 3104:1995 附属書2 4.4 試験部の有効長さ,
46,外径300mm、厚さ21mm の鋼管円周継手に対して、JISZ3104:1995 に規定する内部フィルム撮影 方法を用いて試験する場合の有効長さL3 は次のうちのどれか。正しいものを一つ選べ。なお、L3 は横割れの検出性を考慮して決定する。,79mm 以下,118mm 以下,158mm 以下,236mm 以下,a,内部フィルム撮影方法を適用する場合の試験部の有効長さ L は、管の 3 円周長さの1/12 以下とする。 したがって、L ≦79（300・π／12＝78.5） 3 参考：JIS Z 3104:1995 附属書2 4.4 試験部の有効長さ テキストⅡ②p69、3.2.2 割れに対する照射角度（表3.1）,
47,語句（階調計10 形、算定しないきずの長径0.6mm、像質P0 級）に共通するJIS 規格は次のうち どれか。正しいものを一つ選べ。,JIS Z 3104,JIS Z 3105,JIS Z 3107,JIS G 0581,b,－ 参考：JIS Z 3105:2003 アルミニウム溶接継手の放射線透過試験方法,
48,語句（針金形透過度計04F、算定しないきずの長径0.7mm、きずの種別）に共通するJIS 規格は 次のうちどれか。正しいものを一つ選べ。,JIS Z 3104,JIS Z 3105,JIS Z 3107,JIS G 0581,a,－ 参考：JIS Z 3104:1995 鋼溶接継手の放射線透過試験方法,
49,語句（針金形透過度計04T）と関連深いJIS 規格は次のうちどれか。正しいものを一つ選べ。,JIS Z 3104,JIS Z 3105,JIS Z 3107,JIS G 0581,c,－ 参考：JIS Z 3107:1993 チタン溶接部の放射線透過試験方法,
50,語句（試験視野直径70mm、呼称厚さ、ノモグラフ）に共通するJIS 規格は次のうちどれか。正 しいものを一つ選べ。,JIS Z 3104,JIS Z 3105,JIS Z 3107,JIS G 0581,d,－ 参考：JIS G 0581:1999 鋳鋼品の放射線透過試験方法,
51,語句（帯形透過度計）と関連が深いJIS 規格は次のうちどれか。正しいものを一つ選べ。,JIS Z 3861,JIS G 0581,JIS H 0522,JIS Z 2306,d,－ 参考：JIS Z 2306:2015 放射線透過試験用透過度計,
52,語句（B 種、F 種、T 種）と関連が深いJIS 規格は次のうちどれか。正しいものを一つ選べ。,JIS Z 2306,JIS Z 3104,JIS Z 3861,JIS H 0522,c,－ 参考：JIS Z 3861:1979 溶接部の放射線透過試験の技術検定における試 験方法及び判定基準,
53,語句（ガスポロシティ）と関連が深いJIS 規格は次のうちどれか。正しいものを一つ選べ。,JIS Z 3105,JIS H 0552,JIS G 0581,JIS Z 3104,b,－ 参考：JIS H 0522:1999 アルミニウム鋳物の放射線透過試験方法及び透 過写真の等級分類方法,
54,次の文は、写真処理について述べたものである。正しいものを一つ選べ。,タンク現像は皿現像と比較して一度に多くのフィルムの現像が可能である。,タンク現像は皿現像と比較して現像液の空気酸化の度合いが大きい。,タンク現像は皿現像と比較して短い現像時間で同一の結果が得られる。,自動現像機による写真処理時間は、タンク現像及び皿現像に比べて長い。,a,b) 現像液は写真の処理枚数の増加に伴い化学的に劣化が進む。また、 空気と接することで酸化が進み、現像能力が低下していく。タンク現 像はフィルムが十分浸かる深さのタンクに現像液を入れているため、 皿現像と比べて空気と接する面積が少なく、酸化の度合いが少ない。 c) 現像時間はタンク現像も皿現像も同じ。 d) タンク現像、皿現像の現像～乾燥に至る一連の写真処理で少なくと も30分程度を要する。一方、自動現像は早いもので5分～11分程度で 終えることができる。 参考：テキストⅠp32～35、テキストⅡ②p102,
55,次の文は、写真処理の手順について述べたものである。正しいものを一つ選べ。,現像処理⇒停止処理⇒定着処理⇒水洗処理⇒乾燥処理,現像処理⇒定着処理⇒停止処理⇒水洗処理⇒乾燥処理,定着処理⇒現像処理⇒停止処理⇒水洗処理⇒乾燥処理,水洗処理⇒現像処理⇒停止処理⇒定着処理⇒乾燥処理,a,・現像処理：吸収した放射線量に応じた情報が潜像として記録されてい る撮影フィルムを化学反応により可視像に変える処理 ・停止処理：現像作用を停止させるとともに現像液が定着液に持ち込ま れるのを防ぐ処理 ・定着処理：現像されないハロゲン化銀を溶解して黒化銀だけにする処 理 ・水洗処理：残存する定着液とハロゲン化銀を完全に除去する処理 ・乾燥処理：フィルムの乾燥、水滴ムラ防止のため水切剤を使用すると よい。,
56,次の文は、写真処理について述べたものである。正しいものを一つ選べ。,定着処理は、X 線フィルムの乳剤中にできた潜像を可視像に変える処理をいう。,現像液の温度が15℃以下では、現像作用が著しく不活性になり、25℃以上では、現像作用が 急速に進み、フィルムにかぶりが増加する要因となる。,現像液の温度を一定に保ち、現像時間を長くすると、仕上がるフィルムの濃度は低くなる。,タンク現像は皿現像と比べて空気酸化の度合いが小さいため、タンク中の現像液に浮き蓋を 浮かべる必要はない。,b,現像液は15℃以下で現像作用が著しく不活性となる。一方、25℃以上 で現像作用が進みすぎるためフィルムにかぶりを増加させる要因とな る。 a)は現像処理のこと c)は濃度が高くなる d)空気酸化を抑えるため、浮き蓋が望ましい。 参考：テキストⅠp32～35、テキストⅡ②p102、テキストⅡ①p80,
57,次の文は、写真処理及びフィルムの取り扱いについて述べたものである。正しいものを一つ選べ。,工業用X 線フィルムの定着の際、フィルムの種類が変わった場合でも処理時間を変える必要 はない。,工業用X 線フィルムの定着の際、定着液の温度が低い場合には、処理時間を短くする。,工業用X 線フィルムの水洗の際、水温が低い場合には水洗時間を短くする。,工業用X 線フィルムは、温度と湿度に対して影響を受けやすい。したがって、これを保存す るには高温・高湿の場所は避けたほうがよい。,d,a) フィルム製造メーカ推奨時間で行う b) 温度が低い場合、定着処理時間を長くする c) 温度が低い場合、水洗時間を長くする,
58,次の文は、透過写真のコントラストΔD を高める方法について述べたものである。正しいもの を一つ選べ。,減弱係数μp を小さくする。,幾何学的補正係数σ を小さくする。,散乱比n を小さくする。,フィルムコントラストγ を小さくする。,c,透過写真のコントラストΔDは、次式で与えられる。 0.434 d p D 1n ΔDを高めるためには、フィルムコントラストγ、幾何学的補正係数σ及 び減弱係数μ が大きくなるようにして、一方、散乱比nを小さくなるよ p うにする。 参考：テキストⅡ①p89，90、テキストⅡ②p42～48,
59,次の文は、透過写真のコントラストΔD を高める方法について述べたものである。正しいもの を一つ選べ。,高い管電圧を使用して放射線のエネルギーを高める,線源とフィルム間の距離を短くする。,濃度とフィルムコントラストγ が比例する範囲で写真濃度を高くする。,放射線の照射時間を短くするため、散乱線を多くする。,c,a) 高い管電圧では減弱係数μ が小さくなるため、ΔD は低くなる。 p b) 幾何学的補正係数σ が小さくなるため、ΔD は低くなる。 d) 散乱比n が大きくなるため、ΔD は低くなる。 ΔDを高めるためには、 ・できるだけ放射線のエネルギーを低くしてμ を大きくする。 p ・線源とフィルム間の距離を離して幾何学的補正係数σを1に近づける。 ・絞り、ろ過板（フィルター）、試験体周囲の遮へい、肉厚補償などに よって散乱線を抑え、散乱比nを小さくする。 ・粒状の細かいフィルムを使用することでフィルムコントラストγを高 める。又は、フィルム濃度とフィルムコントラストγが比例関係にある 範囲でなるべく写真濃度が高くなるように露出条件を決定する。 参考：テキストⅡ①p89，90、テキストⅡ②p42～48,
60,次の文は、微小きずの透過写真のコントラストΔD を高くするための撮影方法について述べた ものである。正しいものを一つ選べ。ただし、使用したX 線フィルムはノンスクリーン形のフィ ルムとする。,高い管電圧に設定して放射線のエネルギーを高める。,透過写真の濃度が低くなるように撮影する。,試験体の周囲を遮へいして散乱線を少なくする。,線源寸法（焦点寸法）の大きい放射線発生装置を使用する。,c,"（問58,59 参照）",
61,次の文は、透過写真のコントラストΔD について述べたものである。正しいものを一つ選べ。,透過写真のコントラストΔD は現像時間が短いと大きくなる。,透過写真のコントラストΔD は現像液が疲れてくると小さくなる。,透過写真のコントラストΔD は写真濃度が低いと大きくなる。,透過写真のコントラストΔD は散乱線が少ないと小さくなる。,b,現像液が疲れてくるとフィルムコントラストγ が小さくなり、結果とし て透過写真のコントラストΔD が小さくなる。 a) 現像時間が短いと写真濃度が低く、フィルムコントラストγが小さ くなり、透過写真のコントラストΔD は小さくなる。 c) 写真濃度が低いとフィルムコントラストγが小さくなり、透過写真 のコントラストΔD は小さくなる。 d) 散乱線が少ないと散乱比が小さくなり、透過写真のコントラストΔD は大きくなる。,
62,次の文は散乱線量率について述べたものである。正しいものを一つ選べ。,散乱線量率は、電子の数が多ければ大きくなる。,散乱線量率は、材質が一定であれば照射野の面積に反比例する。,前方散乱線量率は、吸収板の厚さが増すほど小さくなる。,散乱線量率は、絞り、固定マスクにより大きくなる。,c,前方散乱線の線量率は吸収体の厚さが増すと小さくなる。 a) 電子を軌道電子とみなした場合、電子の数が多くなることは原子 番号が大きいことを意味する。例えば原子番号はAl、Fe、Pbの順 に大きくなるが、後方散乱線の線量率はFe、Pb、Alの順に大きく なることから、電子の数の増加によって散乱線量率が増加すると は限らない b ) 照射野の面積に比例する。 d) 絞り、固定マスクを使用することで小さくなる。,
63,次の文は散乱線量率について述べたものである。正しいものを一つ選べ。,散乱線量率は放射線の透過厚さに影響する。,散乱線量率は照射野の面積に関係しない。,散乱線量率は露出時間に比例する。,散乱線量率は照射筒では低減できない。,a,b) 照射野の面積に比例する c ) 散乱線は露出時間によって変化するが、時間あたりの線量を表す 線量率は露出時間に関係しない。 d) 絞り、固定マスクを使用することで低減できる。,
64,次の文は、放射線透過試験における散乱線の低減について述べたものである。正しいものを一つ 選べ。,X 線フィルムの後方がコンクリートあるいは木材で囲まれていれば、鉛板で遮へいしなくて も後方散乱線を低減することができる。,X 線装置の放射口に適切な絞り又は適切なろ過板（フィルター）を取り付けたりすることで 散乱線を低減することができる。,X 線装置の放射口に取り付ける絞りの目的は、作業者に対する放射線防護の必要性からであ り、撮影する透過写真の像質の良否には関係しない。,X 線装置の放射口に絞りを取り付ける代りに、鉛板で試験体の周囲、フィルムの背面をしっ かり遮へいしても透過写真の像質は改善できない。,b,"－ 参考：テキストⅡ②p45,46 7.5 散乱線の低減",
65,余盛のある鋼溶接部の透過写真について母材部濃度2.40、余盛部濃度1.00 を得た。母材部及び余 盛部における散乱比n がそれぞれ2.0 及び4.0 であり、透過厚さによる線質の変化はなく、濃度 0.50～3.50 の範囲で濃度D とフィルムコントラストγ は正比例の関係にあるとする。 このとき、同じ直径の針金に対する透過写真のコントラストについて、母材部は余盛部に対して 何倍になるか。正しいものを選べ。,1.0,2.0,3.0,4.0,d,透過写真のコントラストΔDは、次式で与えられる。 0.434 d p D 1n,
66,図1 の撮影配置は絞りの直径を小さくし、試験体を照射口に密着させたもので、散乱線の影響を 無視できるようにしている。図2 は通常の放射線透過試験の撮影配置を示している。同じ条件で撮 影したときの透過写真濃度が図1 の配置で1.50、図2 の配置で3.50 であったときの図2 における散 乱比は、次のどれか。正しいものを一つ選べ。なお、Ｘ線フィルムの特性曲線は巻末の図1 に示す IX 100 ＋ Pb0.03 mm を利用せよ。,1.2,1.6,2.0,2.4,b,試験体の厚さは同じ。したがって、どちらの撮影配置でも透過線量率 I は同じ。また、露出時間t も同じ。 1. 撮影配置(1)の露出量E （散乱線は含まれない） 1 E It 1 1 2. 撮影配置(2)の場合の露出量E （散乱線を含む：散乱比n） 2 E I1nt 2 2 3. (1)式と(2)式から散乱比n を求める E I1nt E 2  1n  n 2 1 E It E 1 1 4. 図1 X 線フィルム特性曲線（IX100＋Pb0.03）から露出量を読取る ・濃度1.50 の露出量：およそ58 秒 ⇒ 撮影配置(1)の露出量E 1 ・濃度3.50 の露出量：およそ150 秒 ⇒ 撮影配置(2)の露出量E 2 5. 散乱比n E 150 n 2 1 11.5862≒1.6 E 58 1,rt_2022_04_q66.png
67,管電圧200kV、焦点・フィルム間距離（FFD）600mm の撮影条件で感光材料（フィルムIX100＋ 増感紙Pb0.03mm）を用いて試験体を撮影したところ、露出量5.0mA･min で写真濃度1.50 を得た。 同じ条件で写真濃度を2.50 とする露出量mA･min をいくらにすればよいか。最も近い値を選べ。 露出量の算出にあたり、巻末の図1 のX 線フィルムの特性曲線を利用せよ。,9.5 mA･min,11.5 mA･min,13.5 mA･min,15.5 mA･min,a,＜巻末図1 X 線フィルム特性曲線（IX100＋Pb0.03）＞ 図1（IX100＋Pb0.03）から露出量を読取る ・濃度1.50になる露出量：およそ56（秒） ・濃度2.50になる露出量：およそ105（秒） ・濃度1.50から濃度2.50にするためには、 露出量を105／56＝1.875倍すればよい ・題意より濃度1.50の露出量が5.0mA･minであることから、同じ条件で 濃度2.50にするためには、 5.0mA･min×1.875＝9.375≒9.5mA･minとする。,
68,管電圧200kV、焦点・フィルム間距離（FFD）600mm の撮影条件で感光材料（フィルムIX100＋ 増感紙Pb0.03mm）を用いて試験体を撮影したところ、露出量5.0mA･min で写真濃度1.50 を得た。 フィルムIX80＋Pb0.03mm に変更して写真濃度を同じ1.50 としたい場合、露出量mA･min をいく らにすればよいか。最も近い値を選べ。露出量の算出にあたり、巻末の図1 のX 線フィルムの特 性曲線を利用せよ。,9.5 mA･min,11.5 mA･min,13.5 mA･min,15.5 mA･min,c,＜巻末図1 X 線フィルム特性曲線（IX100＋Pb0.03、IX80＋Pb0.03）＞ 1.写真濃度1.50になる露出量を図1から読み取る ・IX100＋Pb0.03mm：およそ56（秒） ・IX80＋Pb0.03mm：およそ150（秒） ・IX80＋Pb0.03mmに変更して同じ濃度にするためには、 露出量を150／56≒2.68倍すればよい ・題意より濃度1.50の露出量が5.0mA･minであることから、IX80＋ Pb0.03mmで濃度1.50にするためには5.0mA･min×2.68＝13.4≒ 13.5mAminとする。,
69,管電圧200kV、焦点・フィルム間距離（FFD）600mm の撮影条件で感光材料（フィルムIX100＋ 増感紙Pb0.03mm）を用いて試験体を撮影したところ、露出量5.0mA･min で写真濃度1.50 を得た。 焦点・フィルム間距離（FFD）を800mm に変更して写真濃度を同じ1.50 とする露出量mA･min を いくらにすればよいか。最も近い値を選べ。,3.0 mA･min,4.0 mA･min,7.0 mA･min,9.0 mA･min,d,1. 変更条件：FFD600mm ⇒ FFD800mm 2. 同じ写真濃度にするためにはFFD変更に伴う補正を行う。 3. 写真濃度は、フィルムに到達する放射線の量で決まる。 ・放射線の強さは距離の二乗に反比例する。 ・題意よりFFD800mmに変更して同じ写真濃度にするためには 5.0mA･min×（8002／6002）＝であることから、同じ写真濃度1.50に するためには5.0mA･min×1.78＝8.9≒9.0mA･minとする。,
70,管電圧200kV、管電流5mA、焦点・フィルム間距離（FFD）600mm の撮影条件で感光材料（フィ ルムIX100＋増感紙Pb0.03mm）を用いて試験体を撮影したところ、露出時間3 分で写真濃度1.00 を得た。焦点・フィルム間距離（FFD）を800mm、管電流4mA に変更して写真濃度を2.40 にする ためには露出時間分をいくらにすればよいか。最も近い値を一つ選べ。露出量の算出にあたり、巻 末の図1 のX 線フィルムの特性曲線を利用せよ。,2.8 分,7.0 分,14.0 分,19.0 分,d,＜巻末図1 X 線フィルム特性曲線（IX100＋Pb0.03）を利用＞ 1. 変更前の条件：FFD600mm、露出量(=5mA・3min＝15.0mAmin) 2. 変更後の条件：FFD800mm、管電流4mA 3. 写真濃度：1.00（変更前後で同じとする） 4. FFD 変更後の露出量：15.0mA･min×（8002／6002）≒26.7mA･min 5. 露出時間（分）：26.7mA･min／4mA（管電流）≒6.7（分） 6. 写真濃度の変更：1.00 ⇒ 2.40 7. 写真濃度2.40 に必要な露出量（mA･min）：19.0 分 図1 のX 線フィルム特性曲線（IX100＋Pb0.03）から読み取る ・濃度1.00 の露出量：およそ35（秒） ・濃度2.40 の露出量：およそ100（秒） ・濃度1.00から濃度2.40にするために、露出量を100／35＝2.857倍 ・写真濃度1.00に要する露出時間が6.7分であることから、 同じ条件で濃度2.40にするためには6.7×2.857＝19.07≒19.0分,
71,撮影条件を以下として、厚さ15.0mm、鋼板突合せ溶接部（余盛なし）の透過写真を濃度2.50 で 撮影したい。このときの露出時間は巻末の図1 のX 線フィルムの特性曲線及び図2 の露出線図に より求める。露出時間について正しいものを選べ。 ＜撮影条件＞ ・管電圧：180kV、管電流：5mA ・感光材料：フィルムIX100＋増感紙Pb0.03mm ・焦点・フィルム間距離（FFD）600mm ・写真処理：タンク現像、現像液ハイレンドール、 現像温度20℃、現像時間5 分,1.5 分,3.0 分,8.0 分,14.5 分,b,＜巻末の図1 のX 線フィルムの特性曲線及び図2 の露出線図を利用＞ 1. 条件 試験体の厚さ：15.0mm 管電圧：180kV、管電流：5mA 感光材料：IX100＋Pb0.03mm FFD：600mm 2. 露出時間の算出 ・図2 露出線図（鋼板の厚さ15.0mm、管電圧180kV）から露出量を読 取る。 露出量＝8.0mA・min ・図2 で求めた露出量で濃度1.50 の写真となる。 ・図1 フィルム特性曲線（IX100＋Pb0.03）により濃度1.50 と2.50 の露 出量を読取る。 ・濃度1.50になる露出量：およそ56（秒） ・濃度2.50になる露出量：およそ105（秒） ・濃度1.50から濃度2.50にするためには、,
72,下図に示すような厚さに差のある試験体を撮影する必要が生じた。厚い方のほぼ中央（点A） の濃度を1.50 にするためX 線フィルムIX100，鉛箔増感紙0.03 mm，線源とフィルム間の距離 （FFD）600 mm，管電圧180 kV，管電流4 mA で撮影した。このときの露出時間及びこれより厚 さの薄い方のほぼ中央（点B）の濃度が3.50 となる厚さは何mm か。巻末の図1 のX 線フィルム の特性曲線及び図2 の露出線図を利用して正しい組合せを一つ選べ。,露出時間2.0 分 厚さ12.7mm,露出時間4.0 分 厚さ14.4mm,露出時間8.0 分 厚さ 17.2mm,露出時間12.0 分 厚さ 19.1mm,c,＜巻末の図1 のX 線フィルムの特性曲線及び図2 の露出線図を利用＞ 1. 厚さ22.0mm（A）の濃度が1.50 となる露出量 ・図2 露出線図（鋼板の厚さ22.0mm、管電圧180kV）から露出量を読 取る。 露出量＝32.0 mA・min 露出時間＝32.0 mA・min／4 mA＝8.0min 2. 図1 フィルム特性曲線（IX100＋Pb0.03）から厚さxmm（B）で濃度 1.50 となる放射線照射量を求める。 ・濃度3.50 になる露出量：およそ150（秒） ・濃度1.50 の露出量：58（秒） したがって（58／150） 倍の露出量で濃度3.50 から1.50 になる。 ・厚さxmm（B） での濃度を1.50 にするためには、 32.0 mA・min×（58／150）＝12.4 mA・min とする。 3. 濃度が1.50 となる厚さxmm（B） ・図2 露出線図（管電圧180kV、露出量12.4mA・min）から鋼板の厚さ を読取る。 厚さx＝17.2mm,rt_2022_04_q72.png
73,母材厚さ15.0 mm、余盛高さ3.0 mm の鋼溶接部を母材部の濃度が2.50 になる条件で撮影した。 母材部及び溶接部の散乱比n がそれぞれ1.5 及び2.5、透過厚さによる線質の変化はなく、半価層 を2.0 mm と仮定する。このとき、溶接部に到達する線量は母材に到達する線量の何倍か。正しい ものを一つ選べ。なお、必要なら巻末図1 のX 線フィルムの特性曲線（IX＋Pb100）を利用せよ。,0.4,0.5,1.0,2.0,b,照射線量をI 、母材部の透過線量をI 、余盛部の透過線量をI 、 0 1 2 母材厚さをx 、余盛部厚さをx 、減弱係数をμ とする。 1 2 ・ ・母材部のフィルム到達線量I 母材 ＝I +n ・I ＝I ＋1.5･I =2.5･I （n ：母材部の散乱比1.5） 1 1 1 1 1 1 1 ・余盛部のフィルム到達線量I 余盛 ＝I +n ・I ＝I ＋2.5･I =3.5･I （n ：母材部の散乱比2.5） 2 2 2 2 2 2 2 ＝3.5･ｅ－μ(x －x )・I 2 1 1 ・減弱係数μと半価層h の関係は、 μ＝0.693／h したがって、,
74,母材の厚さ15.0mm、余盛の高さ2.5mm の鋼溶接部を母材部の濃度が3.50 になる条件で撮影し た。このとき母材部及び溶接部の散乱比n がそれぞれ1.5 及び2.5、透過厚さによる線質の変化はな く、減弱係数μ が3.00 ㎝-1 とすると、余盛部の濃度はいくらになるか。巻末図1 のX 線フィルムの 特性曲線（IX＋Pb100）を利用して正しいものを一つ選べ。,2.40,2.00,1.60,1.20,a,照射線量をI 、母材部の透過線量をI 、余盛部の透過線量をI 、 0 1 2 母材厚さをx 、余盛部厚さをx 、減弱係数をμ とする。 1 2 ・ ・母材部のフィルム到達線量I 母材 ＝I +n ・I ＝I ＋1.5･I =2.5･I （n ：母材部の散乱比1.5） 1 1 1 1 1 1 1 ・余盛部のフィルム到達線量I 余盛 ＝I +n ・I ＝I ＋2.5･I =3.5･I （n ：母材部の散乱比2.5） 2 2 2 2 2 2 2 ＝3.5･ｅ－μ(x －x )・I 2 1 1 減弱係数μ：3.0cm-1であることから 3.5･ｅ－μ(x －x )・I ＝3.5・e－3.0・(0.25) ・I 2 1 1 1 ・余盛部と母材部のフィルム到達線量の比を求める I 余盛／I 母材＝3.5・e－3.0・(0.25) ・I 1／2.5I 1＝3.5・e－3.0・(0.25) ／2.5 ＝1.4・e－3.0・(0.25)＝0.66,
75,母材厚さ15.0mm の鋼溶接部を余盛部で濃度1.80 になる条件で撮影したところ濃度1.50 となっ た。このときの露出量の変動について巻末の図1 のX 線フィルム特性曲線（IX100＋Pb0.03）を利 用して求めた。次のうち正しいものを一つ選べ。,濃度1.80 の条件に対して最も大きな変動とすれば、±5％の変動を考慮する必要がある。,濃度1.80 の条件に対して最も大きな変動とすれば、±10％の変動を考慮する必要がある。,濃度1.80 の条件に対して最も大きな変動とすれば、±20％の変動を考慮する必要がある。,濃度1.80 の条件に対して最も大きな変動とすれば、±25％の変動を考慮する必要がある。,c,・巻末図1 のX 線フィルムの特性曲線（IX＋Pb100）を利用して 読み取る。 ・余盛部濃度1.80 となる露出量：およそ72（秒） ・余盛部濃度1.50 となる露出量：およそ58（秒） 濃度1.80 の条件に対する変動 （58-72）／72×100％≒－20％ 濃度1.80 の条件に対して最も大きな変動とすれば、±20％の変動 を考慮する必要がある。,
76,鋼溶接部の撮影で露出量の変動が±25%と予想される場合、JIS Z 3104 の像質A 級で規定する濃 度範囲1.3 以上4.0 以下の条件を常に満足させる条件として、母材部においてＸ線フィルムに到達 する線量が余盛部においてＸ線フィルムに到達する線量の何倍以下でなければならないか。正しい ものを一つ選べ。なお、使用するX 線フィルムの特性曲線から、濃度1.3 を得る露出量の4.5 倍で 濃度が4.0 となる。,2.7,2.2,1.7,1.2,a,・条件：露出量の変動±25％、濃度1.30～4.00 の要求を満足させる ・濃度1.30 となる露出量E 、濃度4.00 となる露出量E の関係は、 1 2 題意よりE ／E ＝4.5 となる。 2 1 ・濃度1.30 の露出量E 、変動量を見込んで1.30 を満足する露出量E ＋ 1 1 －0.25＝（E －E ＋）／E ＋ ⇒ E ＋＝E ／0.75 1 1 1 1 1 ・濃度4.00 の露出量E 、変動量を見込んで4.00 を満足する露出量E － 2 2 ＋0.25＝（E －E －）／E － ⇒ E －＝E ／1.25 2 2 2 2 2 ・濃度1.30（余盛部）～濃度4.00（母材部）を満足させるためには、 E －／E ＋＝（E2／1.25）／（E1／0.75）＝（E2／E1）×（0.75／1.25） 2 1 ＝4.5×（0.75／1.25）＝2.7,
77,母材厚さ16.0 mm の鋼溶接部を母材部の濃度が2.00 となる条件で2 回撮影した。2 枚の透過写真 の同じ箇所の濃度は、1 回目1.80、2 回目2.40 であった。2 枚の濃度の違いは濃度2.00 に対する露 出量の変動によるものとすると、1 回目と2 回目の撮影における露出量の変動はそれぞれ何％か。 巻末の図1 のX 線フィルムの特性曲線（IX100＋Pb0.03）を用いて求めよ。,1 回目：－10％ 2 回目：＋25％,1 回目：－10％ 2 回目：＋20％,1 回目：－5％ 2 回目：＋10％,1 回目：－5％ 2 回目：＋15％,a,・巻末図1 のX 線フィルムの特性曲線（IX＋Pb100）を利用して 読み取る。 ・母材部濃度2.00 となる露出量：およそ80（秒） ・実際の濃度1 回目（濃度1.80）：およそ72（秒） 濃度2.00 の条件に対する変動 （72-80）／80×100％＝－10％ ・実際の濃度2 回目（濃度2.40）：およそ100（秒） （100-80）／80×100％＝＋25％,
78,デジタルラジオグラフィ（D-RT）の主なものにイメージングプレート（IP）を検出器として用い たコンピューテッドラジオグラフィ（CR）がある。この技術の工業分野への実用化が始まったのは 何時頃か。次のうち正しいものを一つ選べ。,1970 年半ば以降に装置の販売が始まり、実用化し普及が進んでいる。,1980 年後半以降に装置の販売が始まり、実用化し普及が進んでいる。,1990 年後半以降に装置の販売が始まり、実用化し普及が進んでいる。,2000 年後半以降に装置の販売が始まり、実用化し普及が進んでいる。,b,1980年代に従来のフィルムを使用したRT（F-RT）に代わるX線画像のデ ジタルメディアとしてイメージングプレート（IP）が発表され、画像信 号処理を組合せたコンピューテッドラジオグラフィ（CR）が開発され、 1983年に富士フイルムが国産技術としてFCRを製作した。 参考：テキストⅡ②p3 ＜補足＞工業分野におけるデジタルラジオグラフィの基礎とその適用、 2014、日本溶接協会、p16 1981年に富士フイルムが医用向けにFCRを開発、1989年に工業用CRの 販売を開始。,
79,次の文は、デジタルラジオグラフィ（D-RT）による撮影画像の像質について述べたものである。 次のうち正しいものを一つ選べ。,デジタルRT では、フィルムRT と同じ針金形透過度計、有孔形透過度計に加えて複線形像質 計を撮影し、撮影系及び撮影画像の像質を判定する。,デジタルRT では、フィルムRT と同じ針金形透過度計、有孔形透過度計に加えて複線形像質 計を撮影し、撮影画像の像質だけを判定する。,デジタルRT では、フィルムRT と同じ針金形透過度計、有孔形透過度計を撮影し、撮影系及 び撮影画像の像質を判定する。,デジタルRT では、複線形像質計を撮影し、撮影画像の像質を判定すればよく、針金形透過度 計又は有孔形透過度計を撮影しなくてもよい。,a,デジタルRT（CR、DDA）は、フィルムRTに比べて透過画像の空間分解 能が低下する。 複線形像質計（Duplex Wire）は、デジタル透過画像の基本空間分解能と 不鮮鋭度を求めるために用いる。 基本空間分解能は、複線形像質計を検出器に置いて求める（SR 検出器） b と試験体に置いて求める（SR 画像）の2つがある。 b したがって、撮影画像だけではなく、撮影系の像質も判定することにな る。 なお、複線形像質計は像の空間分解能、不鮮鋭度だけに関わるので、従 来の針金形透過度計、有孔形透過度計の代用とはならない。 参考：テキストⅡ②p103～p120 JIS Z 2307:2017（放射線透過試験用複線形像質計による像の不鮮 鋭度の決定）,
80,次の文は、デジタルラジオグラフィ（D-RT）について述べたものである。正しいものを一つ選べ。,目的に応じた画像処理が可能であるが、画像の拡大観察はできない。,画像の保存、画像検索が困難である。,D-RT にはCR、DDA、ラインセンサなどが含まれるが、フィルムデジタイザは含まれない。,フィルムRT で必要な暗室、写真処理に要する現像液など溶液が不要である。,d,D-RTはフィルタなどを使って目的に応じた透過画像の処理が可能で、 拡大観察も容易。透過画像は電子媒体で保存でき検索も容易である。な お、画像は原画像（生データ）として保存する。D-RTにはCR、DDA、 ラインセンサ、CTなどがあり、フィルムRTをデジタル化するフィルム デジタイザもD-RTに含まれる。 D-RTは、F-RTで要する写真処理に関わる暗室、現像液、停止液、定着 液が不要で、廃液処理も不要となるため、環境にやさしい。 参考：テキストⅡ②p103～p120,
